**absq	**bar	**beat	**b7	**b7	**b7	**b7	**b7
0	1	1	0	0	0	27	0
8	2	1	0	24	0	28	0
12	2	3	20	-24	0	29	0
16	3	1	-20	25	0	27	0
18	3	2	-20	-25	0	29	0
20	3	3	21	26	0	28	0
23	3	4.5	-21	-26	0	27	0
24	4	1	22	24	0	26	0
25	4	1.5	-22	-24	0	25	0
26	4	2	-22	-24	0	26	0
28	4	3	20	27	0	29	31
31	4	4.5	21	-27	0	-29	-31
32	5	1	22	-27	0	-29	-31
33	5	1.5	23	-27	0	-29	-31
34	5	2	24	26	0	28	-31
36	5	3	-24	25	0	28	32
38	5	4	23	-25	0	-28	-32
40	6	1	24	24	0	0	33
42	6	2	-24	26	0	28	-33
44	6	3	20	27	0	29	31
47	6	4.5	-20	26	0	28	-31
48	7	1	-20	25	0	27	34
50	7	2	-20	24	0	29	-34
52	7	3	0	25	0	-29	-34
53	7	3.5	0	-25	0	30	-34
54	7	4	0	26	0	31	33
56	8	1	0	27	0	-31	32
58	8	2	21	28	0	30	-32
59	8	2.5	-21	27	0	-30	-32
60	8	3	22	26	24	31	31
61	8	3.5	-22	25	-24	-31	-31
62	8	4	-22	24	-24	29	-31
63	8	4.5	21	23	-24	-29	-31
64	9	1	20	22	-24	31	0
65	9	1.5	-20	23	-24	-31	0
66	9	2	19	24	-24	-31	0
67	9	2.5	-19	-24	-24	30	0
68	9	3	20	-24	25	29	0
70	9	4	21	23	-25	28	0
72	10	1	17	24	26	-28	31
73	10	1.5	-17	25	-26	27	-31
74	10	2	24	26	-26	26	-31
75	10	2.5	-24	27	-26	24	-31
76	10	3	-24	28	24	31	33
77	10	3.5	23	-28	-24	-31	-33
78	10	4	22	29	-24	-31	-33
80	11	1	18	-29	27	29	32
81	11	1.5	19	-29	-27	-29	-32
82	11	2	20	22	-27	-29	-32
83	11	2.5	21	-22	-27	-29	-32
84	11	3	22	24	-27	0	31
85	11	3.5	23	-24	-27	0	-31
86	11	4	24	-24	26	0	-31
87	11	4.5	22	-24	-26	0	-31
88	12	1	23	0	25	27	0
90	12	2	-23	25	-25	-27	0
92	12	3	22	26	24	29	31
94	12	4	20	27	-24	-29	-31
96	13	1	24	26	0	28	33
98	13	2	24	-26	0	-28	-33
100	13	3	25	0	0	27	32
102	13	4	-25	27	0	-27	-32
103	13	4.5	-25	-27	0	26	-32
103.5	13	4.75	-25	-27	0	25	-32
104	14	1	22	29	24	26	31
107	14	2.5	23	-29	-24	-26	-31
108	14	3	24	28	26	0	0
110	14	4	17	-28	-26	0	0
112	15	1	18	27	25	0	0
114	15	2	18	29	-25	27	0
115	15	2.5	19	-29	-25	-27	0
116	15	3	20	-29	24	29	0
117	15	3.5	21	28	-24	-29	0
118	15	4	22	27	-24	-29	0
119	15	4.5	23	-27	-24	-29	0
120	16	1	24	-27	0	28	0
122	16	2	-24	26	0	-28	0
123	16	2.5	-24	25	0	-28	0
124	16	3	0	26	24	28	0
125	16	3.5	0	-26	-24	27	0
126	16	4	17	-26	-24	26	0
127	16	4.5	-17	27	-24	25	0
128	17	1	17	28	26	24	0
129	17	1.5	18	-28	-26	-24	0
130	17	2	19	-28	-26	31	0
131	17	2.5	20	-28	-26	-31	0
132	17	3	21	28	25	-31	0
134	17	4	21	-28	-25	30	0
136	18	1	22	26	24	31	0
138	18	2	-22	24	-24	-31	0
139	18	2.5	21	-24	-24	-31	0
140	18	3	22	24	0	0	0
141	18	3.5	23	25	0	0	0
142	18	4	24	26	0	28	0
143	18	4.5	-24	27	0	-28	0
144	19	1	21	28	0	28	32
145	19	1.5	-21	-28	0	29	-32
146	19	2	-21	-28	0	30	-32
147	19	2.5	-21	-28	0	31	-32
148	19	3	0	25	0	32	34
149	19	3.5	0	26	0	-32	-34
150	19	4	0	27	0	29	-34
151	19	4.5	0	28	0	30	-34
152	20	1	0	29	0	31	33
153	20	1.5	0	30	0	32	-33
154	20	2	0	31	0	33	-33
156	20	3	0	-31	0	-33	35
158	20	4	0	30	0	32	-35
160	21	1	0	29	0	31	34
162	21	2	0	28	0	30	33
164	21	3	0	27	0	29	-33
165	21	3.5	0	-27	0	-29	32
165.5	21	3.75	0	-27	0	-29	31
166	21	4	0	-27	0	-29	32
168	22	1	0	26	0	30	33
170	22	2	17	-26	0	31	-33
171	22	2.5	-17	27	0	-31	-33
172	22	3	17	28	0	-31	-33
173	22	3.5	18	-28	0	-31	-33
174	22	4	19	21	0	30	-33
175	22	4.5	20	-21	0	29	-33
176	23	1	21	21	25	30	0
177	23	1.5	-21	22	-25	-30	0
178	23	2	-21	23	-25	-30	0
179	23	2.5	-21	24	-25	-30	0
180	23	3	18	25	27	29	0
181	23	3.5	19	-25	-27	-29	0
182	23	4	20	22	-27	-29	0
183	23	4.5	21	23	-27	-29	0
184	24	1	22	24	26	0	0
185	24	1.5	23	25	-26	0	0
186	24	2	24	26	-26	24	0
187	24	2.5	-24	-26	-26	25	0
188	24	3	-24	-26	28	26	0
189	24	3.5	-24	-26	-28	27	0
190	24	4	23	25	-28	28	0
192	25	1	22	24	27	29	0
194	25	2	21	23	26	30	0
196	25	3	20	22	-26	31	0
197	25	3.5	-20	-22	25	-31	0
197.5	25	3.75	-20	-22	24	-31	0
198	25	4	-20	-22	25	29	0
199	25	4.5	-20	23	-25	-29	0
200	26	1	19	24	26	-29	0
201	26	1.5	-19	-24	-26	28	0
201.5	26	1.75	-19	-24	-26	27	0
202	26	2	-19	23	-26	28	0
204	26	3	0	22	-26	24	0
205	26	3.5	0	-22	-26	25	0
206	26	4	24	-22	-26	26	0
207	26	4.5	-24	-22	-26	24	0
208	27	1	-24	21	0	25	0
210	27	2	23	-21	0	-25	35
212	27	3	24	0	0	26	-35
214	27	4	22	24	0	24	34
216	28	1	21	-24	0	25	35
218	28	2	-21	23	0	28	-35
219	28	2.5	-21	-23	0	-28	34
220	28	3	0	24	0	-28	33
222	28	4	0	25	0	27	32
224	29	1	0	26	0	28	31
226	29	2	0	27	0	29	-31
227	29	2.5	0	28	0	30	-31
228	29	3	0	29	0	31	-31
229	29	3.5	0	-29	0	29	-31
