**absq	**bar	**beat	**b7	**b7	**b7	**b7	**b7	**b7
0	1	1	0	0	29	0	0	0
8	2	1	0	0	30	0	0	32
11	2	2.5	0	0	29	0	0	-32
12	2	3	0	0	30	0	0	-32
13	2	3.5	0	0	31	0	0	-32
14	2	4	0	0	32	0	0	-32
16	3	1	0	0	-32	29	0	33
18	3	2	0	0	31	-29	0	-33
19	3	2.5	0	0	30	-29	0	-33
20	3	3	0	0	31	-29	0	-33
24	4	1	0	0	32	30	0	32
26	4	2	0	0	28	-30	0	-32
27	4	2.5	0	0	27	29	0	-32
28	4	3	0	0	28	30	0	-32
29	4	3.5	0	0	29	31	0	-32
30	4	4	0	0	30	32	0	-32
32	5	1	0	0	29	-32	0	33
34	5	2	0	0	-29	31	0	-33
35	5	2.5	0	0	-29	30	0	-33
36	5	3	0	0	-29	31	0	-33
38	5	4	0	0	-29	31	0	-33
40	6	1	0	25	25	32	0	34
41	6	1.5	0	-25	26	-32	0	-34
42	6	2	0	-25	27	-32	0	-34
43	6	2.5	0	-25	28	-32	0	-34
44	6	3	0	-25	29	0	0	-34
46	6	4	0	-25	30	32	0	-34
48	7	1	0	26	-30	30	28	35
49	7	1.5	0	-26	29	-30	-28	-35
50	7	2	0	-26	28	33	-28	-35
51	7	2.5	0	25	27	-33	-28	-35
52	7	3	0	26	26	-33	-28	-35
53	7	3.5	0	27	-26	32	-28	-35
54	7	4	0	28	-26	30	-28	-35
55	7	4.5	0	-28	-26	31	-28	-35
56	8	1	25	-28	25	32	29	0
58	8	2	-25	27	-25	-32	-29	0
59	8	2.5	-25	26	-25	31	-29	0
59.5	8	2.75	-25	-26	-25	30	-29	0
60	8	3	-25	27	32	29	-29	0
62	8	4	-25	-27	-32	25	-29	0
64	9	1	26	28	30	0	28	0
66	9	2	-26	24	33	0	-28	0
67	9	2.5	25	23	-33	0	-28	0
68	9	3	26	24	-33	0	-28	0
69	9	3.5	27	25	32	0	-28	0
70	9	4	28	26	30	0	-28	0
71	9	4.5	-28	-26	31	0	-28	0
72	10	1	-28	25	32	0	29	0
74	10	2	27	-25	-32	32	-29	0
75	10	2.5	26	-25	31	-32	-29	0
75.5	10	2.75	-26	-25	30	-32	-29	0
76	10	3	27	-25	29	32	-29	0
78	10	4	-27	-25	-29	32	-29	0
80	11	1	28	21	28	-32	30	32
81	11	1.5	-28	-21	-28	31	-30	-32
82	11	2	-28	-21	-28	30	-30	-32
85	11	3.5	-28	-21	0	29	-30	-32
86	11	4	-28	-21	0	28	-30	-32
87	11	4.5	-28	-21	0	27	-30	-32
88	12	1	24	0	28	26	31	33
90	12	2	-24	0	-28	33	-31	-33
91	12	2.5	23	0	-28	-33	-31	32
92	12	3	24	0	-28	-33	-31	33
93	12	3.5	25	0	-28	-33	-31	34
94	12	4	26	0	-28	31	-31	35
96	13	1	25	0	29	32	0	-35
98	13	2	-25	0	-29	-32	0	34
99	13	2.5	-25	0	-29	-32	0	33
100	13	3	-25	25	-29	-32	0	34
104	14	1	0	26	28	30	0	35
106	14	2	24	-26	-28	33	0	-35
107	14	2.5	-24	25	-28	-33	0	34
108	14	3	-24	26	-28	-33	0	35
109	14	3.5	-24	27	-28	-33	0	36
110	14	4	21	28	-28	32	0	37
112	15	1	25	-28	29	32	0	36
114	15	2	-25	27	-29	-32	0	-36
115	15	2.5	-25	26	-29	-32	0	-36
116	15	3	-25	27	-29	0	0	-36
118	15	4	-25	-27	-29	32	0	-36
120	16	1	21	28	30	-32	28	0
122	16	2	-21	-28	-30	28	-28	32
123	16	2.5	-21	27	29	-28	-28	-32
124	16	3	0	26	28	30	-28	33
126	16	4	0	-26	-28	31	-28	-33
128	17	1	0	25	27	32	29	34
130	17	2	25	-25	-27	-32	-29	-34
131	17	2.5	-25	-25	-27	31	28	33
132	17	3	-25	0	-27	32	29	34
133	17	3.5	-25	0	-27	-32	30	35
134	17	4	22	0	26	33	31	36
136	18	1	26	0	0	33	-31	-36
138	18	2	-26	0	30	-33	30	35
139	18	2.5	-26	0	-30	-33	29	34
140	18	3	-26	0	-30	-33	30	35
142	18	4	-26	26	26	-33	-30	-35
144	19	1	22	-26	33	0	31	36
146	19	2	-22	22	-33	33	-31	-36
147	19	2.5	-22	-22	32	-33	30	-36
148	19	3	-22	29	31	-33	31	0
149	19	3.5	-22	-29	30	32	32	0
150	19	4	-22	-29	29	31	33	33
151	19	4.5	-22	-29	28	30	-33	-33
152	20	1	25	-29	27	29	32	34
154	20	2	21	28	25	30	-32	35
156	20	3	25	27	0	29	-32	36
158	20	4	-25	-27	29	-29	-32	34
160	21	1	0	26	30	28	0	35
162	21	2	0	-26	31	-28	28	35
164	21	3	25	25	32	0	29	34
165	21	3.5	-25	-25	-32	0	-29	35
166	21	4	-25	-25	-32	0	-29	36
167	21	4.5	-25	-25	-32	0	-29	34
168	22	1	28	0	32	0	30	35
170	22	2	-28	0	-32	32	-30	-35
171	22	2.5	-28	0	31	-32	29	34
172	22	3	-28	0	30	33	30	33
173	22	3.5	-28	0	-30	-33	31	-33
174	22	4	27	0	29	34	32	32
176	23	1	26	0	30	35	-32	33
178	23	2	-26	0	28	-35	31	-33
179	23	2.5	-26	0	-28	-35	30	-33
180	23	3	-26	22	29	33	31	0
184	24	1	25	25	0	34	32	0
186	24	2	-25	-25	25	-34	-32	0
188	24	3	0	24	26	33	0	0
190	24	4	0	25	27	32	29	0
192	25	1	0	21	28	-32	30	0
193	25	1.5	0	-21	-28	30	-30	0
194	25	2	0	24	26	33	31	33
196	25	3	0	23	30	32	32	34
198	25	4	25	-23	-30	-32	30	35
200	26	1	26	22	0	0	31	36
202	26	2	27	-22	29	0	31	-36
204	26	3	28	21	32	0	30	37
205	26	3.5	-28	-21	-32	0	31	-37
206	26	4	-28	-21	28	32	32	-37
207	26	4.5	27	-21	-28	-32	30	-37
208	27	1	26	0	28	33	31	35
209	27	1.5	25	0	27	-33	-31	-35
210	27	2	24	0	26	-33	-31	-35
211	27	2.5	-24	0	25	-33	30	-35
212	27	3	-24	0	26	31	29	36
214	27	4	23	25	25	32	28	37
216	28	1	22	26	0	31	29	38
218	28	2	-22	27	29	29	-29	-38
220	28	3	21	28	32	30	0	37
221	28	3.5	-21	-28	-32	31	0	-37
222	28	4	-21	-28	30	32	0	-37
223	28	4.5	-21	27	-30	30	0	-37
224	29	1	0	26	31	33	0	0
225	29	1.5	0	25	-31	-33	0	0
226	29	2	0	24	-31	-33	0	35
227	29	2.5	0	-24	30	-33	0	-35
228	29	3	0	-24	29	31	0	36
230	29	4	25	23	28	32	0	37
232	30	1	26	22	29	31	0	38
234	30	2	27	-22	-29	-31	29	-38
235	30	2.5	-27	-22	-29	30	-29	-38
235.5	30	2.75	-27	-22	-29	29	-29	-38
236	30	3	28	21	0	32	30	37
238	30	4	26	28	0	28	31	35
240	31	1	25	-28	0	0	32	37
241	31	1.5	-25	-28	0	0	-32	36
242	31	2	-25	27	0	29	-32	36
244	31	3	0	26	0	31	33	-36
246	31	4	0	-26	26	30	-33	35
248	32	1	0	22	-26	33	31	36
250	32	2	22	-22	29	-33	-31	-36
252	32	3	25	0	-29	34	32	-36
254	32	4	24	0	29	33	33	-36
256	33	1	25	0	29	-33	34	-36
258	33	2	-25	0	-29	32	-34	-36
260	33	3	22	0	29	-32	33	-36
262	33	4	-22	0	-29	31	-33	-36
263	33	4.5	-22	0	28	30	-33	-36
263.5	33	4.75	-22	0	27	-30	-33	-36
264	34	1	-22	0	26	31	0	36
265	34	1.5	-22	0	-26	32	0	-36
266	34	2	-22	22	-26	33	31	-36
268	34	3	0	25	27	29	32	-36
270	34	4	0	24	26	-29	33	-36
272	35	1	0	25	25	29	34	0
274	35	2	25	-25	29	-29	-34	0
275	35	2.5	-25	-25	-29	30	-34	0
276	35	3	26	22	-29	31	33	0
277	35	3.5	-26	-22	30	-31	-33	0
278	35	4	-26	-22	31	29	31	0
279	35	4.5	27	-22	-31	-29	-31	0
280	36	1	28	21	30	30	33	0
281	36	1.5	-28	-21	29	-30	32	0
282	36	2	-28	-21	28	-30	32	0
283	36	2.5	-28	-21	27	-30	-32	0
284	36	3	26	0	28	0	-32	0
286	36	4	-26	28	-28	28	31	0
288	37	1	25	-28	0	29	32	0
290	37	2	-25	27	0	-29	-32	0
292	37	3	0	28	0	30	-32	0
294	37	4	28	21	28	-30	-32	0
