**absq	**bar	**beat	**b7	**b7	**b7	**b7	**b7
0	1	1	25	0	0	0	0
4	1	3	26	28	0	0	0
8	2	1	25	29	0	0	0
11	2	2.5	24	-29	0	0	0
12	2	3	23	28	0	32	0
13	2	3.5	22	-28	0	-32	0
14	2	4	23	-28	0	-32	0
15	2	4.5	-23	27	0	-32	0
16	3	1	24	26	0	33	0
17	3	1.5	-24	25	0	-33	0
18	3	2	-24	26	0	-33	0
20	3	3	25	27	0	32	0
23	3	4.5	-25	-27	0	31	0
24	4	1	26	28	0	30	0
25	4	1.5	-26	-28	0	29	0
26	4	2	28	-28	0	30	0
28	4	3	27	29	0	31	0
30	4	4	26	31	0	-31	0
32	5	1	25	30	0	32	0
34	5	2	-25	29	0	-32	0
35	5	2.5	-25	-29	0	31	0
36	5	3	21	28	32	30	0
39	5	4.5	-21	-28	-32	29	0
40	6	1	0	24	33	28	35
42	6	2	0	-24	-33	35	-35
44	6	3	25	0	32	-35	36
46	6	4	-25	0	-32	34	-36
47	6	4.5	-25	0	31	-34	-36
48	7	1	26	28	30	35	35
49	7	1.5	-26	-28	29	-35	-35
50	7	2	-26	-28	30	-35	-35
51	7	2.5	25	-28	-30	-35	34
52	7	3	24	29	31	0	33
53	7	3.5	-24	-29	-31	0	32
54	7	4	22	-29	-31	0	33
55	7	4.5	-22	28	-31	0	-33
56	8	1	25	27	32	0	34
58	8	2	-25	25	-32	0	-34
59	8	2.5	-25	-25	31	0	-34
60	8	3	21	28	30	0	35
63	8	4.5	-21	-28	29	0	34
64	9	1	28	24	28	0	33
66	9	2	-28	-24	35	0	-33
67	9	2.5	-28	-24	-35	0	32
68	9	3	29	31	-35	0	31
70	9	4	-29	-31	34	0	38
72	10	1	28	32	35	0	-38
74	10	2	-28	-32	-35	35	37
76	10	3	0	31	0	33	38
78	10	4	29	-31	0	33	-38
80	11	1	27	0	0	34	0
82	11	2	25	32	0	-34	0
84	11	3	28	30	0	35	0
85	11	3.5	27	-30	0	-35	0
86	11	4	26	28	0	-35	0
87	11	4.5	25	-28	0	-35	0
88	12	1	24	31	0	33	0
89	12	1.5	-24	30	0	-33	0
90	12	2	25	29	0	34	0
91	12	2.5	-25	28	0	-34	0
92	12	3	-25	27	0	-34	0
93	12	3.5	-25	-27	0	33	0
94	12	4	23	28	0	32	0
95	12	4.5	-23	-28	0	31	0
96	13	1	26	-28	0	30	0
98	13	2	-26	26	35	-30	0
100	13	3	22	29	33	31	0
102	13	4	-22	-29	33	-31	38
104	14	1	0	25	34	32	36
106	14	2	25	-25	-34	-32	36
108	14	3	28	0	35	30	37
110	14	4	26	28	-35	-30	-37
112	15	1	29	31	33	29	38
114	15	2	-29	29	34	-29	-38
116	15	3	25	32	-34	0	36
117	15	3.5	-25	-32	33	0	-36
118	15	4	-25	-32	32	0	37
119	15	4.5	-25	-32	31	0	-37
120	16	1	26	28	30	0	-37
121	16	1.5	-26	-28	-30	0	36
122	16	2	-26	-28	-30	0	35
123	16	2.5	25	-28	-30	0	34
124	16	3	24	29	31	0	33
126	16	4	22	-29	-31	0	-33
127	16	4.5	-22	28	-31	0	-33
128	17	1	25	27	32	0	34
130	17	2	-25	25	-32	0	-34
132	17	3	26	28	30	0	35
134	17	4	-26	-28	-30	30	-35
136	18	1	22	29	29	31	33
138	18	2	29	-29	-29	-31	-33
140	18	3	-29	25	0	32	32
142	18	4	27	32	0	-32	-32
144	19	1	28	-32	0	30	0
146	19	2	-28	30	0	-30	0
148	19	3	26	31	0	33	0
151	19	4.5	-26	-31	0	32	0
152	20	1	27	29	0	31	0
153	20	1.5	-27	-29	0	30	0
154	20	2	-27	-29	0	29	0
156	20	3	26	30	0	-29	0
157	20	3.5	-26	-30	0	28	0
157.5	20	3.75	-26	-30	0	27	0
158	20	4	-26	-30	30	28	0
160	21	1	22	29	31	29	0
162	21	2	-22	-29	-31	-29	33
164	21	3	0	32	32	-29	34
166	21	4	25	-32	-32	-29	-34
168	22	1	28	0	30	0	35
170	22	2	26	28	-30	0	-35
172	22	3	-26	31	33	0	33
173	22	3.5	25	-31	-33	0	-33
174	22	4	24	29	-33	0	-33
175	22	4.5	23	-29	32	0	-33
176	23	1	22	-29	31	0	36
177	23	1.5	-22	28	30	0	-36
178	23	2	22	27	29	0	-36
179	23	2.5	-22	26	-29	0	35
180	23	3	23	25	-29	0	34
181	23	3.5	-23	-25	28	0	33
181.5	23	3.75	-23	-25	27	0	-33
182	23	4	-23	25	28	0	32
184	24	1	22	26	29	0	-32
185	24	1.5	-22	-26	-29	0	31
185.5	24	1.75	-22	-26	-29	0	30
186	24	2	-22	-26	-29	33	31
188	24	3	0	25	-29	34	32
190	24	4	25	-25	-29	-34	-32
192	25	1	28	0	0	35	-32
194	25	2	-28	28	0	-35	-32
196	25	3	29	31	0	33	0
200	26	1	25	32	0	34	0
204	26	3	24	28	0	33	0
206	26	4	23	-28	0	32	0
208	27	1	22	27	0	-32	0
209	27	1.5	-22	-27	0	31	0
210	27	2	-22	26	33	31	0
212	27	3	0	25	34	32	0
214	27	4	25	-25	-34	-32	36
216	28	1	28	0	35	30	37
218	28	2	-28	28	-35	-30	-37
220	28	3	29	31	33	29	38
224	29	1	25	32	34	-29	36
228	29	3	0	28	33	0	37
230	29	4	28	-28	32	0	-37
232	30	1	27	0	-32	0	36
