**absq	**bar	**beat	**b7	**b7	**b7	**b7	**b7	**b7
0	1	1	25	0	0	0	29	0
4	1	3	25	0	0	0	-29	32
6	1	4	-25	0	0	0	29	-32
8	2	1	28	0	0	0	30	-32
10	2	2	-28	0	0	28	32	32
12	2	3	26	0	0	-28	-32	33
14	2	4	-26	0	0	28	31	35
16	3	1	25	0	0	29	32	-35
18	3	2	-25	0	0	-29	-32	34
20	3	3	26	0	0	31	0	35
22	3	4	-26	0	0	30	35	-35
23	3	4.5	-26	0	0	-30	-35	36
24	4	1	25	0	0	32	-35	37
26	4	2	-25	0	0	-32	34	36
27	4	2.5	-25	0	0	31	-34	-36
28	4	3	26	0	0	30	33	35
30	4	4	24	0	0	31	-33	33
31	4	4.5	25	0	0	-31	-33	34
32	5	1	26	0	0	-31	-33	35
33	5	1.5	27	0	0	-31	-33	36
34	5	2	28	0	0	30	32	37
35	5	2.5	-28	0	0	-30	-32	38
36	5	3	-28	0	25	29	32	39
38	5	4	27	0	-25	-29	-32	-39
39	5	4.5	26	0	-25	28	-32	-39
40	6	1	27	0	25	29	32	0
42	6	2	-27	0	-25	-29	-32	39
43	6	2.5	-27	0	-25	-29	-32	38
44	6	3	28	0	28	30	32	37
45	6	3.5	27	0	-28	-30	-32	36
46	6	4	26	0	-28	-30	33	35
47	6	4.5	25	0	-28	-30	-33	-35
48	7	1	24	0	26	31	-33	-35
50	7	2	-24	0	-26	-31	31	33
52	7	3	21	28	25	30	32	35
53	7	3.5	-21	-28	-25	-30	31	-35
54	7	4	-21	-28	-25	32	30	-35
55	7	4.5	-21	-28	-25	-32	29	-35
56	8	1	24	28	26	31	28	-35
58	8	2	-24	-28	-26	-31	31	-35
59	8	2.5	-24	-28	-26	30	32	-35
59.5	8	2.75	-24	-28	-26	29	-32	-35
60	8	3	-24	31	-26	28	33	-35
61	8	3.5	-24	-31	-26	-28	34	-35
62	8	4	-24	-31	-26	28	35	-35
64	9	1	0	29	25	32	-35	36
66	9	2	0	-29	-25	-32	34	-36
68	9	3	24	28	26	0	35	0
70	9	4	-24	-28	-26	0	33	38
72	10	1	22	29	24	31	-33	-38
73	10	1.5	-22	-29	-24	-31	31	-38
74	10	2	-22	-29	-24	-31	34	36
76	10	3	-22	-29	24	31	33	38
78	10	4	-22	-29	-24	33	-33	-38
80	11	1	24	28	26	-33	31	-38
81	11	1.5	-24	-28	-26	32	-31	-38
82	11	2	-24	-28	-26	33	-31	35
83	11	2.5	23	-28	-26	-33	-31	-35
84	11	3	22	29	26	31	0	38
85	11	3.5	21	-29	-26	-31	0	-38
86	11	4	22	-29	-26	-31	0	-38
88	12	1	23	27	25	32	0	37
90	12	2	-23	-27	-25	-32	32	-37
91	12	2.5	24	-27	-25	-32	-32	-37
92	12	3	25	27	25	0	32	36
94	12	4	-25	-27	-25	25	32	-36
96	13	1	22	29	0	26	-32	-36
98	13	2	-22	-29	0	-26	31	-36
100	13	3	25	29	0	27	32	36
102	13	4	-25	-29	0	-27	-32	39
104	14	1	21	28	0	28	0	-39
105	14	1.5	-21	-28	0	29	0	38
106	14	2	-21	-28	0	30	35	37
107	14	2.5	-21	-28	0	31	-35	36
108	14	3	-21	28	0	32	-35	37
