**absq	**bar	**beat	**b7	**b7	**b7	**b7	**b7
0	24	1	25	0	29	32	34
2	24	2	-25	27	29	32	36
4	24	3	0	28	0	30	37
6	25	1	0	26	0	31	35
8	25	2	0	29	0	-31	33
9	25	2.5	0	-29	0	29	-33
10	25	3	0	28	0	30	35
11	25	3.5	0	-28	0	31	-35
12	26	1	0	25	0	32	34
14	26	2	0	29	0	-32	33
15	26	2.5	0	-29	0	31	-33
15.5	26	2.75	0	-29	0	30	-33
16	26	3	0	-29	0	31	-33
17	26	3.5	0	28	0	-31	-33
18	27	1	25	27	29	32	32
20	27	2	-25	25	-29	-32	34
22	27	3	23	25	30	-32	34
24	28	1	24	26	28	0	33
26	28	2	-24	24	26	0	33
27	28	2.5	22	-24	-26	0	-33
28	28	3	23	25	28	0	32
29	28	3.5	24	-25	-28	0	33
30	29	1	25	-25	27	0	34
31	29	1.5	-25	-25	-27	0	35
32	29	2	-25	22	26	0	36
33	29	2.5	24	-22	-26	0	-36
33.5	29	2.75	23	-22	-26	0	-36
34	29	3	24	-22	-26	0	-36
36	30	1	25	29	25	0	34
38	30	2	-25	-29	-25	32	36
40	30	3	-25	30	-25	-32	34
42	31	1	0	28	0	33	35
44	31	2	0	29	0	31	33
46	31	3	0	25	0	29	34
47	31	3.5	0	-25	0	-29	35
48	32	1	0	22	0	31	36
50	32	2	0	26	0	30	-36
51	32	2.5	0	-26	0	-30	35
51.5	32	2.75	0	-26	0	-30	34
52	32	3	0	-26	26	-30	35
54	33	1	22	0	-26	29	36
56	33	2	-22	29	24	-29	-36
58	33	3	23	27	25	0	0
60	34	1	21	28	23	30	0
62	34	2	19	-28	26	30	0
63	34	2.5	-19	29	-26	-30	0
64	34	3	21	30	-26	28	0
65	34	3.5	-21	-30	25	-28	0
66	35	1	20	29	25	29	0
68	35	2	19	28	-25	30	0
69	35	2.5	-19	-28	24	-30	0
69.5	35	2.75	-19	-28	23	-30	0
70	35	3	-19	26	24	28	0
*-	*-	*-	*-	*-	*-	*-	*-
