**absq	**bar	**beat	**b7	**b7	**b7	**b7	**b7
0	1	1	0	0	0	0	32
4	1	3	0	0	0	28	-32
6	1	4	0	0	0	-28	32
8	2	1	0	0	0	-28	39
10	2	2	0	0	28	28	-39
12	2	3	0	0	-28	35	37
14	2	4	0	0	28	-35	-37
16	3	1	0	0	32	34	36
18	3	2	0	0	-32	34	-36
20	3	3	0	0	30	35	37
22	3	4	0	0	29	36	38
24	4	1	0	0	30	-36	39
25	4	1.5	0	0	-30	35	-39
26	4	2	0	0	31	35	38
27	4	2.5	0	0	-31	-35	37
28	4	3	0	0	32	-35	36
30	4	4	0	0	-32	34	39
31	4	4.5	0	0	31	33	-39
32	5	1	0	0	30	34	-39
33	5	1.5	0	0	29	-34	38
34	5	2	0	0	28	35	37
35	5	2.5	0	0	27	-35	36
36	5	3	0	0	28	32	37
37	5	3.5	0	0	29	-32	36
38	5	4	0	0	30	-32	35
40	6	1	0	25	29	-32	-35
42	6	2	0	-25	-29	-32	34
44	6	3	21	-25	30	-32	35
46	6	4	-21	25	-30	-32	-35
48	7	1	-21	32	-30	0	-35
50	7	2	21	-32	-30	32	-35
52	7	3	28	30	0	-32	-35
54	7	4	-28	-30	28	32	-35
56	8	1	26	28	30	35	0
58	8	2	-26	-28	31	-35	0
60	8	3	25	29	32	-35	0
62	8	4	-25	30	-32	34	0
64	9	1	26	31	28	33	0
66	9	2	27	32	25	32	0
67	9	2.5	-27	-32	-25	31	0
68	9	3	28	-32	32	30	0
69	9	3.5	-28	31	-32	29	0
70	9	4	-28	30	-32	28	0
71	9	4.5	27	29	-32	29	0
72	10	1	26	28	33	30	35
73	10	1.5	25	-28	-33	-30	-35
74	10	2	24	-28	-33	31	-35
75	10	2.5	23	-28	32	32	-35
76	10	3	24	-28	31	33	-35
77	10	3.5	25	-28	-31	34	-35
78	10	4	26	-28	30	35	35
79	10	4.5	-26	-28	31	-35	-35
80	11	1	25	29	32	-35	39
82	11	2	-25	-29	-32	34	-39
84	11	3	21	28	32	35	37
86	11	4	-21	30	-32	32	39
88	12	1	0	29	0	33	38
90	12	2	0	32	0	34	39
92	12	3	0	28	0	35	37
93	12	3.5	0	-28	0	-35	38
94	12	4	0	-28	0	-35	39
95	12	4.5	0	-28	0	-35	37
96	13	1	0	29	0	33	38
98	13	2	0	30	0	32	37
100	13	3	0	31	0	33	35
102	13	4	0	-31	0	-33	36
103	13	4.5	0	32	0	32	-36
104	14	1	0	33	0	31	-36
105	14	1.5	0	-33	0	-31	35
106	14	2	0	32	0	30	35
108	14	3	25	32	0	29	-35
110	14	4	-25	-32	32	-29	34
112	15	1	26	0	31	0	35
114	15	2	27	0	32	0	34
115	15	2.5	-27	0	-32	0	33
116	15	3	28	0	30	0	32
118	15	4	-28	32	-30	32	-32
120	16	1	26	31	28	33	0
122	16	2	25	32	29	34	0
124	16	3	26	30	28	35	0
126	16	4	-26	-30	26	-35	35
127	16	4.5	25	-30	-26	-35	-35
128	17	1	24	31	-26	33	36
129	17	1.5	-24	-31	24	-33	-36
130	17	2	23	32	28	32	37
132	17	3	22	31	-28	33	38
134	17	4	-22	-31	27	29	-38
135	17	4.5	-22	30	-27	-29	-38
135.5	17	4.75	-22	29	-27	-29	-38
136	18	1	21	32	28	0	37
138	18	2	28	28	-28	32	-37
140	18	3	28	29	0	31	36
142	18	4	27	-29	0	32	-36
144	19	1	28	32	0	30	37
146	19	2	-28	-32	0	28	-37
147	19	2.5	27	-32	0	29	36
148	19	3	26	0	0	30	35
149	19	3.5	-26	0	0	31	-35
150	19	4	25	0	29	32	34
152	20	1	0	0	28	-32	33
154	20	2	0	0	29	31	-33
156	20	3	25	0	27	32	32
157	20	3.5	-25	0	-27	-32	33
158	20	4	-25	0	-27	-32	34
159	20	4.5	-25	0	-27	-32	35
160	21	1	24	0	26	29	36
162	21	2	25	0	27	-29	-36
164	21	3	23	0	25	0	0
165	21	3.5	-23	0	26	0	0
166	21	4	-23	25	27	32	0
167	21	4.5	-23	-25	28	-32	0
168	22	1	22	26	29	31	0
170	22	2	25	27	-29	32	0
172	22	3	21	28	32	30	0
173	22	3.5	22	-28	-32	-30	0
174	22	4	23	-28	-32	-30	0
175	22	4.5	24	-28	-32	-30	0
176	23	1	25	27	32	29	0
178	23	2	-25	-27	-32	30	0
180	23	3	26	26	31	28	0
181	23	3.5	-26	27	-31	29	0
182	23	4	-26	28	30	30	0
183	23	4.5	-26	26	-30	31	0
184	24	1	25	27	30	32	0
186	24	2	-25	28	29	-32	0
187	24	2.5	-25	-28	28	-32	0
188	24	3	-25	-28	29	-32	0
190	24	4	-25	27	-29	-32	0
192	25	1	21	28	28	30	32
194	25	2	-21	30	-28	-30	-32
196	25	3	0	31	0	29	33
198	25	4	25	32	0	-29	34
200	26	1	-25	-32	0	30	-34
202	26	2	26	28	0	31	33
204	26	3	27	29	0	-31	-33
206	26	4	-27	-29	0	30	32
207	26	4.5	-27	-29	0	29	-32
208	27	1	26	30	0	28	-32
210	27	2	-26	28	0	-28	31
212	27	3	25	-28	29	29	32
214	27	4	-25	27	-29	-29	-32
215	27	4.5	-25	-27	-29	30	-32
216	28	1	24	26	-29	31	0
218	28	2	23	28	30	32	0
