**absq	**bar	**beat	**b7	**b7	**b7	**b7
0	1	1	0	0	31	0
8	2	1	0	28	32	0
12	2	3	0	-28	33	0
16	3	1	0	29	34	0
20	3	3	0	30	-34	0
22	3	4	0	-30	33	0
23	3	4.5	0	-30	32	0
24	4	1	0	31	33	35
30	4	4	0	30	32	-35
31	4	4.5	0	29	31	-35
32	5	1	0	30	32	-35
34	5	2	0	31	33	-35
36	5	3	0	27	31	36
38	5	4	0	-27	32	-36
40	6	1	0	28	-32	37
42	6	2	0	-28	33	-37
44	6	3	0	29	-33	38
46	6	4	0	-29	31	-38
47	6	4.5	0	-29	32	-38
48	7	1	0	-29	33	-38
49	7	1.5	0	-29	34	-38
50	7	2	0	28	35	37
51	7	2.5	0	27	-35	36
52	7	3	0	26	-35	37
53	7	3.5	0	-26	34	-37
54	7	4	0	24	33	38
56	8	1	0	27	-33	36
58	8	2	0	-27	32	-36
60	8	3	24	26	33	35
62	8	4	-24	28	-33	-35
64	9	1	-24	-28	0	33
66	9	2	-24	29	0	-33
68	9	3	25	-29	0	34
70	9	4	-25	30	0	-34
72	10	1	26	-30	0	35
74	10	2	-26	31	0	-35
76	10	3	27	-31	0	36
77	10	3.5	-27	30	0	-36
78	10	4	-27	29	0	-36
79	10	4.5	-27	28	0	-36
80	11	1	-27	27	31	-36
82	11	2	26	28	-31	35
83	11	2.5	25	-28	-31	34
84	11	3	26	24	-31	35
86	11	4	27	31	-31	36
88	12	1	25	-31	32	34
90	12	2	-25	30	-32	-34
92	12	3	24	29	33	0
94	12	4	26	28	-33	0
96	13	1	25	29	34	0
98	13	2	-25	27	-34	0
100	13	3	24	28	-34	31
102	13	4	-24	-28	33	-31
103	13	4.5	23	-28	32	-31
104	14	1	22	0	33	-31
106	14	2	-22	0	31	-31
108	14	3	21	28	-31	32
110	14	4	28	-28	30	-32
112	15	1	24	-28	31	33
114	15	2	26	-28	-31	-33
116	15	3	25	29	32	34
120	16	1	-25	30	-32	-34
122	16	2	-25	-30	-32	33
123	16	2.5	-25	-30	-32	32
124	16	3	24	31	28	33
128	17	1	0	27	29	34
130	17	2	0	31	27	-34
132	17	3	21	-31	28	32
134	17	4	-21	30	-28	-32
136	18	1	24	29	0	33
138	18	2	-24	28	0	35
140	18	3	24	29	0	-35
142	18	4	25	-29	0	34
144	19	1	26	28	0	35
146	19	2	-26	-28	28	33
148	19	3	24	-28	31	-33
149	19	3.5	-24	-28	-31	34
150	19	4	-24	-28	-31	35
151	19	4.5	-24	-28	-31	33
152	20	1	27	0	31	36
154	20	2	-27	0	32	-36
156	20	3	26	24	33	35
159	20	4.5	25	-24	-33	-35
160	21	1	24	28	-33	0
162	21	2	23	-28	32	0
164	21	3	24	28	33	31
166	21	4	22	29	31	-31
168	22	1	21	30	32	35
170	22	2	28	28	-32	-35
172	22	3	26	31	0	35
174	22	4	27	-31	0	36
176	23	1	28	30	0	37
178	23	2	-28	-30	28	-37
179	23	2.5	27	-30	-28	-37
180	23	3	26	0	31	35
181	23	3.5	25	0	-31	-35
182	23	4	24	26	-31	-35
184	24	1	-24	-26	31	-35
185	24	1.5	-24	24	-31	-35
186	24	2	23	28	32	-35
188	24	3	22	-28	33	38
190	24	4	-22	27	31	-38
192	25	1	21	26	35	-38
194	25	2	-21	25	-35	37
195	25	2.5	-21	24	-35	-37
196	25	3	0	25	34	36
198	25	4	0	26	33	35
200	26	1	0	27	32	34
202	26	2	0	-27	31	-34
203	26	2.5	0	-27	-31	33
204	26	3	21	28	-31	32
206	26	4	-21	-28	30	-32
208	27	1	24	-28	31	33
210	27	2	-24	26	-31	35
212	27	3	24	29	0	33
214	27	4	25	-29	0	34
216	28	1	26	28	0	35
218	28	2	-26	-28	28	-35
219	28	2.5	-26	-28	-28	34
220	28	3	24	0	31	33
221	28	3.5	-24	0	-31	31
222	28	4	-24	28	-31	38
224	29	1	27	29	31	-38
225	29	1.5	-27	-29	-31	37
226	29	2	-27	-29	32	36
227	29	2.5	-27	30	-32	-36
228	29	3	26	31	33	35
229	29	3.5	-26	32	-33	-35
230	29	4	-26	33	-33	-35
231	29	4.5	25	-33	-33	34
232	30	1	26	-33	31	35
233	30	1.5	-26	32	-31	-35
234	30	2	27	31	-31	36
236	30	3	25	-31	34	-36
238	30	4	-25	30	-34	35
239	30	4.5	-25	-30	-34	34
240	31	1	24	31	-34	36
242	31	2	-24	-31	33	35
243	31	2.5	-24	30	-33	-35
244	31	3	-24	29	33	0
246	31	4	-24	28	-33	35
247	31	4.5	-24	27	-33	-35
248	32	1	-24	26	0	-35
250	32	2	-24	-26	31	33
252	32	3	0	0	32	34
254	32	4	0	0	33	35
256	33	1	27	0	29	36
258	33	2	-27	0	32	-36
259	33	2.5	-27	0	-32	35
260	33	3	25	0	-32	34
262	33	4	26	0	31	33
264	34	1	27	0	-31	32
266	34	2	28	28	30	-32
268	34	3	24	-28	31	33
270	34	4	24	26	-31	-33
272	35	1	25	27	0	0
274	35	2	26	28	0	0
276	35	3	22	29	0	0
278	35	4	25	-29	0	0
279	35	4.5	-25	28	0	0
280	36	1	-25	27	0	0
282	36	2	24	26	0	35
284	36	3	-24	25	0	36
