**absq	**bar	**beat	**b7	**b7	**b7	**b7	**b7	**b7
0	1	1	0	32	28	0	0	35
4	1	3	0	33	31	0	0	-35
8	2	1	0	-33	-31	0	28	35
10	2	2	0	32	30	0	-28	-35
12	2	3	0	33	31	0	31	-35
14	2	4	0	32	30	0	32	-35
16	3	1	0	-32	29	0	33	36
17	3	1.5	0	31	-29	0	-33	-36
18	3	2	0	31	27	0	34	-36
20	3	3	0	-31	28	0	32	35
22	3	4	0	30	-28	0	-32	-35
23	3	4.5	0	-30	-28	0	33	-35
24	4	1	0	29	27	0	34	38
26	4	2	0	-29	-27	0	27	-38
27	4	2.5	0	28	-27	0	28	37
28	4	3	0	27	-27	0	29	36
29	4	3.5	0	-27	-27	0	30	-36
30	4	4	0	26	28	0	31	35
32	5	1	0	25	29	0	32	34
34	5	2	0	24	31	0	28	33
36	5	3	0	28	-31	0	-28	32
37	5	3.5	0	-28	-31	0	29	-32
38	5	4	0	-28	30	0	30	35
39	5	4.5	0	-28	-30	0	31	-35
40	6	1	25	0	29	32	32	-35
42	6	2	-25	32	-29	-32	29	34
44	6	3	28	-32	28	-32	30	35
45	6	3.5	-28	31	29	-32	-30	-35
46	6	4	-28	30	30	-32	-30	-35
47	6	4.5	-28	29	31	-32	-30	-35
48	7	1	-28	28	32	32	-30	0
50	7	2	27	29	25	-32	29	0
52	7	3	28	30	0	-32	28	0
54	7	4	27	29	0	-32	29	0
56	8	1	26	-29	0	33	30	0
57	8	1.5	-26	28	0	-33	-30	0
58	8	2	24	28	0	-33	31	0
60	8	3	25	-28	0	32	29	0
62	8	4	-25	27	0	-32	-29	32
63	8	4.5	-25	-27	0	-32	30	-32
64	9	1	24	26	0	35	31	33
66	9	2	-24	-26	31	-35	28	31
67	9	2.5	-24	27	-31	34	-28	32
68	9	3	-24	28	-31	33	-28	33
69	9	3.5	-24	-28	-31	-33	29	34
70	9	4	21	-28	30	32	30	35
72	10	1	22	0	29	31	31	34
73	10	1.5	-22	0	-29	-31	-31	33
74	10	2	23	0	28	30	32	35
76	10	3	24	0	-28	29	33	36
78	10	4	25	0	27	-29	32	-36
80	11	1	21	0	28	28	32	37
82	11	2	-21	32	28	35	-32	37
84	11	3	0	33	24	35	0	38
88	12	1	0	32	28	35	0	37
92	12	3	0	30	28	32	0	35
94	12	4	0	31	27	34	0	36
97	13	1.5	0	-31	27	-34	0	-36
98	13	2	0	30	28	33	0	35
100	13	3	0	-30	25	-33	0	-35
101	13	3.5	0	-30	-25	32	0	-35
102	13	4	25	29	-25	32	0	34
104	14	1	26	29	0	-32	0	35
105	14	1.5	-26	28	0	-32	0	-35
106	14	2	-26	28	28	31	0	-35
108	14	3	25	-28	29	32	0	0
110	14	4	-25	27	-29	-32	32	36
112	15	1	23	28	28	0	-32	37
113	15	1.5	-23	27	-28	0	-32	-37
114	15	2	24	26	-28	0	33	35
115	15	2.5	-24	25	-28	0	-33	-35
116	15	3	-24	24	26	0	-33	36
118	15	4	23	25	28	0	32	37
120	16	1	22	26	-28	0	31	38
122	16	2	-22	24	27	0	31	-38
124	16	3	21	25	28	32	-31	0
126	16	4	-21	-25	-28	-32	30	0
128	17	1	0	24	28	33	31	35
130	17	2	0	26	-28	-33	-31	-35
132	17	3	0	27	0	31	29	36
134	17	4	0	-27	0	34	-29	-36
135	17	4.5	0	-27	0	-34	30	-36
136	18	1	0	24	0	-34	31	35
137	18	1.5	0	-24	0	33	-31	-35
138	18	2	0	-24	0	33	28	-35
140	18	3	0	0	0	31	29	33
142	18	4	0	27	0	-31	-29	34
144	19	1	0	25	0	32	0	-34
146	19	2	0	26	0	31	0	33
148	19	3	0	27	0	-31	0	32
150	19	4	0	28	0	30	32	-32
152	20	1	24	-28	28	31	33	31
154	20	2	-24	26	-28	-31	-33	35
156	20	3	20	27	29	-31	31	34
158	20	4	-20	24	-29	-31	34	-34
160	21	1	24	-24	28	-31	-34	35
162	21	2	-24	31	-28	-31	33	-35
164	21	3	-24	31	26	0	-33	-35
166	21	4	25	29	27	0	32	34
168	22	1	23	30	-27	0	-32	32
169	22	1.5	-23	29	-27	0	-32	-32
170	22	2	24	28	26	0	31	33
171	22	2.5	-24	27	-26	0	-31	-33
172	22	3	21	28	25	0	-31	35
174	22	4	-21	-28	-25	0	30	-35
176	23	1	24	26	24	0	31	35
178	23	2	-24	-26	-24	33	-31	-35
180	23	3	0	29	0	-33	0	38
181	23	3.5	0	-29	0	32	0	-38
182	23	4	0	-29	0	31	33	-38
183	23	4.5	0	-29	0	30	-33	-38
184	24	1	0	-29	0	29	-33	-38
186	24	2	0	28	0	30	33	37
188	24	3	0	27	0	31	29	36
190	24	4	0	26	0	33	31	35
192	25	1	0	27	0	-33	-31	36
194	25	2	0	-27	0	32	30	-36
195	25	2.5	0	-27	0	-32	29	-36
196	25	3	0	26	0	33	30	35
198	25	4	24	-26	28	33	31	-35
200	26	1	-24	28	24	-33	-31	-35
202	26	2	23	-28	25	32	28	-35
203	26	2.5	-23	28	-25	-32	-28	-35
204	26	3	22	24	26	31	0	0
206	26	4	21	26	28	30	0	0
208	27	1	22	26	-28	31	0	0
210	27	2	-22	25	27	-31	0	0
211	27	2.5	-22	24	-27	-31	0	0
212	27	3	21	25	28	30	0	0
214	27	4	-21	-25	-28	-30	35	0
216	28	1	0	24	0	33	-35	38
218	28	2	0	-24	31	-33	31	-38
220	28	3	0	0	-31	-33	33	-38
222	28	4	0	0	28	32	35	37
224	29	1	0	0	29	34	31	36
226	29	2	0	31	31	33	-31	35
227	29	2.5	0	-31	-31	-33	30	-35
228	29	3	0	-31	27	34	29	36
230	29	4	0	29	-27	-34	32	-36
231	29	4.5	0	-29	-27	33	-32	-36
232	30	1	0	30	28	32	-32	35
