**absq	**bar	**beat	**b7	**b7	**b7	**b7
0	1	1	0	0	23	30
6	1	2.5	0	0	-23	28
8	1	3	0	0	-23	28
12	2	1	23	0	-23	32
18	2	2.5	21	0	-23	30
20	2	3	21	0	-23	30
24	3	1	25	0	23	34
28	3	2	-25	0	27	-34
30	3	2.5	23	0	-27	32
32	3	3	23	0	-27	32
36	4	1	21	0	28	32
42	4	2.5	19	0	-28	33
44	4	3	19	0	-28	-33
46	4	3.5	-19	0	-28	32
47	4	3.75	-19	0	-28	31
48	5	1	23	0	27	32
51	5	1.75	-23	0	-27	31
52	5	2	-23	0	25	30
53	5	2.25	-23	0	-25	29
54	5	2.5	-23	0	-25	30
56	5	3	24	0	26	-30
58	5	3.5	-24	0	-26	29
60	6	1	21	0	25	30
62	6	1.5	20	0	-25	29
63	6	1.75	21	0	-25	30
64	6	2	-21	0	23	-30
65	6	2.25	20	0	-23	29
65.5	6	2.375	19	0	-23	28
66	6	2.5	18	0	-23	27
68	6	3	17	0	24	26
72	7	1	21	0	23	0
75	7	1.75	-21	0	24	0
76	7	2	20	0	25	0
78	7	2.5	19	0	26	0
80	7	3	20	0	-26	0
82	7	3.5	-20	0	25	0
84	8	1	19	0	26	30
86	8	1.5	-19	0	28	-30
87	8	1.75	-19	0	-28	31
88	8	2	0	0	-28	32
90	8	2.5	24	0	26	33
92	8	3	25	0	27	-33
93	8	3.25	-25	0	-27	32
94	8	3.5	-25	0	-27	32
96	9	1	22	0	26	0
97	9	1.25	-22	0	-26	31
98	9	1.5	23	0	0	32
99	9	1.75	-23	0	25	-32
100	9	2	22	0	26	0
101	9	2.25	-22	0	-26	31
102	9	2.5	23	0	0	32
103	9	2.75	-23	0	25	-32
104	9	3	22	0	26	0
105	9	3.25	-22	0	-26	31
106	9	3.5	21	0	0	30
107	9	3.75	-21	0	28	-30
108	10	1	0	0	27	29
109	10	1.25	25	0	-27	-29
110	10	1.5	24	0	26	31
111	10	1.75	23	0	-26	-31
111.5	10	1.875	22	0	-26	-31
112	10	2	21	0	28	30
113	10	2.25	-21	0	-28	29
113.5	10	2.375	-21	0	-28	28
114	10	2.5	0	0	27	29
115	10	2.75	25	0	26	-29
116	10	3	24	0	26	0
117	10	3.25	23	0	-26	0
117.5	10	3.375	22	0	-26	0
118	10	3.5	23	0	25	0
119	10	3.75	-23	0	-25	32
120	11	1	22	0	0	31
121	11	1.25	-22	0	29	30
121.5	11	1.375	-22	0	-29	29
122	11	1.5	0	0	28	30
123	11	1.75	26	0	27	-30
123.5	11	1.875	-26	0	26	-30
124	11	2	25	0	27	0
125	11	2.25	24	0	-27	0
125.5	11	2.375	23	0	-27	0
126	11	2.5	24	0	26	0
127	11	2.75	-24	0	-26	33
128	11	3	23	0	0	32
129	11	3.25	-23	0	30	31
129.5	11	3.375	-23	0	-30	30
130	11	3.5	0	0	29	31
131	11	3.75	0	0	28	-31
131.5	11	3.875	0	0	27	-31
132	12	1	19	0	28	30
134	12	1.5	18	0	27	32
136	12	2	21	0	30	-32
137	12	2.25	-21	0	-30	28
138	12	2.5	-21	0	-30	28
139	12	2.75	-21	0	29	-28
140	12	3	21	0	28	26
141	12	3.25	-21	0	27	28
141.5	12	3.375	-21	0	26	-28
142	12	3.5	20	0	25	29
143	12	3.75	21	0	-25	30
144	13	1	-21	0	21	-30
145	13	1.25	22	0	-21	29
145.5	13	1.375	-22	0	-21	28
146	13	1.5	23	0	25	27
148	13	2	24	0	26	26
150	13	2.5	-24	0	-26	33
152	13	3	23	0	27	-33
154	13	3.5	-23	0	-27	32
156	14	1	19	23	26	33
158	14	1.5	-19	-23	28	-33
160	14	2	-19	-23	-28	33
162	14	2.5	-19	-23	21	-33
163	14	2.75	-19	-23	-21	32
163.5	14	2.875	-19	-23	-21	31
164	14	3	21	-23	-21	30
165	14	3.25	-21	-23	22	-30
166	14	3.5	-21	-23	23	-30
167	14	3.75	-21	-23	24	-30
168	15	1	18	27	25	29
174	15	2.5	-18	-27	-25	29
176	15	3	18	-27	-25	29
180	16	1	21	28	23	30
182	16	1.5	-21	-28	25	-30
183	16	1.75	22	-28	-25	31
184	16	2	23	-28	-25	32
185	16	2.25	-23	-28	23	-32
186	16	2.5	19	-28	-23	33
187	16	2.75	-19	-28	24	-33
188	16	3	21	-28	23	32
189	16	3.25	-21	-28	21	-32
190	16	3.5	-21	-28	-21	30
191	16	3.75	-21	-28	25	-30
192	17	1	25	27	-25	29
193	17	1.25	-25	-27	25	-29
194	17	1.5	-25	-27	25	-29
196	17	2	25	-27	23	32
198	17	2.5	23	-27	-23	-32
199	17	2.75	-23	-27	24	-32
200	17	3	-23	-27	25	-32
201	17	3.25	24	-27	-25	-32
202	17	3.5	25	-27	-25	30
204	18	1	21	25	23	30
207	18	1.75	-21	-25	-23	29
207.5	18	1.875	-21	-25	-23	28
208	18	2	0	-25	-23	27
210	18	2.5	0	-25	-23	30
212	18	3	0	26	24	-30
214	18	3.5	0	-26	-24	29
216	19	1	21	25	23	30
220	19	2	21	23	25	30
223	19	2.75	20	-23	-25	29
223.5	19	2.875	19	-23	-25	28
224	19	3	18	-23	-25	27
228	20	1	17	24	28	26
236	20	3	0	-24	28	-26
238	20	3.5	17	-24	-28	-26
240	21	1	18	23	28	25
242	21	1.5	19	-23	-28	28
243	21	1.75	-19	-23	27	-28
244	21	2	-19	-23	26	-28
246	21	2.5	-19	24	-26	-28
247	21	2.75	-19	-24	25	-28
248	21	3	20	-24	24	29
249	21	3.25	-20	-24	23	-29
250	21	3.5	-20	-24	22	-29
252	22	1	-20	25	29	-29
254	22	1.5	21	-25	28	30
255	22	1.75	-21	-25	27	-30
255.5	22	1.875	-21	-25	26	-30
256	22	2	-21	-25	25	-30
257	22	2.25	-21	-25	28	-30
258	22	2.5	-21	26	-28	-30
258.5	22	2.625	-21	-26	27	-30
259	22	2.75	-21	-26	26	-30
259.5	22	2.875	-21	-26	25	-30
260	22	3	22	-26	24	31
261	22	3.25	-22	-26	22	-31
262	22	3.5	19	-26	21	30
263	22	3.75	-19	-26	-21	28
264	23	1	0	23	25	-28
265	23	1.25	0	-23	-25	32
266	23	1.5	22	24	26	31
267	23	1.75	-22	-24	-26	33
267.5	23	1.875	-22	-24	27	-33
268	23	2	21	25	28	-33
269	23	2.25	23	-25	-28	32
270	23	2.5	22	26	29	-32
271	23	2.75	-22	-26	-29	31
272	23	3	21	23	30	32
274	23	3.5	17	24	28	33
276	24	1	0	25	27	32
278	24	1.5	22	26	26	31
280	24	2	19	-26	28	-31
281	24	2.25	-19	-26	-28	30
282	24	2.5	21	25	28	30
284	24	3	22	24	27	-30
285	24	3.25	-22	-24	26	-30
286	24	3.5	-22	-24	-26	29
287	24	3.75	23	-24	26	-29
287.5	24	3.875	24	-24	-26	-29
288	25	1	25	23	27	30
290	25	1.5	23	-23	25	-30
292	25	2	25	-23	-25	-30
294	25	2.5	-25	-23	23	-30
295	25	2.75	26	-23	-23	-30
296	25	3	27	-23	25	-30
299	25	3.75	-27	-23	26	-30
300	26	1	23	-23	27	-30
302	26	1.5	-23	-23	28	-30
304	26	2	-23	-23	27	-30
312	27	1	0	0	0	0
312	27	1	0	0	23	30
315	27	2.5	0	0	-23	29
316	27	3	0	0	-23	30
317	27	3.5	0	0	-23	28
318	27	4	0	0	-23	32
320	28	1	0	0	27	-32
321	28	1.5	0	0	-27	31
322	28	2	0	0	-27	32
323	28	2.5	0	0	-27	30
324	28	3	0	0	-27	34
328	29	1	0	0	28	-34
330	29	2	0	0	-28	33
331	29	2.5	0	0	-28	32
332	29	3	0	0	-28	33
336	30	1	0	0	27	34
340	30	3	0	0	25	-34
344	31	1	19	0	26	35
347	31	2.5	18	0	-26	-35
348	31	3	19	0	-26	-35
