**absq	**bar	**beat	**b7	**b7	**b7	**b7
0	1	1	0	0	26	33
12	2	1	0	0	28	-33
16	2	2	0	0	-28	30
24	3	1	0	0	29	29
28	3	2	0	0	-29	31
32	3	3	0	0	28	30
34	3	3.5	0	0	-28	33
36	4	1	0	0	29	-33
38	4	1.5	0	0	31	-33
40	4	2	0	0	30	32
42	4	2.5	0	0	29	31
44	4	3	0	0	26	-31
46	4	3.5	0	0	-26	30
48	5	1	0	0	28	-30
50	5	1.5	0	0	-28	29
51	5	1.75	0	0	-28	28
52	5	2	0	0	29	27
56	5	3	0	0	30	26
58	5	3.5	0	0	-30	28
60	6	1	0	0	29	29
62	6	1.5	0	0	-29	31
64	6	2	0	0	28	30
66	6	2.5	0	0	-28	33
68	6	3	0	0	27	-33
70	6	3.5	0	0	-27	32
72	7	1	19	26	26	33
75	7	1.75	-19	-26	-26	32
76	7	2	-19	28	-26	30
78	7	2.5	-19	-28	-26	31
80	7	3	26	29	22	-31
82	7	3.5	-26	-29	-22	29
84	8	1	-26	28	0	30
88	8	2	22	29	26	29
90	8	2.5	-22	31	-26	-29
91	8	2.75	-22	-31	27	-29
92	8	3	21	30	28	0
94	8	3.5	22	29	26	0
95	8	3.75	-22	-29	29	0
96	9	1	-22	26	-29	29
97	9	1.25	-22	-26	28	-29
98	9	1.5	24	-26	26	-29
100	9	2	23	28	-26	30
102	9	2.5	-23	-28	25	-30
104	9	3	22	29	26	31
106	9	3.5	-22	-29	27	-31
108	10	1	21	30	28	32
110	10	1.5	-21	-30	-28	33
112	10	2	22	29	27	-33
114	10	2.5	-22	-29	-27	31
116	10	3	23	28	25	32
118	10	3.5	24	-28	-25	31
119	10	3.75	-24	-28	-25	30
120	11	1	25	27	0	29
124	11	2	0	-27	29	32
128	11	3	25	-27	-29	-32
132	12	1	28	26	30	33
138	12	2.5	28	-26	-30	32
139	12	2.75	-28	-26	-30	31
140	12	3	-28	-26	26	30
144	13	1	29	22	-26	29
146	13	1.5	-29	-22	-26	31
147	13	1.75	28	-22	-26	-31
148	13	2	27	-22	29	-31
150	13	2.5	26	-22	-29	30
151	13	2.75	-26	-22	28	-30
152	13	3	-26	-22	27	29
153	13	3.25	25	-22	-27	-29
154	13	3.5	24	-22	26	28
155	13	3.75	-24	-22	-26	27
156	14	1	-24	29	-26	26
157	14	1.25	23	-29	25	-26
158	14	1.5	22	-29	24	-26
160	14	2	21	30	23	-26
162	14	2.5	20	-30	22	27
164	14	3	19	-30	23	28
168	15	1	0	26	22	29
172	15	2	22	-26	0	-29
174	15	2.5	-22	-26	0	31
176	15	3	-22	-26	29	-31
178	15	3.5	-22	-26	-29	32
180	16	1	-22	26	-29	33
182	16	1.5	-22	-26	30	-33
184	16	2	-22	29	31	-33
186	16	2.5	-22	-29	-31	34
188	16	3	21	26	30	-34
190	16	3.5	-21	-26	28	33
192	17	1	20	27	29	-33
193	17	1.25	-20	-27	-29	32
194	17	1.5	-20	-27	-29	32
196	17	2	21	26	28	-32
197	17	2.25	-21	-26	-28	31
198	17	2.5	-21	-26	-28	31
200	17	3	-21	25	-28	-31
202	17	3.5	-21	-25	-28	30
204	18	1	0	24	28	31
208	18	2	28	-24	-28	0
210	18	2.5	-28	-24	-28	31
212	18	3	-28	-24	26	-31
213	18	3.25	-28	-24	-26	32
214	18	3.5	-28	-24	-26	33
216	19	1	26	24	24	34
218	19	1.5	-26	-24	-24	35
219	19	1.75	-26	-24	25	-35
219.5	19	1.875	-26	-24	26	-35
220	19	2	24	-24	27	-35
222	19	2.5	-24	-24	28	33
224	19	3	22	-24	-28	34
225	19	3.25	-22	-24	-28	33
226	19	3.5	-22	-24	27	32
227	19	3.75	-22	-24	-27	31
228	20	1	21	25	28	30
230	20	1.5	-21	-25	-28	32
232	20	2	20	-25	29	-32
234	20	2.5	-20	-25	-29	31
236	20	3	21	-25	28	30
238	20	3.5	-21	-25	-28	29
240	21	1	22	24	26	29
244	21	2	19	23	-26	30
246	21	2.5	-19	-23	-26	28
250	21	3.5	-19	-23	-26	27
252	22	1	22	22	24	29
264	23	1	-22	-22	26	-29
276	24	1	0	0	0	0
276	24	1	26	0	26	30
284	25	1	-26	0	28	-30
292	26	1	22	0	29	31
296	26	2	-22	0	-29	32
298	26	2.5	-22	0	-29	33
300	27	1	19	0	28	-33
302	27	1.5	-19	0	-28	32
304	27	2	-19	0	-28	30
308	28	1	22	0	29	29
312	28	2	-22	0	31	-29
314	28	2.5	-22	0	-31	28
316	29	1	0	0	30	26
320	29	2	22	0	29	31
324	30	1	-22	0	26	-31
326	30	1.5	-22	0	-26	30
328	30	2	19	0	-26	30
332	31	1	26	0	28	-30
336	31	2	-26	0	-28	33
340	32	1	27	0	29	32
342	32	1.5	-27	0	-29	31
346	32	2.5	-27	0	-29	30
347	32	2.75	-27	0	-29	29
348	33	1	26	0	30	28
356	34	1	27	0	29	31
360	34	2	-27	0	-29	32
364	35	1	26	0	28	33
372	36	1	25	0	27	29
378	36	2.5	-25	0	-27	30
380	37	1	0	0	-27	31
384	37	2	25	0	-27	32
388	38	1	-25	0	-27	29
390	38	1.5	24	0	-27	-29
392	38	2	22	0	-27	-29
394	38	2.5	-22	0	-27	31
396	39	1	-22	0	26	-31
398	39	1.5	21	0	-26	30
399	39	1.75	20	0	-26	29
400	39	2	19	0	-26	30
402	39	2.5	-19	0	-26	31
403	39	2.75	20	0	-26	-31
404	40	1	21	0	-26	30
406	40	1.5	22	0	-26	29
408	40	2	-22	0	-26	30
410	40	2.5	21	0	-26	-30
412	41	1	22	0	22	0
416	41	2	0	0	-22	29
420	42	1	22	0	0	-29
422	42	1.5	-22	0	0	30
424	42	2	-22	0	0	31
430	43	1.5	-22	0	0	30
432	43	2	24	0	0	29
436	44	1	-24	0	0	28
438	44	1.5	23	0	0	29
439	44	1.75	-23	0	0	30
440	44	2	22	0	0	31
442	44	2.5	-22	0	0	32
444	45	1	21	0	0	30
446	45	1.5	22	0	0	-30
447	45	1.75	23	0	0	-30
448	45	2	24	0	0	29
450	45	2.5	25	0	0	-29
452	46	1	23	0	0	0
456	46	2	22	0	0	33
462	47	1.5	0	0	0	32
464	47	2	26	0	0	33
470	48	1.5	25	0	0	30
472	48	2	26	0	0	31
475	48	2.75	-26	0	0	32
476	49	1	-26	0	0	30
478	49	1.5	23	0	0	-30
480	49	2	24	0	0	33
483	49	2.75	25	0	0	-33
484	50	1	23	0	0	32
486	50	1.5	-23	0	0	30
488	50	2	22	0	0	31
490	50	2.5	-22	0	0	29
492	51	1	26	0	0	28
496	51	2	25	0	0	29
498	51	2.5	23	0	0	28
500	52	1	24	0	0	29
502	52	1.5	22	0	0	31
504	52	2	21	0	0	30
508	53	1	22	0	0	26
510	53	1.5	21	0	0	-26
512	53	2	22	0	0	33
514	53	2.5	24	0	0	-33
516	54	1	23	0	0	32
518	54	1.5	26	0	0	30
520	54	2	-26	0	0	31
522	54	2.5	25	0	0	32
523.5	54	2.875	-25	0	0	31
524	55	1	-25	0	0	30
525	55	1.25	-25	0	0	29
526	55	1.5	24	0	0	29
528	55	2	23	0	0	28
531	55	2.75	-23	0	0	27
532	56	1	22	0	0	29
536	56	2	-22	0	26	-29
540	57	1	0	0	27	-29
544	57	2	22	0	26	-29
546	57	2.5	-22	0	29	-29
550	58	1.5	-22	0	28	0
552	58	2	21	0	26	0
556	59	1	20	0	-26	29
558	59	1.5	-20	0	25	-29
559	59	1.75	-20	0	24	-29
560	59	2	-20	0	25	-29
561	59	2.25	-20	0	24	-29
562	59	2.5	-20	0	23	-29
563	59	2.75	-20	0	22	-29
564	60	1	19	0	21	30
568	60	2	-19	0	23	-30
570	60	2.5	-19	0	-23	29
571	60	2.75	-19	0	-23	28
572	61	1	18	0	-23	27
574	61	1.5	-18	0	22	-27
576	61	2	22	0	24	26
578	61	2.5	-22	0	25	-26
580	62	1	-22	0	26	29
582	62	1.5	23	0	-26	-29
584	62	2	24	0	22	-29
586	62	2.5	25	0	-22	27
588	63	1	26	0	0	28
592	63	2	22	0	26	29
594	63	2.5	-22	0	-26	30
596	64	1	-22	0	-26	31
598	64	1.5	-22	0	27	32
600	64	2	21	0	28	30
604	65	1	22	0	27	29
606	65	1.5	23	0	28	-29
608	65	2	24	0	26	0
610	65	2.5	25	0	29	0
612	66	1	23	0	-29	32
614	66	1.5	-23	0	28	-32
616	66	2	22	0	29	31
618	66	2.5	-22	0	31	33
622	67	1.5	0	0	30	32
624	67	2	22	0	29	31
626	67	2.5	-22	0	-29	29
627	67	2.75	-22	0	28	-29
628	68	1	25	0	27	30
632	68	2	24	0	26	29
634	68	2.5	26	0	-26	31
638	69	1.5	25	0	0	30
640	69	2	24	0	22	29
642	69	2.5	22	0	-22	-29
644	70	1	23	0	25	28
648	70	2	22	0	24	29
650	70	2.5	24	0	26	-29
652	71	1	-24	0	-26	26
654	71	1.5	23	0	25	28
656	71	2	22	0	24	29
658	71	2.5	-22	0	22	31
660	72	1	21	0	23	30
664	72	2	22	0	22	33
666	72	2.5	-22	0	24	-33
668	73	1	19	0	-24	-33
670	73	1.5	21	0	23	-33
672	73	2	22	0	22	0
674	73	2.5	24	0	-22	33
676	74	1	23	0	21	-33
677	74	1.25	-23	0	-21	32
678	74	1.5	26	0	22	31
680	74	2	-26	0	23	30
681	74	2.25	25	0	-23	-30
682	74	2.5	24	0	24	29
684	75	1	23	0	25	28
686	75	1.5	22	0	26	29
688	75	2	21	0	-26	30
690	75	2.5	-21	0	23	-30
692	76	1	-21	0	-23	26
694	76	1.5	22	0	22	-26
696	76	2	-22	0	24	27
698	76	2.5	23	0	25	28
700	77	1	24	0	26	-28
702	77	1.5	-24	0	-26	29
704	77	2	25	0	27	30
