**absq	**bar	**beat	**b7	**b7	**b7	**b7
0	1	1	25	0	25	32
6	1	2.5	-25	0	-25	33
8	2	1	-25	0	-25	34
12	2	2	-25	0	27	-34
14	2	2.5	-25	0	28	33
15	2	2.75	-25	0	-28	32
16	3	1	22	0	29	34
18	3	1.5	-22	0	-29	33
19	3	1.75	23	0	28	-33
20	3	2	24	0	29	-33
22	3	2.5	25	0	30	32
23	3	2.75	-25	0	-30	31
24	4	1	23	0	28	32
27	4	1.75	-23	0	27	33
28	4	2	22	0	29	31
31	4	2.75	-22	0	28	-31
32	5	1	-22	0	26	-31
34	5	1.5	-22	0	-26	30
35	5	1.75	-22	0	27	29
36	5	2	0	0	28	30
38	5	2.5	0	0	29	29
40	6	1	18	0	27	-29
42	6	1.5	-18	0	25	32
44	6	2	22	0	26	-32
45	6	2.25	-22	0	-26	31
46	6	2.5	-22	0	-26	31
47	6	2.75	-22	0	-26	30
48	7	1	18	25	25	32
51	7	1.75	-18	-25	24	-32
51.5	7	1.875	-18	-25	23	-32
52	7	2	-18	-25	22	0
56	8	1	-18	25	0	34
60	8	2	-18	25	29	34
63	8	2.75	-18	-25	-29	33
64	9	1	0	27	-29	32
66	9	1.5	0	-27	27	31
68	9	2	25	-27	29	34
70	9	2.5	-25	-27	30	-34
72	10	1	24	28	31	33
74	10	1.5	-24	-28	-31	33
76	10	2	22	29	29	-33
78	10	2.5	-22	-29	-29	31
80	11	1	23	27	25	32
81	11	1.25	-23	-27	-25	31
82	11	1.5	-23	-27	-25	30
83	11	1.75	-23	-27	-25	29
84	11	2	-23	25	-25	28
87	11	2.75	-23	-25	-25	27
88	12	1	22	26	24	29
90	12	1.5	-22	-26	-24	29
92	12	2	24	-26	0	0
94	12	2.5	-24	-26	0	31
96	13	1	21	25	28	30
99	13	1.75	-21	-25	-28	29
100	13	2	22	24	26	31
103	13	2.75	-22	-24	-26	32
104	14	1	0	22	-26	33
106	14	1.5	0	-22	29	34
108	14	2	24	-22	-29	-34
109	14	2.25	-24	-22	28	-34
109.5	14	2.375	-24	-22	27	-34
110	14	2.5	-24	-22	26	33
112	15	1	25	0	27	-33
114	15	1.5	-25	0	-27	32
116	15	2	24	22	26	33
118	15	2.5	22	-22	-26	-33
120	16	1	-22	24	29	0
122	16	1.5	24	-24	29	0
124	16	2	23	25	-29	32
126	16	2.5	-23	-25	28	-32
128	17	1	22	26	29	31
134	17	2.5	-22	-26	29	30
136	18	1	18	25	-29	32
137	18	1.25	-18	-25	28	-32
138	18	1.5	-18	-25	29	33
140	18	2	-18	-25	-29	34
141	18	2.25	-18	-25	28	-34
142	18	2.5	-18	-25	27	-34
143	18	2.75	-18	-25	26	-34
144	19	1	-18	29	25	-34
146	19	1.5	-18	-29	-25	33
147	19	1.75	-18	-29	24	32
148	19	2	20	-29	22	31
152	20	1	0	28	23	32
156	20	2	20	29	22	31
158	20	2.5	-20	-29	24	29
160	21	1	23	27	25	-29
162	21	1.5	-23	-27	27	34
164	21	2	-23	25	-27	-34
165	21	2.25	-23	-25	-27	33
166	21	2.5	-23	-25	28	32
168	22	1	22	26	29	-32
169	22	1.25	-22	-26	-29	31
170	22	1.5	-22	-26	-29	32
172	22	2	-22	-26	0	33
174	22	2.5	-22	-26	29	31
175	22	2.75	-22	-26	-29	30
176	23	1	18	25	30	32
178	23	1.5	-18	-25	29	-32
180	23	2	21	-25	-29	0
181	23	2.25	-21	-25	28	0
182	23	2.5	23	-25	28	0
184	24	1	22	0	-28	31
186	24	1.5	-22	0	27	-31
188	24	2	21	25	28	30
190	24	2.5	-21	-25	-28	32
191	24	2.75	-21	-25	29	-32
192	25	1	18	29	27	-32
193	25	1.25	-18	-29	-27	31
194	25	1.5	-18	-29	-27	29
196	25	2	20	29	0	-29
198	25	2.5	-20	-29	0	34
200	26	1	21	28	0	33
202	26	1.5	-21	-28	0	32
204	26	2	-21	28	30	-32
206	26	2.5	-21	-28	-30	33
208	27	1	22	26	29	-33
209	27	1.25	-22	-26	-29	32
210	27	1.5	-22	-26	-29	31
212	27	2	0	26	28	-31
213	27	2.25	0	-26	-28	30
214	27	2.5	22	-26	29	31
216	28	1	18	25	-29	32
218	28	1.5	21	-25	28	30
221	28	2.25	-21	-25	-28	29
222	28	2.5	22	24	26	29
224	29	1	24	22	-26	-29
225	29	1.25	-24	-22	-26	28
226	29	1.5	-24	-22	24	26
228	29	2	0	-22	-24	27
230	29	2.5	0	-22	22	-27
231	29	2.75	0	-22	-22	26
232	30	1	25	21	23	28
234	30	1.5	-25	-21	24	29
236	30	2	-25	-21	25	30
240	31	1	22	24	26	29
242	31	1.5	-22	-24	-26	29
244	31	2	23	25	0	-29
246	31	2.5	-23	-25	25	28
