**absq	**bar	**beat	**b7	**b7	**b7	**b7	**b7	**b7
0	1	1	0	0	0	0	0	32
4	1	3	0	0	0	0	28	35
8	2	1	0	0	0	0	31	-35
12	2	3	0	0	0	0	-31	35
14	2	4	0	0	0	0	30	-35
16	3	1	0	0	0	25	29	36
20	3	3	0	21	0	28	28	37
22	3	4	0	-21	0	-28	32	-37
24	4	1	0	24	0	-28	33	35
27	4	2.5	0	23	0	-28	32	-35
28	4	3	0	24	0	28	33	-35
29	4	3.5	0	-24	0	-28	34	-35
30	4	4	0	26	0	-28	35	-35
32	5	1	0	25	25	29	-35	0
34	5	2	0	-25	-25	-29	34	0
36	5	3	0	21	28	30	35	0
38	5	4	0	21	-28	-30	-35	0
40	6	1	0	24	-28	28	0	0
42	6	2	0	-24	-28	-28	35	0
43	6	2.5	0	25	-28	-28	-35	0
44	6	3	0	26	28	-28	-35	0
45	6	3.5	0	27	-28	-28	34	0
46	6	4	0	28	-28	-28	33	0
48	7	1	18	-28	29	0	32	0
50	7	2	-18	27	-29	0	-32	0
52	7	3	21	28	30	0	-32	0
54	7	4	-21	-28	-30	0	32	0
56	8	1	-21	28	28	0	30	35
59	8	2.5	-21	27	-28	0	29	-35
60	8	3	21	26	-28	0	30	-35
61	8	3.5	-21	-26	-28	0	31	-35
62	8	4	-21	25	-28	0	32	34
64	9	1	22	29	0	0	-32	33
66	9	2	-22	-29	0	0	31	-33
67	9	2.5	-22	28	0	0	-31	-33
68	9	3	23	27	0	0	32	32
70	9	4	-23	28	0	0	30	-32
72	10	1	21	-28	0	28	-30	33
73	10	1.5	-21	-28	0	-28	29	-33
74	10	2	-21	27	0	-28	30	32
75	10	2.5	-21	26	0	-28	31	-32
76	10	3	-21	25	0	-28	32	35
77	10	3.5	-21	-25	0	-28	33	-35
78	10	4	-21	-25	0	27	32	-35
80	11	1	0	28	0	26	-32	-35
82	11	2	0	-28	0	-26	31	34
83	11	2.5	0	-28	0	-26	-31	33
84	11	3	0	29	0	25	32	34
88	12	1	0	28	28	26	0	35
91	12	2.5	0	27	-28	25	0	-35
92	12	3	0	26	-28	28	30	-35
94	12	4	0	25	27	-28	-30	-35
96	13	1	0	24	26	-28	31	0
98	13	2	0	-24	-26	27	31	0
99	13	2.5	0	-24	-26	26	-31	0
100	13	3	0	23	25	27	32	0
104	14	1	21	0	26	28	30	0
106	14	2	-21	23	25	-28	-30	0
108	14	3	-21	-23	28	-28	30	0
109	14	3.5	-21	24	-28	-28	-30	0
110	14	4	20	25	-28	-28	-30	0
111	14	4.5	-20	-25	-28	-28	29	0
112	15	1	19	-25	-28	0	30	0
114	15	2	-19	24	27	0	31	0
115	15	2.5	-19	-24	26	0	-31	0
116	15	3	18	25	27	0	29	0
120	16	1	19	23	28	0	28	0
122	16	2	-19	-23	-28	0	35	0
124	16	3	-19	24	-28	0	-35	35
126	16	4	20	-24	-28	0	34	-35
127	16	4.5	-20	-24	-28	0	33	-35
128	17	1	21	23	0	0	32	-35
130	17	2	-21	28	0	0	33	35
132	17	3	-21	-28	0	0	32	35
133	17	3.5	-21	27	0	0	-32	-35
134	17	4	-21	26	0	0	35	-35
136	18	1	0	25	0	0	-35	36
138	18	2	0	-25	0	0	34	-36
140	18	3	0	21	0	28	35	37
143	18	4.5	0	-21	0	-28	34	-37
144	19	1	0	24	0	-28	33	35
145	19	1.5	0	-24	0	-28	32	-35
146	19	2	0	-24	0	28	31	-35
147	19	2.5	0	25	0	-28	-31	34
148	19	3	0	26	0	28	-31	33
149	19	3.5	0	27	0	-28	-31	-33
150	19	4	0	28	0	-28	30	32
152	20	1	0	-28	0	29	29	31
154	20	2	0	27	0	-29	-29	-31
156	20	3	0	28	28	30	28	30
158	20	4	0	-28	-28	-30	-28	35
159	20	4.5	0	27	-28	-30	-28	-35
160	21	1	0	26	-28	28	0	-35
161	21	1.5	0	25	-28	-28	0	34
162	21	2	0	24	28	-28	0	33
164	21	3	0	-24	28	-28	0	-33
166	21	4	0	23	-28	-28	0	32
168	22	1	0	22	29	0	0	31
172	22	3	21	21	30	0	32	30
176	23	1	-21	0	28	28	32	0
178	23	2	21	0	30	-28	32	0
180	23	3	21	0	-30	-28	30	0
181	23	3.5	-21	0	29	-28	-30	0
182	23	4	-21	0	32	-28	-30	0
184	24	1	22	0	-32	26	29	0
186	24	2	-22	0	31	-26	-29	0
188	24	3	23	0	32	25	0	0
190	24	4	-23	0	-32	-25	32	0
192	25	1	21	28	0	26	-32	35
193	25	1.5	-21	-28	0	-26	31	-35
194	25	2	-21	-28	0	-26	30	-35
195	25	2.5	-21	-28	0	27	29	-35
196	25	3	-21	26	0	28	30	-35
197	25	3.5	-21	-26	0	-28	31	-35
198	25	4	-21	25	0	-28	32	-35
200	26	1	0	26	28	-28	-32	33
202	26	2	0	-26	-28	29	31	-33
203	26	2.5	0	27	-28	-29	-31	-33
204	26	3	0	28	-28	30	32	32
208	27	1	0	-28	26	-30	0	35
210	27	2	0	27	-26	29	0	-35
211	27	2.5	0	26	-26	28	0	-35
212	27	3	0	27	25	32	0	36
215	27	4.5	0	-27	-25	31	0	-36
216	28	1	21	28	32	30	0	37
217	28	1.5	-21	-28	-32	29	0	-37
