**absq	**bar	**beat	**b7	**b7	**b7	**b7
0	1	1	0	0	0	35
8	2	1	0	0	0	33
12	2	3	0	0	0	34
16	3	1	0	28	0	30
20	3	3	0	-28	0	33
24	4	1	0	26	0	-33
28	4	3	0	27	0	32
32	5	1	0	23	30	32
40	6	1	0	24	28	33
44	6	3	0	-24	29	-33
46	6	4	0	25	-29	34
48	7	1	24	26	26	35
51	7	2.5	-24	27	-26	-35
52	7	3	-24	28	-26	33
56	8	1	22	29	-26	33
60	8	3	23	27	30	32
64	9	1	19	26	-30	0
66	9	2	-19	25	29	33
67	9	2.5	-19	24	28	-33
68	9	3	-19	23	28	-33
70	9	4	-19	-23	-28	32
71	9	4.5	-19	-23	29	31
72	10	1	-19	26	30	30
74	10	2	-19	-26	29	31
76	10	3	-19	-26	-29	30
78	10	4	-19	-26	28	-30
80	11	1	26	0	-28	0
82	11	2	-26	0	30	0
84	11	3	-26	0	-30	35
86	11	4	-26	0	29	-35
87	11	4.5	-26	0	28	-35
88	12	1	25	0	29	34
90	12	2	-25	0	30	36
92	12	3	24	0	31	-36
94	12	4	23	0	32	35
96	13	1	24	26	31	-35
98	13	2	-24	-26	30	34
99	13	2.5	-24	-26	-30	33
100	13	3	-24	26	-30	35
102	13	4	-24	-26	29	34
103	13	4.5	-24	-26	-29	33
104	14	1	23	27	30	32
106	14	2	-23	28	-30	-32
108	14	3	-23	-28	-30	35
109	14	3.5	-23	27	-30	-35
110	14	4	-23	26	-30	-35
111	14	4.5	-23	25	-30	-35
112	15	1	24	26	28	-35
116	15	3	25	25	0	34
118	15	4	23	-25	0	-34
119	15	4.5	-23	-25	0	35
120	16	1	24	22	26	36
121	16	1.5	-24	23	-26	-36
122	16	2	-24	24	-26	35
123	16	2.5	-24	25	-26	-35
124	16	3	-24	26	0	-35
125	16	3.5	-24	27	0	-35
126	16	4	-24	28	26	34
127	16	4.5	-24	29	27	33
128	17	1	23	30	28	32
129	17	1.5	-23	-30	29	-32
130	17	2	-23	28	30	33
132	17	3	-23	27	-30	-33
134	17	4	-23	-27	30	32
136	18	1	0	26	28	33
138	18	2	0	-26	31	-33
140	18	3	0	29	-31	-33
142	18	4	0	-29	24	-33
144	19	1	0	28	-24	0
146	19	2	0	26	24	0
148	19	3	0	27	25	36
152	20	1	0	26	26	35
154	20	2	0	23	25	34
156	20	3	0	24	28	33
158	20	4	0	-24	29	-33
160	21	1	0	23	30	32
162	21	2	0	24	29	31
164	21	3	0	25	-29	30
166	21	4	0	26	28	-30
168	22	1	0	22	29	0
169	22	1.5	0	-22	28	0
170	22	2	0	29	27	0
171	22	2.5	0	-29	26	0
172	22	3	23	-29	25	0
174	22	4	-23	28	-25	0
175	22	4.5	-23	-28	26	0
176	23	1	22	27	27	0
178	23	2	21	26	28	0
180	23	3	20	-26	29	0
182	23	4	-20	25	-29	0
183	23	4.5	-20	-25	27	0
184	24	1	19	24	28	0
185	24	1.5	-19	-24	26	0
186	24	2	18	25	29	0
188	24	3	19	23	-29	0
190	24	4	-19	-23	28	0
192	25	1	0	22	29	31
200	26	1	0	27	29	-31
204	26	3	0	-27	-29	32
208	27	1	0	28	30	32
210	27	2	0	-28	-30	33
212	27	3	22	26	29	-33
214	27	4	-22	-26	-29	32
215	27	4.5	-22	-26	-29	31
216	28	1	-22	29	0	31
220	28	3	23	25	0	32
222	28	4	-23	-25	27	-32
223	28	4.5	-23	-25	-27	33
224	29	1	-23	0	30	34
226	29	2	21	0	-30	35
228	29	3	24	0	28	-35
230	29	4	-24	0	-28	34
231	29	4.5	-24	0	-28	33
232	30	1	-24	22	31	33
234	30	2	-24	-22	-31	36
236	30	3	25	-22	0	-36
238	30	4	-25	23	0	35
239	30	4.5	-25	-23	0	34
240	31	1	24	24	28	33
242	31	2	23	25	-28	32
244	31	3	22	26	29	-32
246	31	4	-22	-26	-29	31
248	32	1	18	25	27	32
254	32	4	-18	0	26	0
255	32	4.5	-18	0	25	0
256	33	1	0	26	28	30
260	33	3	0	25	27	30
262	33	4	0	25	-27	29
264	34	1	19	23	26	28
268	34	3	19	23	-26	28
270	34	4	19	-23	-26	-28
272	35	1	20	22	24	29
275	35	2.5	-20	-22	22	-29
276	35	3	20	-22	29	0
280	36	1	19	23	-29	33
282	36	2	-19	-23	28	-33
284	36	3	-19	-23	28	35
286	36	4	-19	-23	30	-35
288	37	1	23	0	-30	-35
290	37	2	-23	0	30	-35
292	37	3	-23	0	32	34
296	38	1	24	28	31	33
300	38	3	-24	-28	-31	35
304	39	1	21	30	32	-35
306	39	2	-21	-30	-32	34
307	39	2.5	-21	-30	-32	33
308	39	3	-21	-30	30	32
310	39	4	-21	28	-30	-32
311	39	4.5	-21	-28	-30	33
312	40	1	0	29	31	34
314	40	2	0	-29	-31	33
316	40	3	0	28	30	-33
318	40	4	0	27	29	32
320	41	1	0	26	28	31
322	41	2	0	27	29	32
324	41	3	25	23	27	-32
326	41	4	-25	-23	-27	30
328	42	1	24	0	26	29
330	42	2	23	0	27	30
332	42	3	24	0	-27	-30
333	42	3.5	-24	0	26	-30
334	42	4	-24	0	26	29
335	42	4.5	-24	0	25	-29
336	43	1	23	0	27	30
338	43	2	-23	23	-27	-30
339	43	2.5	-23	24	-27	-30
340	43	3	-23	25	-27	0
341	43	3.5	-23	26	-27	0
342	43	4	22	27	25	0
343	43	4.5	21	-27	-25	0
344	44	1	20	-27	-25	29
345	44	1.5	-20	26	-25	-29
346	44	2	-20	25	27	-29
347	44	2.5	-20	24	-27	-29
348	44	3	-20	25	27	-29
350	44	4	-20	-25	26	30
351	44	4.5	-20	-25	27	-30
352	45	1	0	26	28	31
354	45	2	0	-26	29	30
355	45	2.5	0	-26	30	-30
356	45	3	0	26	31	33
358	45	4	0	-26	30	-33
359	45	4.5	0	25	-30	-33
360	46	1	0	24	29	-33
362	46	2	0	23	30	32
364	46	3	0	24	-30	35
366	46	4	0	-24	29	34
367	46	4.5	0	-24	-29	33
368	47	1	0	23	30	32
372	47	3	0	27	29	0
374	47	4	0	-27	32	0
376	48	1	20	-27	-32	36
377	48	1.5	-20	-27	31	-36
378	48	2	-20	-27	30	-36
379	48	2.5	-20	-27	29	-36
380	48	3	21	26	30	35
382	48	4	22	-26	29	33
384	49	1	23	0	25	32
385	49	1.5	-23	0	26	-32
386	49	2	-23	25	27	34
387	49	2.5	-23	-25	28	-34
388	49	3	22	26	29	-34
390	49	4	24	-26	-29	33
392	50	1	23	27	30	-33
394	50	2	-23	-27	-30	32
396	50	3	0	26	0	33
398	50	4	0	-26	28	-33
400	51	1	26	28	-28	30
401	51	1.5	-26	-28	29	-30
402	51	2	-26	-28	30	-30
403	51	2.5	-26	-28	31	-30
404	51	3	25	29	32	0
406	51	4	23	30	25	0
408	52	1	24	-30	26	0
410	52	2	-24	29	-26	0
411	52	2.5	-24	28	-26	0
412	52	3	-24	29	0	0
414	52	4	-24	26	28	0
416	53	1	23	28	-28	32
417	53	1.5	-23	-28	29	-32
418	53	2	-23	27	30	-32
419	53	2.5	-23	-27	-30	33
420	53	3	-23	0	-30	34
422	53	4	-23	0	30	35
424	54	1	24	0	-30	33
426	54	2	-24	0	29	-33
428	54	3	23	0	30	0
430	54	4	22	0	31	0
432	55	1	23	27	30	32
436	55	3	-23	-27	-30	32
440	56	1	19	26	0	33
442	56	2	-19	-26	0	32
443	56	2.5	-19	-26	0	31
444	56	3	-19	28	0	30
448	57	1	26	-28	0	0
452	57	3	25	29	0	0
454	57	4	24	-29	0	33
456	58	1	25	27	29	36
460	58	3	-25	23	32	34
463	58	4.5	-25	24	-32	-34
464	59	1	21	25	-32	0
466	59	2	-21	-25	30	35
467	59	2.5	-21	26	-30	-35
468	59	3	-21	27	30	-35
470	59	4	-21	28	-30	33
472	60	1	28	24	0	-33
474	60	2	-28	23	0	32
476	60	3	27	25	0	32
478	60	4	26	24	28	33
480	61	1	27	23	30	32
481	61	1.5	-27	24	-30	-32
482	61	2	-27	25	29	36
483	61	2.5	-27	26	-29	-36
484	61	3	-27	27	25	-36
485	61	3.5	-27	28	-25	35
486	61	4	-27	29	32	34
487	61	4.5	-27	-29	-32	33
488	62	1	23	30	-32	32
490	62	2	-23	28	30	33
492	62	3	-23	27	30	-33
494	62	4	-23	-27	-30	32
496	63	1	24	26	28	33
498	63	2	-24	-26	29	-33
500	63	3	22	-26	-29	-33
502	63	4	21	-26	30	-33
504	64	1	22	-26	31	-33
508	64	3	-22	-26	29	-33
512	65	1	19	-26	30	-33
*-	*-	*-	*-	*-	*-	*-
