**absq	**bar	**beat	**b7	**b7	**b7	**b7
0	1	1	22	0	26	33
4	1	3	-22	0	26	-33
8	2	1	25	0	27	32
12	2	3	24	0	28	33
16	3	1	26	22	29	31
20	3	3	-26	-22	-29	29
24	4	1	0	22	26	31
28	4	3	26	22	-26	-31
30	4	4	-26	-22	-26	30
31	4	4.5	-26	-22	-26	29
32	5	1	19	26	0	28
36	5	3	-19	-26	0	35
40	6	1	22	-26	0	-35
44	6	3	-22	27	0	34
48	7	1	-22	29	0	33
54	7	4	-22	28	0	-33
56	8	1	25	27	29	32
58	8	2	-25	-27	-29	32
60	8	3	22	26	-29	-32
62	8	4	-22	-26	28	31
64	9	1	23	25	27	32
68	9	3	-23	-25	25	30
72	10	1	-23	0	27	32
78	10	4	-23	0	-27	31
80	11	1	19	28	26	33
88	12	1	23	27	0	0
92	12	3	24	26	0	0
96	13	1	23	25	0	0
100	13	3	22	27	0	0
106	14	2	-22	26	0	0
108	14	3	21	26	0	0
112	15	1	20	-26	0	0
116	15	3	-20	25	0	29
120	16	1	19	26	0	28
128	17	1	24	0	26	-28
132	17	3	-24	0	26	29
136	18	1	23	0	27	30
140	18	3	-23	0	28	-30
144	19	1	26	22	29	31
152	20	1	0	22	26	-31
156	20	3	0	22	-26	29
160	21	1	22	26	0	31
166	21	4	-22	-26	0	30
168	22	1	24	-26	0	28
170	22	2	-24	-26	0	29
172	22	3	23	27	0	30
176	23	1	22	29	0	31
180	23	3	25	-29	0	29
182	23	4	-25	28	0	-29
184	24	1	-25	27	29	32
186	24	2	24	-27	-29	-32
188	24	3	22	26	-29	31
190	24	4	-22	-26	28	-31
192	25	1	23	25	27	32
196	25	3	-23	-25	25	30
200	26	1	25	0	27	29
208	27	1	24	28	26	0
212	27	3	-24	-28	-26	33
216	28	1	25	27	0	32
218	28	2	-25	-27	0	30
220	28	3	22	26	0	31
224	29	1	23	25	0	32
228	29	3	25	27	0	29
232	30	1	-25	-27	0	30
234	30	2	-25	26	0	-30
236	30	3	24	26	0	29
240	31	1	23	-26	0	-29
244	31	3	-23	25	0	28
248	32	1	22	26	0	29
252	32	3	-22	-26	0	31
256	33	1	19	0	26	30
260	33	3	-19	0	26	28
264	34	1	26	0	28	-28
268	34	3	25	0	27	29
272	35	1	28	0	26	30
276	35	3	-28	0	-26	31
280	36	1	27	0	23	32
284	36	3	-27	0	-23	30
288	37	1	23	0	25	0
292	37	3	21	0	25	30
296	38	1	22	26	24	29
298	38	2	-22	-26	-24	31
300	38	3	-22	-26	22	-31
302	38	4	-22	-26	-22	30
303	38	4.5	-22	-26	-22	29
304	39	1	19	26	24	28
308	39	3	-19	26	-24	-28
312	40	1	21	25	23	-28
316	40	3	-21	-25	-23	30
320	41	1	20	25	0	29
324	41	3	-20	25	0	-29
328	42	1	19	26	0	28
334	42	4	-19	26	0	-28
336	43	1	-19	26	0	-28
340	43	3	-19	26	0	-28
344	44	1	-19	23	26	0
348	44	3	-19	-23	26	28
352	45	1	19	0	28	-28
356	45	3	18	0	27	29
360	46	1	22	0	26	31
364	46	3	19	0	-26	30
368	47	1	-19	0	23	28
370	47	2	20	0	-23	-28
372	47	3	21	0	-23	-28
376	48	1	-21	0	25	28
378	48	2	20	0	-25	-28
380	48	3	18	0	25	27
384	49	1	22	0	24	26
388	49	3	-22	0	22	-26
390	49	4	-22	0	-22	29
392	50	1	19	26	23	-29
394	50	2	-19	-26	-23	28
396	50	3	-19	-26	-23	28
398	50	4	-19	-26	-23	27
400	51	1	22	26	22	29
404	51	3	-22	26	-22	-29
408	52	1	0	22	26	0
412	52	3	0	-22	26	29
416	53	1	0	0	27	-29
418	53	2	0	0	-27	30
420	53	3	0	26	28	31
424	54	1	18	25	29	32
428	54	3	-18	-25	27	-32
430	54	4	-18	24	-27	-32
432	55	1	19	23	26	28
436	55	3	22	22	-26	29
440	56	1	19	21	0	30
448	57	1	22	0	0	26
452	57	3	24	22	0	0
454	57	4	25	-22	0	0
456	58	1	26	22	0	31
460	58	3	27	-22	0	29
464	59	1	26	22	29	31
470	59	4	-26	-22	28	32
472	60	1	25	23	27	30
474	60	2	-25	-23	-27	32
476	60	3	-25	-23	25	-32
478	60	4	-25	-23	-25	31
480	61	1	0	25	27	29
484	61	3	27	-25	-27	32
488	62	1	28	26	26	31
490	62	2	-28	-26	-26	30
492	62	3	26	28	-26	-30
494	62	4	-26	-28	-26	33
496	63	1	23	27	0	33
498	63	2	-23	-27	0	32
500	63	3	-23	-27	0	33
502	63	4	-23	-27	0	31
504	64	1	24	26	0	33
508	64	3	22	-26	0	31
512	65	1	-22	0	26	-31
516	65	3	-22	0	26	33
520	66	1	23	0	27	32
524	66	3	-23	0	28	-32
528	67	1	22	0	29	31
532	67	3	-22	0	-29	29
536	68	1	-22	0	26	31
542	68	4	-22	0	-26	30
544	69	1	24	26	0	28
552	70	1	22	26	29	31
556	70	3	-22	26	-29	-31
558	70	4	-22	-26	28	-31
560	71	1	23	25	27	30
564	71	3	-23	-25	25	32
568	72	1	-23	-25	27	-32
570	72	2	-23	-25	-27	31
572	72	3	-23	25	-27	30
574	72	4	-23	-25	-27	29
576	73	1	19	26	26	28
580	73	3	-19	26	-26	30
584	74	1	22	24	0	31
586	74	2	-22	-24	0	29
588	74	3	22	24	0	-29
590	74	4	-22	-24	0	28
592	75	1	19	23	0	30
600	76	1	22	0	26	31
604	76	3	-22	22	26	-31
608	77	1	0	21	28	30
612	77	3	0	22	27	29
616	78	1	19	23	26	28
620	78	3	-19	24	-26	-28
622	78	4	-19	-24	-26	27
623	78	4.5	-19	-24	-26	26
624	79	1	0	25	23	27
628	79	3	0	-25	-23	30
630	79	4	0	24	-23	-30
632	80	1	21	23	25	28
634	80	2	-21	-23	-25	29
636	80	3	-21	23	25	30
640	81	1	22	22	24	26
644	81	3	20	-22	22	29
648	82	1	19	0	23	28
650	82	2	-19	0	-23	28
652	82	3	-19	26	-23	-28
654	82	4	-19	-26	-23	27
656	83	1	26	26	22	29
*-	*-	*-	*-	*-	*-	*-
