**absq	**bar	**beat	**b7	**b7	**b7	**b7
0	1	1	0	0	25	32
8	2	1	0	0	23	32
12	2	3	0	0	-23	32
16	3	1	0	0	22	31
24	4	1	25	0	29	32
32	5	1	25	0	-29	34
36	5	3	25	0	30	-34
40	6	1	24	0	31	33
42	6	2	-24	0	30	-33
44	6	3	-24	0	29	31
46	6	4	-24	0	28	-31
48	7	1	25	0	27	-31
50	7	2	-25	0	-27	29
52	7	3	-25	0	-27	30
56	8	1	26	0	28	31
60	8	3	24	0	26	29
64	9	1	23	0	-26	27
68	9	3	-23	0	25	28
72	10	1	22	0	26	29
76	10	3	0	22	27	-29
80	11	1	0	22	26	-29
84	11	3	22	0	29	-29
88	12	1	22	0	-29	0
92	12	3	0	25	27	0
96	13	1	0	27	25	36
100	13	3	0	27	-25	-36
104	14	1	0	27	-25	36
108	14	3	0	27	-25	34
112	15	1	0	27	-25	-34
116	15	3	0	27	-25	32
120	16	1	0	26	22	33
124	16	3	0	26	-22	31
128	17	1	0	26	22	-31
130	17	2	0	-26	-22	32
132	17	3	0	-26	22	33
134	17	4	0	25	-22	-33
136	18	1	0	24	-22	-33
140	18	3	0	25	29	32
144	19	1	0	26	-29	-32
146	19	2	0	-26	-29	30
148	19	3	0	26	28	31
152	20	1	0	25	29	0
156	20	3	25	0	-29	32
160	21	1	27	0	-29	32
164	21	3	27	0	-29	-32
166	21	4	-27	0	-29	31
168	22	1	27	0	27	29
172	22	3	27	0	25	-29
176	23	1	27	0	-25	29
180	23	3	27	0	24	29
182	23	4	-27	0	-24	30
184	24	1	26	0	22	31
186	24	2	-26	0	-22	32
188	24	3	26	0	-22	33
190	24	4	-26	0	-22	34
192	25	1	26	0	0	35
196	25	3	-26	0	24	34
198	25	4	25	0	-24	33
200	26	1	24	0	22	-33
202	26	2	-24	0	-22	32
204	26	3	25	0	23	32
208	27	1	26	0	22	-32
212	27	3	26	0	-22	31
214	27	4	26	0	-22	-31
216	28	1	25	0	0	32
220	28	3	-25	25	29	-32
224	29	1	0	25	-29	0
228	29	3	0	25	30	34
232	30	1	0	24	31	33
236	30	3	0	25	29	34
238	30	4	0	-25	30	-34
240	31	1	0	26	-30	35
242	31	2	0	-26	31	-35
244	31	3	0	24	29	33
248	32	1	0	23	-29	-33
250	32	2	0	-23	28	34
252	32	3	0	-23	28	32
254	32	4	0	-23	27	-32
256	33	1	0	22	29	31
260	33	3	25	0	-29	29
264	34	1	25	0	27	0
268	34	3	25	0	-27	32
272	35	1	24	0	26	33
276	35	3	25	0	27	32
278	35	4	-25	0	-27	30
280	36	1	26	0	28	-30
282	36	2	-26	0	-28	29
284	36	3	24	0	26	29
288	37	1	23	0	25	-29
292	37	3	-23	0	-25	28
294	37	4	-23	0	24	-28
296	38	1	22	0	26	29
300	38	3	0	25	27	-29
304	39	1	0	27	25	0
308	39	3	25	0	0	29
310	39	4	-25	0	32	-29
312	40	1	27	0	-32	29
314	40	2	-27	0	31	-29
316	40	3	0	27	29	31
320	41	1	0	27	27	32
324	41	3	25	27	29	34
328	42	1	25	27	-29	34
330	42	2	-25	-27	30	-34
332	42	3	24	28	31	33
336	43	1	22	29	-31	-33
338	43	2	-22	-29	-31	32
340	43	3	25	27	30	32
342	43	4	-25	-27	29	-32
344	44	1	22	26	29	31
350	44	4	-22	-26	-29	30
352	45	1	27	25	29	32
*-	*-	*-	*-	*-	*-	*-
