**absq	**bar	**beat	**b7	**b7	**b7
0	1	1	18	25	32
4	1	2	-18	-25	34
6	1	2.5	19	23	35
8	2	1	20	22	36
10	2	1.5	-20	25	-36
12	2	2	18	-25	34
14	2	2.5	22	24	33
16	3	1	-22	27	-33
18	3	1.5	23	-27	32
20	3	2	24	26	35
24	4	1	25	0	34
25	4	1.25	-25	0	33
26	4	1.5	-25	29	32
28	4	2	22	-29	31
29	4	2.25	-22	28	-31
30	4	2.5	-22	29	-31
32	5	1	18	-29	0
33	5	1.25	-18	28	0
34	5	1.5	-18	27	32
35	5	1.75	-18	26	-32
36	5	2	-18	25	-32
38	5	2.5	-18	-25	34
40	6	1	22	0	33
42	6	1.5	-22	24	36
44	6	2	23	25	-36
46	6	2.5	24	26	35
48	7	1	25	25	34
50	7	1.5	-25	27	33
51	7	1.75	-25	-27	32
52	7	2	22	26	31
55	7	2.75	-22	-26	30
56	8	1	18	0	32
58	8	1.5	-18	25	-32
62	8	2.5	-18	27	0
64	9	1	22	26	31
66	9	1.5	-22	29	-31
67	9	1.75	21	-29	-31
68	9	2	20	-29	-31
70	9	2.5	19	28	-31
72	10	1	18	27	32
74	10	1.5	20	26	-32
75	10	1.75	-20	25	-32
76	10	2	19	24	33
79	10	2.75	-19	23	-33
80	11	1	18	25	34
88	12	1	22	0	33
92	12	2	21	28	-33
94	12	2.5	-21	-28	32
95	12	2.75	20	-28	-32
96	13	1	18	27	32
102	13	2.5	-18	26	0
104	14	1	-18	25	34
108	14	2	22	24	33
112	15	1	18	25	34
118	15	2.5	-18	24	33
119	15	2.75	-18	23	32
120	16	1	20	22	31
124	16	2	18	-22	34
126	16	2.5	-18	25	-34
128	17	1	22	-25	33
130	17	1.5	-22	24	-33
132	17	2	18	27	32
134	17	2.5	17	28	33
136	18	1	-17	26	-33
138	18	1.5	19	-26	35
140	18	2	18	27	36
142	18	2.5	-18	25	-36
143	18	2.75	-18	-25	35
144	19	1	25	-25	34
146	19	1.5	24	26	33
148	19	2	23	27	32
150	19	2.5	-23	28	31
151	19	2.75	-23	-28	30
152	20	1	22	29	31
160	21	1	20	-29	0
164	21	2	18	-29	0
168	22	1	-18	0	34
172	22	2	19	0	35
176	23	1	18	27	36
179	23	1.75	-18	-27	35
180	23	2	0	28	33
184	24	1	18	29	34
187	24	1.75	-18	28	-34
188	24	2	17	26	35
191	24	2.75	-17	-26	34
192	25	1	18	27	32
196	25	2	0	28	-32
198	25	2.5	0	-28	33
199	25	2.75	0	27	-33
200	26	1	18	25	34
202	26	1.5	-18	-25	36
205	26	2.25	-18	-25	35
206	26	2.5	-18	29	34
208	27	1	24	28	-34
209	27	1.25	-24	-28	33
210	27	1.5	-24	26	33
212	27	2	25	27	-33
214	27	2.5	-25	-27	32
216	28	1	22	26	33
222	28	2.5	21	-26	0
224	29	1	19	-26	35
228	29	2	18	29	34
230	29	2.5	19	28	33
232	30	1	17	-28	-33
233	30	1.25	-17	-28	32
234	30	1.5	18	27	32
236	30	2	22	26	-32
238	30	2.5	-22	-26	31
240	31	1	23	25	32
242	31	1.5	-23	-25	30
244	31	2	24	0	29
246	31	2.5	22	24	-29
248	32	1	0	25	30
250	32	1.5	25	23	32
252	32	2	26	22	-32
254	32	2.5	-26	-22	31
256	33	1	25	23	32
258	33	1.5	-25	25	34
260	33	2	22	-25	33
262	33	2.5	-22	24	-33
264	34	1	23	25	0
266	34	1.5	25	27	36
268	34	2	22	26	-36
270	34	2.5	24	-26	35
273	35	1.25	-24	0	34
274	35	1.5	25	29	33
275	35	1.75	-25	-29	32
276	35	2	22	-29	31
278	35	2.5	23	28	32
281	36	1.25	24	27	-32
282	36	1.5	25	26	34
283	36	1.75	-25	25	-34
284	36	2	22	24	33
286	36	2.5	20	25	34
288	37	1	18	-25	-34
289	37	1.25	-18	-25	35
290	37	1.5	-18	27	34
291	37	1.75	-18	-27	33
291.5	37	1.875	-18	-27	32
292	37	2	22	26	31
295	37	2.75	-22	-26	30
296	38	1	18	25	32
*-	*-	*-	*-	*-	*-
