**absq	**bar	**beat	**b7	**b7	**b7
20	2	3	21	28	28
24	3	1	19	28	28
30	3	2.5	20	27	29
32	3	3	21	25	30
36	4	1	17	24	31
38	4	1.5	-17	22	-31
40	4	2	0	21	30
42	4	2.5	17	-21	28
44	4	3	20	24	29
46	4	3.5	21	-24	28
47	4	3.75	-21	23	27
48	5	1	22	24	26
50	5	1.5	23	25	25
52	5	2	21	-25	-25
53	5	2.25	-21	24	-25
54	5	2.5	-21	23	28
56	5	3	18	22	-28
57	5	3.25	-18	-22	27
58	5	3.5	-18	-22	27
59	5	3.75	-18	-22	26
60	6	1	0	21	28
62	6	1.5	25	-21	-28
66	6	2.5	23	-21	0
68	6	3	25	21	30
70	6	3.5	26	-21	-30
72	7	1	27	20	29
74	7	1.5	25	-20	-29
76	7	2	-25	21	30
78	7	2.5	28	23	32
80	7	3	-28	22	-32
82	7	3.5	27	-22	31
84	8	1	28	21	30
86	8	1.5	27	-21	29
87	8	1.75	26	-21	28
88	8	2	25	0	27
90	8	2.5	-25	25	-27
92	8	3	24	26	28
93	8	3.25	-24	-26	29
94	8	3.5	23	28	30
95	8	3.75	21	-28	-30
96	9	1	22	27	29
98	9	1.5	21	30	32
101	9	2.25	22	29	31
102	9	2.5	23	28	30
104	9	3	24	-28	29
106	9	3.5	25	27	-29
108	10	1	21	28	0
110	10	1.5	-21	-28	30
112	10	2	-21	0	30
114	10	2.5	-21	25	30
116	10	3	0	26	31
118	10	3.5	22	27	-31
119	10	3.75	-22	-27	30
119.5	10	3.875	-22	-27	29
120	11	1	23	28	28
122	11	1.5	24	-28	33
125	11	2.25	23	-28	32
126	11	2.5	24	26	31
128	11	3	21	25	-31
130	11	3.5	-21	-25	30
132	12	1	17	24	31
140	12	3	24	26	31
142	12	3.5	22	27	-31
144	13	1	21	28	30
148	13	2	23	-28	-30
150	13	2.5	-23	27	29
152	13	3	24	26	28
155	13	3.75	-24	25	-28
156	14	1	0	25	27
158	14	1.5	25	-25	-27
160	14	2	26	0	28
162	14	2.5	27	0	29
164	14	3	25	21	30
166	14	3.5	24	-21	32
167	14	3.75	23	-21	-32
168	15	1	22	20	-32
170	15	1.5	-22	-20	31
172	15	2	21	21	30
174	15	2.5	-21	23	29
175	15	2.75	-21	-23	28
176	15	3	0	22	27
178	15	3.5	18	25	-27
179	15	3.75	-18	-25	28
180	16	1	21	-25	30
182	16	1.5	22	24	29
184	16	2	20	25	-29
185	16	2.25	-20	-25	28
186	16	2.5	21	23	28
188	16	3	18	22	-28
190	16	3.5	-18	-22	27
192	17	1	25	21	28
198	17	2.5	23	-21	28
200	17	3	22	0	-28
202	17	3.5	-22	0	27
204	18	1	21	0	28
206	18	1.5	-21	21	30
208	18	2	18	-21	29
210	18	2.5	-18	20	-29
212	18	3	25	21	30
214	18	3.5	-25	23	32
216	19	1	26	22	-32
218	19	1.5	-26	-22	31
220	19	2	25	23	32
222	19	2.5	-25	25	30
224	19	3	0	-25	29
226	19	3.5	0	24	-29
228	20	1	21	25	0
230	20	1.5	-21	24	32
231	20	1.75	-21	23	-32
232	20	2	22	22	31
234	20	2.5	20	27	-31
235	20	2.75	-20	-27	30
236	20	3	-20	-27	29
237	20	3.25	19	-27	-29
238	20	3.5	17	26	28
240	21	1	20	25	27
241	21	1.25	21	-25	-27
242	21	1.5	22	24	26
243	21	1.75	-22	23	-26
244	21	2	-22	22	-26
246	21	2.5	20	24	29
248	21	3	21	23	-29
250	21	3.5	-21	-23	28
252	22	1	18	22	29
254	22	1.5	-18	25	-29
258	22	2.5	-18	23	32
260	22	3	0	22	-32
262	22	3.5	20	-22	31
264	23	1	21	21	30
267	23	1.75	19	-21	29
268	23	2	20	0	29
270	23	2.5	21	28	30
272	23	3	-21	-28	28
273	23	3.25	19	-28	-28
274	23	3.5	21	26	-28
276	24	1	18	27	0
278	24	1.5	-18	-27	32
279	24	1.75	-18	25	-32
280	24	2	21	25	-32
282	24	2.5	-21	28	30
284	24	3	18	-28	29
286	24	3.5	-18	27	-29
288	25	1	0	26	28
290	25	1.5	19	24	-28
291	25	1.75	-19	-24	29
292	25	2	20	-24	31
294	25	2.5	18	23	32
296	25	3	17	24	33
298	25	3.5	-17	26	32
299	25	3.75	-17	-26	31
300	26	1	21	25	30
302	26	1.5	-21	28	33
304	26	2	24	-28	-33
305	26	2.25	-24	-28	32
306	26	2.5	-24	26	31
308	26	3	21	25	-31
309	26	3.25	-21	-25	30
310	26	3.5	-21	-25	31
311	26	3.75	-21	-25	32
312	27	1	17	24	33
314	27	1.5	21	23	32
316	27	2	19	26	-32
317	27	2.25	-19	-26	31
318	27	2.5	18	27	30
319	27	2.75	-18	-27	29
