**absq	**bar	**beat	**b7	**b7	**b7
0	1	1	26	0	0
4	1	2	28	0	0
12	2	1	28	26	0
16	2	2	24	28	0
24	3	1	24	28	33
28	3	2	31	24	35
36	4	1	31	24	35
38	4	1.5	30	-24	-35
39	4	1.75	29	-24	-35
40	4	2	28	24	33
42	4	2.5	26	-24	-33
44	4	3	25	23	-33
46	4	3.5	28	21	32
48	5	1	-28	22	33
50	5	1.5	27	-22	32
51	5	1.75	-27	-22	31
52	5	2	28	21	30
56	5	3	21	28	30
59	5	3.75	-21	-28	31
60	6	1	-21	28	32
64	6	2	24	-28	33
68	6	3	-24	28	-33
70	6	3.5	-24	-28	32
72	7	1	25	27	32
76	7	2	24	26	35
80	7	3	28	-26	-35
82	7	3.5	27	-26	33
83	7	3.75	28	-26	-33
84	8	1	29	25	34
92	8	3	31	24	33
96	9	1	31	24	33
98	9	1.5	31	24	33
100	9	2	29	27	32
102	9	2.5	29	27	32
104	9	3	28	28	30
106	9	3.5	26	-28	33
108	10	1	24	26	-33
110	10	1.5	22	24	31
112	10	2	21	25	-31
114	10	2.5	-21	-25	30
116	10	3	28	24	31
122	11	1.5	27	25	30
124	11	2	28	26	31
126	11	2.5	29	27	32
128	11	3	30	28	33
132	12	1	31	24	-33
134	12	1.5	29	-24	31
135	12	1.75	-29	-24	32
136	12	2	-29	-24	31
138	12	2.5	28	-24	30
139	12	2.75	-28	-24	31
140	12	3	29	27	29
144	13	1	30	26	28
156	14	1	29	27	32
168	15	1	31	24	33
176	15	3	31	24	35
180	16	1	29	25	34
192	17	1	30	28	33
198	17	2.5	28	-28	32
200	17	3	31	24	33
204	18	1	29	25	34
208	18	2	-29	29	33
210	18	2.5	31	-29	-33
214	18	3.5	30	-29	32
216	19	1	29	27	32
220	19	2	-29	26	-32
222	19	2.5	-29	-26	30
224	19	3	28	-26	31
228	20	1	29	25	32
234	20	2.5	30	-25	0
236	20	3	31	29	33
238	20	3.5	29	-29	34
240	21	1	30	26	35
246	21	2.5	28	-26	33
248	21	3	25	29	34
250	21	3.5	-25	-29	35
252	22	1	24	31	33
264	23	1	31	24	35
270	23	2.5	30	-24	34
272	23	3	29	24	33
274	23	3.5	28	-24	-33
276	24	1	30	28	32
278	24	1.5	-30	-28	33
280	24	2	31	29	-33
282	24	2.5	-31	-29	34
284	24	3	32	28	-34
286	24	3.5	30	-28	33
288	25	1	29	27	32
290	25	1.5	30	28	-32
292	25	2	31	24	33
294	25	2.5	-31	-24	31
296	25	3	24	28	30
298	25	3.5	-24	-28	31
300	26	1	-24	26	33
302	26	1.5	25	27	32
304	26	2	24	26	-32
305	26	2.25	-24	-26	31
306	26	2.5	22	24	31
308	26	3	21	25	-31
310	26	3.5	-21	-25	30
312	27	1	28	24	31
*-	*-	*-	*-	*-	*-
