**absq	**bar	**beat	**b7	**b7	**b7
8	1	3	21	28	28
14	2	1.5	-21	-28	29
16	2	2	21	-28	30
20	2	3	22	26	31
24	3	1	20	27	-31
26	3	1.5	-20	-27	29
28	3	2	-20	-27	29
30	3	2.5	-20	25	-29
32	3	3	23	25	32
36	4	1	-23	28	-32
38	4	1.5	21	-28	30
40	4	2	21	-28	30
42	4	2.5	-21	29	-30
44	4	3	21	30	35
48	5	1	24	31	-35
50	5	1.5	-24	-31	33
52	5	2	-24	-31	33
54	5	2.5	25	29	-33
55	5	2.75	26	-29	-33
56	5	3	27	29	36
60	6	1	-27	32	-36
62	6	1.5	25	-32	34
64	6	2	25	-32	-34
66	6	2.5	-25	-32	32
68	6	3	28	30	32
71	6	3.75	-28	29	-32
72	7	1	-28	30	35
74	7	1.5	24	31	-35
76	7	2	25	29	34
78	7	2.5	22	-29	33
80	7	3	24	-29	-33
82	7	3.5	25	-29	32
83	7	3.75	-25	-29	31
84	8	1	21	28	30
92	8	3	-21	28	0
96	9	1	0	-28	35
98	9	1.5	0	29	-35
100	9	2	21	30	35
104	9	3	20	31	36
106	9	3.5	22	-31	-36
108	10	1	21	32	37
116	10	3	-21	32	-37
120	11	1	-21	-32	37
124	11	2	25	-32	36
126	11	2.5	-25	-32	36
128	11	3	-25	32	-36
130	11	3.5	-25	-32	35
131	11	3.75	-25	-32	34
132	12	1	22	31	33
134	12	1.5	24	-31	-33
136	12	2	21	30	32
138	12	2.5	-21	28	30
140	12	3	20	29	31
143	12	3.75	-20	-29	32
144	13	1	21	28	30
147	13	1.75	-21	-28	31
148	13	2	-21	-28	32
150	13	2.5	28	-28	28
152	13	3	-28	30	35
154	13	3.5	27	31	36
156	14	1	25	32	37
158	14	1.5	27	-32	36
160	14	2	-27	31	-36
161	14	2.25	-27	-31	35
162	14	2.5	28	30	35
164	14	3	25	29	-35
166	14	3.5	-25	-29	34
168	15	1	21	28	35
176	15	3	21	0	32
178	15	3.5	-21	28	-32
180	16	1	24	-28	33
182	16	1.5	-24	29	-33
184	16	2	25	-29	34
186	16	2.5	-25	30	-34
188	16	3	26	-30	35
190	16	3.5	-26	28	-35
192	17	1	0	30	-35
194	17	1.5	22	31	33
196	17	2	25	32	34
198	17	2.5	28	30	35
200	17	3	27	31	36
202	17	3.5	25	32	-36
204	18	1	28	-32	32
205	18	1.25	27	-32	-32
206	18	1.5	26	28	33
208	18	2	25	29	34
210	18	2.5	28	30	35
212	18	3	24	31	-35
214	18	3.5	-24	-31	34
215	18	3.75	-24	-31	33
216	19	1	21	30	32
218	19	1.5	24	28	33
220	19	2	22	29	-33
221	19	2.25	-22	-29	32
222	19	2.5	25	28	32
223	19	2.75	-25	27	-32
