**absq	**bar	**beat	**b7	**b7	**b7	**b7
0	1	1	0	0	0	35
4	1	3	0	0	31	-35
8	2	1	0	0	-31	35
12	2	3	0	0	31	36
16	3	1	0	0	32	-36
20	3	3	0	0	-32	37
24	4	1	0	0	33	-37
26	4	2	0	0	-33	35
28	4	3	0	0	-33	35
30	4	4	0	0	31	-35
32	5	1	0	0	31	-35
34	5	2	0	0	-31	36
36	5	3	0	0	34	-36
37	5	3.5	0	0	-34	35
38	5	4	0	0	33	38
40	6	1	0	28	32	-38
42	6	2	0	-28	-32	37
44	6	3	24	-28	31	38
48	7	1	-24	28	-31	-38
52	7	3	24	29	0	0
56	8	1	25	-29	0	0
60	8	3	-25	30	0	0
64	9	1	26	-30	0	0
66	9	2	-26	28	0	0
68	9	3	-26	28	0	0
70	9	4	24	-28	0	0
72	10	1	24	-28	0	0
74	10	2	-24	29	0	0
76	10	3	27	-29	0	0
77	10	3.5	-27	28	0	0
78	10	4	26	31	0	0
80	11	1	25	-31	0	32
82	11	2	-25	30	0	-32
84	11	3	24	31	0	33
88	12	1	0	0	28	32
90	12	2	0	0	-28	33
92	12	3	0	0	29	-33
94	12	4	0	0	-29	32
95	12	4.5	0	0	-29	31
96	13	1	0	0	28	30
98	13	2	0	0	29	29
100	13	3	0	0	-29	31
102	13	4	0	0	28	-31
103	13	4.5	0	0	27	32
104	14	1	0	0	26	33
106	14	2	0	0	25	34
108	14	3	0	0	27	-34
109	14	3.5	0	0	-27	33
110	14	4	0	0	-27	31
111	14	4.5	0	0	28	-31
112	15	1	0	0	29	-31
113	15	1.5	0	0	-29	32
114	15	2	0	0	28	33
116	15	3	0	0	27	-33
118	15	4	0	0	-27	32
120	16	1	0	0	26	33
124	16	3	0	28	-26	-33
128	17	1	0	29	0	-33
132	17	3	24	28	0	-33
134	17	4	-24	29	0	-33
136	18	1	25	-29	0	0
138	18	2	-25	28	0	0
139	18	2.5	-25	27	0	0
140	18	3	24	26	0	0
142	18	4	25	25	0	0
144	19	1	-25	29	0	0
146	19	2	24	-29	0	0
147	19	2.5	23	30	0	0
148	19	3	22	31	0	0
150	19	4	21	30	0	0
152	20	1	23	-30	0	0
153	20	1.5	-23	29	0	0
154	20	2	24	28	0	0
156	20	3	22	-28	0	0
158	20	4	-22	27	0	0
160	21	1	21	28	0	0
164	21	3	-21	-28	0	35
168	22	1	0	0	31	-35
170	22	2	0	0	-31	34
172	22	3	24	0	-31	33
174	22	4	-24	0	30	32
176	23	1	-24	0	29	31
178	23	2	-24	0	28	30
180	23	3	25	0	27	29
184	24	1	26	0	26	28
186	24	2	-26	0	-26	35
188	24	3	24	31	-26	-35
190	24	4	-24	-31	-26	34
192	25	1	-24	-31	0	33
194	25	2	-24	30	0	32
196	25	3	27	29	29	31
198	25	4	-27	28	-29	30
200	26	1	-27	27	-29	29
202	26	2	24	26	28	31
204	26	3	25	25	27	-31
206	26	4	-25	-25	-27	30
208	27	1	26	24	28	31
212	27	3	28	-24	-28	-31
216	28	1	-28	28	24	-31
218	28	2	27	-28	-24	-31
220	28	3	26	-28	-24	-31
222	28	4	25	27	25	-31
224	29	1	24	26	26	0
226	29	2	23	25	28	0
228	29	3	22	24	-28	0
230	29	4	-22	-24	27	0
232	30	1	21	25	28	0
236	30	3	-21	-25	-28	32
240	31	1	-21	28	-28	-32
244	31	3	-21	-28	-28	33
248	32	1	0	29	0	-33
252	32	3	0	-29	0	31
256	33	1	0	27	0	31
260	33	3	0	27	0	32
264	34	1	0	28	0	-32
266	34	2	0	-28	0	30
268	34	3	0	-28	0	30
270	34	4	0	26	0	-30
272	35	1	0	26	28	-30
276	35	3	24	-26	-28	0
280	36	1	-24	0	29	0
284	36	3	25	0	-29	0
288	37	1	-25	0	27	0
292	37	3	23	0	27	32
296	38	1	23	28	28	-32
300	38	3	24	-28	-28	33
302	38	4	-24	-28	26	-33
304	39	1	-24	29	26	-33
306	39	2	22	-29	-26	-33
308	39	3	22	-29	-26	31
312	40	1	23	27	25	32
316	40	3	24	26	28	31
320	41	1	21	25	-28	-31
322	41	2	-21	-25	-28	30
323	41	2.5	-21	-25	-28	29
324	41	3	-21	25	28	30
328	42	1	24	24	28	31
344	44	1	0	0	0	0
344	44	1	0	0	29	33
348	44	3	0	0	31	-33
352	45	1	0	0	-31	35
354	45	2	0	0	30	-35
355	45	2.5	0	0	29	-35
356	45	3	0	0	30	-35
360	46	1	0	0	29	36
364	46	3	0	0	31	-36
368	47	1	0	0	-31	35
370	47	2	0	0	30	-35
371	47	2.5	0	0	29	-35
372	47	3	0	0	30	-35
376	48	1	0	0	29	34
380	48	3	0	0	-29	33
382	48	4	0	0	28	-33
384	49	1	0	0	27	-33
386	49	2	0	0	-27	32
387	49	2.5	0	0	-27	31
388	49	3	0	0	-27	32
392	50	1	22	26	26	33
396	50	3	24	-26	-26	-33
400	51	1	-24	28	0	0
402	51	2	23	-28	0	0
403	51	2.5	22	-28	0	0
404	51	3	23	-28	0	0
408	52	1	22	29	0	0
412	52	3	24	-29	0	0
416	53	1	-24	28	0	0
418	53	2	23	-28	0	0
419	53	2.5	22	-28	0	0
420	53	3	23	-28	0	0
424	54	1	22	27	31	0
428	54	3	-22	26	-31	0
430	54	4	22	-26	-31	0
432	55	1	21	-26	30	0
434	55	2	-21	25	-30	0
435	55	2.5	-21	24	-30	0
436	55	3	-21	25	-30	0
440	56	1	20	0	29	34
442	56	2	-20	27	-29	-34
445	56	3.5	-20	28	-29	-34
446	56	4	-20	29	-29	-34
447	56	4.5	-20	30	-29	-34
448	57	1	0	31	0	33
450	57	2	0	-31	24	-33
452	57	3	0	31	-24	-33
453	57	3.5	0	-31	25	-33
454	57	4	0	-31	26	-33
455	57	4.5	0	-31	27	-33
456	58	1	0	30	28	32
458	58	2	21	-30	-28	-32
460	58	3	-21	-30	28	-32
461	58	3.5	22	-30	-28	-32
462	58	4	23	-30	-28	-32
463	58	4.5	24	-30	-28	-32
464	59	1	25	29	27	0
466	59	2	-25	-29	-27	29
468	59	3	25	-29	-27	-29
469	59	3.5	-25	-29	-27	30
470	59	4	-25	-29	-27	31
471	59	4.5	-25	-29	-27	32
472	60	1	24	0	26	33
474	60	2	-24	26	-26	-33
476	60	3	-24	28	0	33
478	60	4	-24	-28	26	-33
479	60	4.5	-24	29	-26	-33
480	61	1	23	30	28	32
482	61	2	-23	-30	29	-32
484	61	3	-23	30	-29	-32
486	61	4	-23	-30	28	-32
488	62	1	0	31	29	31
490	62	2	22	-31	-29	-31
492	62	3	24	-31	-29	-31
494	62	4	-24	30	28	-31
495	62	4.5	25	29	27	-31
496	63	1	26	28	26	0
498	63	2	-26	-28	-26	28
500	63	3	26	-28	-26	30
503	63	4.5	-26	-28	-26	31
504	64	1	25	27	0	32
506	64	2	-25	-27	27	-32
508	64	3	-25	-27	29	32
511	64	4.5	-25	-27	30	-32
512	65	1	24	0	31	33
514	65	2	-24	24	-31	-33
516	65	3	-24	26	24	-33
518	65	4	23	-26	-24	32
519	65	4.5	22	27	-24	31
520	66	1	21	28	25	30
522	66	2	-21	-28	28	-30
523	66	2.5	-21	-28	-28	31
524	66	3	21	28	-28	32
525	66	3.5	-21	-28	27	-32
526	66	4	-21	-28	26	33
527	66	4.5	-21	-28	25	-33
528	67	1	22	26	24	-33
529	67	1.5	-22	-26	-24	32
530	67	2	-22	-26	-24	31
532	67	3	21	0	25	-31
534	67	4	-21	0	-25	30
536	68	1	28	0	24	31
538	68	2	-28	26	-24	-31
542	68	4	-28	25	-24	-31
543	68	4.5	-28	24	-24	-31
544	69	1	0	28	-24	-31
548	69	3	0	28	-24	-31
552	70	1	0	29	0	0
554	70	2	0	-29	0	33
558	70	4	0	-29	0	32
559	70	4.5	0	-29	0	31
560	71	1	0	28	0	35
564	71	3	0	-28	0	35
568	72	1	0	27	0	36
570	72	2	0	-27	29	-36
574	72	4	0	-27	28	-36
575	72	4.5	0	-27	27	-36
576	73	1	0	26	31	35
580	73	3	0	-26	31	-35
