**absq	**bar	**beat	**b7	**b7	**b7	**b7
0	1	1	0	0	30	0
8	2	1	0	0	29	0
12	2	3	0	0	28	0
16	3	1	0	0	29	33
19	3	2.5	0	0	28	-33
20	3	3	0	0	26	-33
22	3	4	0	0	28	-33
24	4	1	0	0	-28	32
26	4	2	0	0	27	-32
28	4	3	0	0	26	31
32	5	1	0	0	25	32
35	5	2.5	0	0	26	31
36	5	3	0	0	27	29
37	5	3.5	0	0	28	-29
38	5	4	0	0	29	31
40	6	1	26	0	-29	30
42	6	2	-26	0	28	26
43	6	2.5	-26	0	-28	27
44	6	3	-26	0	26	28
45	6	3.5	-26	0	27	29
46	6	4	-26	0	28	30
47	6	4.5	-26	0	29	31
48	7	1	25	0	30	32
49	7	1.5	-25	0	-30	33
50	7	2	-25	0	29	34
51	7	2.5	-25	0	-29	32
52	7	3	24	0	31	33
53	7	3.5	-24	0	-31	34
54	7	4	-24	0	-31	35
56	8	1	25	0	30	-35
58	8	2	-25	0	29	34
59	8	2.5	24	0	-29	-34
60	8	3	22	0	-29	-34
61	8	3.5	-22	0	28	33
62	8	4	24	0	26	33
64	9	1	23	30	27	-33
66	9	2	-23	-30	-27	32
68	9	3	26	-30	28	33
70	9	4	26	-30	-28	-33
71	9	4.5	-26	-30	27	-33
72	10	1	24	29	26	-33
74	10	2	25	-29	27	32
75	10	2.5	-25	-29	-27	31
76	10	3	23	28	25	32
80	11	1	22	29	26	31
83	11	2.5	23	28	-26	32
84	11	3	24	26	0	33
85	11	3.5	25	-26	0	-33
86	11	4	26	28	0	-33
88	12	1	-26	27	0	0
90	12	2	25	-27	0	0
92	12	3	26	26	30	0
94	12	4	28	-26	-30	0
97	13	1.5	27	-26	-30	0
98	13	2	26	-26	-30	0
99	13	2.5	25	-26	-30	0
100	13	3	24	0	29	33
101	13	3.5	23	0	-29	-33
102	13	4	22	0	-29	-33
104	14	1	26	30	28	-33
107	14	2.5	25	-30	27	-33
107.5	14	2.75	24	-30	26	-33
108	14	3	23	-30	27	32
110	14	4	21	-30	28	-32
112	15	1	22	29	26	31
114	15	2	-22	-29	29	-31
116	15	3	0	28	30	32
118	15	4	0	-28	30	-32
119	15	4.5	0	-28	-30	31
119.5	15	4.75	0	-28	-30	30
120	16	1	0	29	31	29
122	16	2	0	-29	33	31
123	16	2.5	0	28	-33	-31
124	16	3	0	26	-33	-31
126	16	4	0	28	32	30
128	17	1	0	27	-32	-30
129	17	1.5	0	-27	31	29
130	17	2	0	-27	29	29
132	17	3	0	26	30	-29
134	17	4	0	30	-30	28
136	18	1	0	31	29	29
138	18	2	0	29	31	-29
140	18	3	26	-29	30	33
142	18	4	-26	28	-30	-33
143	18	4.5	-26	27	-30	32
143.5	18	4.75	-26	-27	-30	31
144	19	1	-26	28	0	30
145	19	1.5	-26	29	0	-30
146	19	2	-26	30	26	28
147	19	2.5	-26	31	-26	-28
148	19	3	25	32	27	29
150	19	4	-25	25	27	-29
151	19	4.5	-25	-25	-27	30
152	20	1	24	26	28	31
153	20	1.5	-24	-26	-28	32
154	20	2	-24	26	-28	33
156	20	3	25	27	30	-33
157	20	3.5	-25	-27	-30	32
158	20	4	-25	-27	29	32
159	20	4.5	24	-27	-29	-32
160	21	1	22	29	-29	31
