**absq	**bar	**beat	**b7	**b7	**b7	**b7
0	27	1	22	29	31	33
4	27	3	22	29	31	33
6	27	4	-22	-29	31	33
8	28	1	25	29	32	34
9	28	1.5	-25	-29	33	35
10	28	2	25	-29	34	36
11	28	2.5	-25	-29	33	35
12	28	3	25	0	32	34
13	28	3.5	-25	0	31	33
14	28	4	25	0	30	32
15	28	4.5	-25	0	29	31
16	29	1	26	0	28	30
17	29	1.5	27	0	-28	-30
18	29	2	28	28	-28	30
19	29	2.5	27	-28	29	-30
20	29	3	26	28	30	33
21	29	3.5	25	-28	-30	-33
22	29	4	24	28	26	-33
23	29	4.5	23	-28	-26	32
24	30	1	22	29	33	31
25	30	1.5	-22	30	-33	-31
26	30	2	-22	31	-33	29
27	30	2.5	-22	30	32	-29
28	30	3	22	29	31	36
29	30	3.5	-22	28	-31	-36
30	30	4	-22	27	-31	-36
31	30	4.5	-22	26	-31	-36
32	31	1	23	25	30	-36
34	31	2	-23	26	-30	35
36	31	3	23	-26	0	34
38	31	4	-23	25	30	-34
40	32	1	0	26	30	35
42	32	2	26	30	-30	35
44	32	3	26	30	33	35
46	32	4	-26	30	-33	35
48	33	1	29	31	0	36
49	33	1.5	-29	32	0	37
50	33	2	-29	33	31	38
51	33	2.5	-29	32	-31	37
52	33	3	22	31	31	36
53	33	3.5	-22	30	-31	35
54	33	4	-22	29	31	34
55	33	4.5	-22	28	-31	33
56	34	1	25	29	32	34
57	34	1.5	-25	-29	33	-34
58	34	2	-25	-29	34	32
59	34	2.5	-25	-29	33	-32
60	34	3	-25	32	32	34
61	34	3.5	-25	-32	31	-34
62	34	4	-25	-32	30	-34
63	34	4.5	-25	31	29	-34
64	35	1	26	30	28	33
66	35	2	-26	29	29	-33
68	35	3	-26	-29	30	-33
70	35	4	-26	28	-30	-33
72	36	1	22	29	31	-33
*-	*-	*-	*-	*-	*-	*-
