**absq	**bar	**beat	**b7	**b7	**b7	**b7
0	1	1	0	0	36	0
4	1	3	0	32	-36	0
8	2	1	0	-32	37	0
12	2	3	0	33	35	0
16	3	1	0	31	36	0
20	3	3	0	32	0	0
22	3	4	0	-32	36	0
24	4	1	0	0	37	0
25	4	1.5	0	0	38	0
26	4	2	0	32	39	0
27	4	2.5	0	-32	37	0
28	4	3	0	33	38	0
29	4	3.5	0	32	-38	0
30	4	4	0	31	-38	0
31	4	4.5	0	32	37	0
32	5	1	0	33	35	0
33	5	1.5	0	34	36	0
34	5	2	0	35	37	0
35	5	2.5	0	33	38	0
36	5	3	0	34	39	0
38	5	4	0	35	37	0
40	6	1	0	-35	36	32
42	6	2	0	34	-36	-32
43	6	2.5	0	33	-36	-32
44	6	3	0	34	-36	-32
46	6	4	0	32	-36	-32
48	7	1	29	-32	-36	33
50	7	2	-29	31	-36	-33
51	7	2.5	-29	30	-36	-33
52	7	3	-29	31	36	-33
56	8	1	30	32	34	32
58	8	2	-30	34	-34	-32
60	8	3	28	35	37	-32
64	9	1	29	33	36	31
67	9	2.5	-29	-33	35	-31
67.5	9	2.75	-29	-33	34	-31
68	9	3	0	29	33	-31
70	9	4	29	-29	36	-31
72	10	1	30	0	34	32
73	10	1.5	29	0	-34	-32
74	10	2	28	0	37	-32
75	10	2.5	29	0	-37	-32
76	10	3	30	0	-37	-32
77	10	3.5	31	0	36	-32
78	10	4	32	0	34	-32
79	10	4.5	30	0	35	-32
80	11	1	31	29	36	33
82	11	2	32	-29	-36	-33
86	11	4	31	-29	-36	-33
88	12	1	32	30	34	32
90	12	2	28	-30	35	-32
92	12	3	-28	28	-35	-32
93	12	3.5	-28	-28	34	-32
93.5	12	3.75	-28	-28	33	-32
94	12	4	27	29	32	-32
96	13	1	26	30	33	35
98	13	2	-26	28	-33	-35
99	13	2.5	27	29	-33	-35
100	13	3	28	30	32	-35
101	13	3.5	29	31	-32	-35
102	13	4	30	32	-32	-35
103	13	4.5	-30	30	-32	-35
104	14	1	29	31	33	36
106	14	2	25	32	34	-36
108	14	3	27	-32	-34	-36
109	14	3.5	-27	31	-34	-36
110	14	4	-27	31	33	-36
112	15	1	28	-31	32	35
114	15	2	-28	30	-32	-35
116	15	3	24	31	33	-35
119	15	4.5	-24	-31	35	-35
120	16	1	-24	0	35	0
122	16	2	-24	35	35	0
124	16	3	-24	35	31	0
126	16	4	-24	35	-31	0
127	16	4.5	-24	-35	32	0
128	17	1	0	31	33	0
129	17	1.5	0	-31	34	0
130	17	2	0	-31	35	0
131	17	2.5	0	32	-35	0
132	17	3	0	33	-35	0
133	17	3.5	0	34	36	0
134	17	4	0	35	37	0
135	17	4.5	0	33	38	0
136	18	1	0	34	39	0
138	18	2	0	35	-39	0
139	18	2.5	0	-35	38	0
140	18	3	0	-35	37	0
142	18	4	0	34	36	0
144	19	1	0	33	37	35
146	19	2	0	-33	37	-35
147	19	2.5	0	32	-37	-35
148	19	3	0	31	33	-35
149	19	3.5	0	30	-33	-35
150	19	4	0	31	-33	-35
151	19	4.5	0	-31	34	-35
152	20	1	28	-31	35	32
154	20	2	-28	30	-35	-32
155	20	2.5	-28	29	-35	-32
156	20	3	28	30	0	-32
158	20	4	28	-30	35	-32
160	21	1	24	0	35	33
162	21	2	-24	35	38	-33
163	21	2.5	25	-35	-38	-33
164	21	3	26	35	37	-33
165	21	3.5	27	-35	-37	-33
166	21	4	28	35	37	-33
167	21	4.5	29	-35	-37	-33
168	22	1	30	32	-37	35
169	22	1.5	-30	-32	36	-35
170	22	2	31	33	35	-35
171	22	2.5	-31	-33	34	-35
172	22	3	-31	31	33	-35
174	22	4	30	32	32	-35
176	23	1	29	-32	33	36
177	23	1.5	-29	31	-33	-36
177.5	23	1.75	-29	30	-33	-36
178	23	2	-29	31	-33	-36
180	23	3	0	32	34	-36
182	23	4	0	29	-34	-36
184	24	1	0	31	33	35
186	24	2	31	-31	-33	-35
187	24	2.5	-31	32	-33	-35
188	24	3	31	33	0	-35
190	24	4	31	-33	33	-35
192	25	1	27	0	34	36
194	25	2	-27	31	34	-36
196	25	3	29	31	33	-36
198	25	4	29	31	-33	-36
199	25	4.5	-29	-31	32	-36
199.5	25	4.75	-29	-31	31	-36
200	26	1	28	32	30	37
202	26	2	-28	33	35	-37
206	26	4	0	32	34	37
208	27	1	29	-32	33	36
210	27	2	-29	31	-33	-36
211	27	2.5	-29	30	-33	-36
212	27	3	29	31	0	-36
214	27	4	29	31	36	-36
216	28	1	25	32	36	0
218	28	2	-25	-32	36	0
219	28	2.5	26	-32	-36	0
220	28	3	27	0	32	0
222	28	4	28	32	-32	0
223	28	4.5	-28	-32	33	0
224	29	1	25	32	34	0
225	29	1.5	-25	-32	35	0
226	29	2	27	32	36	0
227	29	2.5	-27	-32	34	0
228	29	3	26	28	35	0
229	29	3.5	-26	-28	36	0
230	29	4	-26	-28	37	0
231	29	4.5	27	29	-37	0
232	30	1	28	30	-37	0
233	30	1.5	-28	31	36	0
234	30	2	-28	32	37	0
235	30	2.5	-28	33	35	0
236	30	3	0	34	36	0
238	30	4	0	35	37	0
239	30	4.5	0	34	-37	0
240	31	1	0	33	-37	35
241	31	1.5	0	32	-37	-35
242	31	2	0	31	38	-35
243	31	2.5	0	32	-38	-35
244	31	3	0	33	37	-35
245	31	3.5	0	34	-37	-35
246	31	4	0	35	-37	-35
247	31	4.5	0	-35	38	-35
248	32	1	32	-35	39	36
250	32	2	-32	34	-39	-36
251	32	2.5	-32	33	-39	-36
252	32	3	32	34	0	-36
254	32	4	32	34	39	-36
256	33	1	28	35	39	37
258	33	2	0	32	39	-37
259	33	2.5	28	-32	-39	-37
260	33	3	28	32	35	-37
262	33	4	28	30	-35	-37
263	33	4.5	-28	-30	34	-37
264	34	1	24	31	33	35
265	34	1.5	25	-31	34	-35
266	34	2	26	30	35	-35
267	34	2.5	27	-30	36	-35
268	34	3	28	-30	37	-35
269	34	3.5	29	29	-37	-35
270	34	4	30	28	-37	-35
271	34	4.5	31	29	-37	-35
272	35	1	32	30	-37	34
273	35	1.5	-32	31	-37	-34
274	35	2	25	32	36	-34
275	35	2.5	-25	-32	35	-34
276	35	3	-25	29	36	-34
277	35	3.5	26	-29	-36	-34
278	35	4	27	32	-36	-34
279	35	4.5	28	-32	-36	-34
280	36	1	29	-32	36	33
282	36	2	-29	31	-36	-33
283	36	2.5	-29	30	-36	-33
