**absq	**bar	**beat	**b7	**b7	**b7	**b7	**b7
0	40	1	0	0	30	0	0
2	40	2	26	0	30	0	0
3	40	2.5	-26	0	30	0	0
4	40	3	26	0	31	0	0
5	40	3.5	26	0	-31	0	0
6	40	4	27	0	29	0	0
8	41	1	25	0	30	0	0
10	41	2	26	0	28	0	0
12	41	3	24	0	29	0	0
14	41	4	25	0	30	0	0
16	42	1	26	30	-30	0	0
17	42	1.5	-26	-30	29	0	0
18	42	2	-26	30	28	33	0
19	42	2.5	-26	30	27	-33	0
20	42	3	24	31	26	33	0
21	42	3.5	-24	-31	-26	33	0
22	42	4	25	29	29	34	0
24	43	1	23	30	-29	32	37
26	43	2	26	-30	28	33	37
27	43	2.5	-26	-30	-28	-33	37
28	43	3	22	33	29	-33	38
30	43	4	-22	-33	-29	31	36
32	44	1	0	30	28	32	37
34	44	2	0	30	26	33	35
35	44	2.5	0	30	-26	-33	-35
36	44	3	0	31	29	-33	36
37	44	3.5	0	-31	-29	32	-36
38	44	4	0	29	-29	33	38
39	44	4.5	0	-29	-29	34	-38
40	45	1	0	30	28	35	37
42	45	2	0	28	-28	-35	-37
44	45	3	0	29	0	34	36
45	45	3.5	0	-29	0	-34	35
46	45	4	0	31	0	33	34
47	45	4.5	0	-31	0	-33	33
48	46	1	0	30	0	-33	34
50	46	2	0	-30	30	32	-34
51	46	2.5	0	29	-30	-32	-34
52	46	3	26	28	30	33	33
53	46	3.5	-26	26	30	-33	-33
54	46	4	26	33	31	-33	-33
55	46	4.5	26	-33	-31	-33	-33
56	47	1	27	31	29	0	0
58	47	2	25	32	30	0	0
60	47	3	26	30	28	33	0
62	47	4	24	33	29	33	0
63	47	4.5	-24	-33	31	33	0
64	48	1	25	32	30	34	0
65	48	1.5	-25	31	29	-34	0
66	48	2	27	30	29	32	0
67	48	2.5	-27	29	-29	-32	0
68	48	3	26	30	-29	33	0
70	48	4	-26	-30	28	-33	33
72	49	1	22	29	29	31	33
73	49	1.5	-22	-29	-29	-31	33
74	49	2	25	-29	-29	32	34
76	49	3	28	30	0	-32	32
77	49	3.5	-28	-30	0	30	-32
78	49	4	26	28	0	31	33
80	50	1	27	29	0	-31	31
81	50	1.5	-27	-29	0	30	-31
82	50	2	-27	-29	0	29	32
84	50	3	26	0	30	-29	33
86	50	4	-26	33	30	28	-33
87	50	4.5	-26	-33	30	-28	-33
88	51	1	22	33	31	29	0
89	51	1.5	-22	33	-31	-29	0
90	51	2	-22	34	29	-29	0
92	51	3	0	32	30	0	37
94	51	4	0	33	28	33	37
95	51	4.5	0	-33	-28	-33	37
96	52	1	0	31	29	33	38
97	52	1.5	0	-31	-29	33	-38
98	52	2	0	32	25	34	36
100	52	3	0	30	28	32	37
102	52	4	0	-30	26	33	35
104	53	1	0	31	29	-33	36
105	53	1.5	0	-31	-29	32	-36
106	53	2	0	-31	-29	33	38
107	53	2.5	0	-31	-29	34	-38
108	53	3	0	32	28	35	37
110	53	4	0	33	26	35	-37
112	54	1	23	-33	30	-35	-37
113	54	1.5	-23	32	-30	-35	-37
114	54	2	23	32	-30	34	-37
115	54	2.5	23	-32	-30	-34	-37
116	54	3	24	28	0	-34	0
117	54	3.5	-24	-28	0	33	0
118	54	4	22	29	0	33	38
120	55	1	23	27	30	32	37
122	55	2	21	30	30	33	37
123	55	2.5	-21	-30	30	-33	-37
124	55	3	22	29	31	-33	33
125	55	3.5	-22	-29	-31	32	-33
126	55	4	24	26	29	33	-33
127	55	4.5	-24	-26	-29	31	-33
128	56	1	23	27	30	32	37
130	56	2	-23	30	28	33	-37
132	56	3	-23	30	27	-33	37
134	56	4	-23	-30	-27	32	-37
136	57	1	19	30	26	33	35
*-	*-	*-	*-	*-	*-	*-	*-
