**absq	**bar	**beat	**b7	**b7	**b7
0	1	1	0	0	37
8	2	1	0	0	36
12	2	3	0	0	37
16	3	1	0	33	-37
18	3	2	0	-33	33
20	3	3	0	-33	35
24	4	1	0	32	34
28	4	3	0	33	33
29	4	3.5	0	-33	34
30	4	4	0	-33	35
31	4	4.5	0	-33	36
32	5	1	0	-33	37
33	5	1.5	0	-33	35
34	5	2	0	29	38
36	5	3	0	31	-38
37	5	3.5	0	-31	37
38	5	4	0	-31	36
40	6	1	0	30	-36
42	6	2	0	-30	35
44	6	3	0	29	38
45	6	3.5	0	30	-38
46	6	4	0	31	-38
47	6	4.5	0	32	-38
48	7	1	26	33	37
49	7	1.5	-26	34	-37
50	7	2	-26	35	33
51	7	2.5	-26	-35	34
52	7	3	-26	-35	35
53	7	3.5	-26	34	36
54	7	4	-26	35	37
55	7	4.5	-26	33	-37
56	8	1	25	34	-37
58	8	2	-25	-34	36
60	8	3	26	33	-36
62	8	4	-26	-33	35
63	8	4.5	-26	32	34
63.5	8	4.75	-26	31	-34
64	9	1	-26	30	35
66	9	2	22	31	36
68	9	3	24	-31	-36
69	9	3.5	-24	32	35
70	9	4	-24	33	33
72	10	1	23	-33	34
74	10	2	-23	32	-34
76	10	3	22	31	0
77	10	3.5	23	-31	0
78	10	4	24	-31	33
79	10	4.5	25	-31	-33
80	11	1	26	30	35
81	11	1.5	27	-30	-35
82	11	2	28	-30	-35
83	11	2.5	-28	-30	34
83.5	11	2.75	-28	-30	33
84	11	3	-28	-30	32
85	11	3.5	27	-30	-32
86	11	4	28	-30	33
87	11	4.5	26	-30	-33
88	12	1	27	0	-33
90	12	2	-27	29	32
92	12	3	26	31	33
94	12	4	22	-31	-33
95	12	4.5	-22	30	-33
95.5	12	4.75	-22	29	-33
96	13	1	24	28	-33
98	13	2	-24	29	-33
99	13	2.5	23	-29	-33
99.5	13	2.75	22	-29	-33
100	13	3	23	-29	0
102	13	4	-23	28	37
104	14	1	22	29	38
106	14	2	-22	29	-38
107	14	2.5	-22	-29	37
107.5	14	2.75	-22	-29	36
108	14	3	0	31	35
110	14	4	0	-31	36
111	14	4.5	0	30	-36
111.5	14	4.75	0	29	-36
112	15	1	0	28	37
114	15	2	0	29	33
116	15	3	0	30	35
117	15	3.5	0	31	-35
118	15	4	0	32	34
120	16	1	29	-32	33
122	16	2	-29	31	-33
123	16	2.5	-29	30	-33
124	16	3	-29	31	-33
128	17	1	28	30	0
130	17	2	-28	-30	37
132	17	3	29	0	38
134	17	4	-29	29	38
136	18	1	-29	31	36
137	18	1.5	-29	32	-36
138	18	2	26	33	35
139	18	2.5	-26	34	36
140	18	3	28	33	37
141	18	3.5	-28	-33	38
142	18	4	-28	32	37
143	18	4.5	-28	31	-37
144	19	1	27	32	-37
145	19	1.5	-27	31	36
146	19	2	-27	30	36
147	19	2.5	-27	29	-36
148	19	3	26	30	-36
150	19	4	-26	-30	35
152	20	1	0	29	36
154	20	2	29	-29	38
156	20	3	29	0	38
158	20	4	29	33	38
160	21	1	28	33	37
162	21	2	26	33	-37
163	21	2.5	27	-33	-37
164	21	3	28	32	-37
165	21	3.5	29	-32	-37
166	21	4	30	-32	-37
167	21	4.5	29	-32	-37
168	22	1	28	30	0
169	22	1.5	27	-30	0
170	22	2	26	-30	0
171	22	2.5	25	-30	0
172	22	3	24	31	0
173	22	3.5	22	-31	0
174	22	4	29	-31	0
175	22	4.5	-29	31	0
176	23	1	-29	30	0
178	23	2	28	-30	0
179	23	2.5	-28	29	0
179.5	23	2.75	-28	30	0
180	23	3	29	31	0
181	23	3.5	-29	30	0
182	23	4	-29	33	36
183	23	4.5	28	-33	-36
184	24	1	27	-33	36
185	24	1.5	-27	32	-36
186	24	2	27	32	36
187	24	2.5	-27	31	-36
187.5	24	2.75	-27	32	-36
188	24	3	26	33	35
190	24	4	-26	-33	33
191	24	4.5	-26	-33	34
192	25	1	-26	0	35
193	25	1.5	-26	0	36
194	25	2	-26	33	37
195	25	2.5	-26	-33	38
196	25	3	-26	33	37
197	25	3.5	-26	-33	36
198	25	4	-26	33	35
199	25	4.5	-26	-33	34
200	26	1	0	31	33
202	26	2	0	29	36
203	26	2.5	0	30	-36
204	26	3	0	31	35
205	26	3.5	0	32	-35
206	26	4	29	33	38
207	26	4.5	-29	34	-38
208	27	1	29	33	38
209	27	1.5	-29	32	-38
210	27	2	29	31	36
211	27	2.5	-29	30	-36
212	27	3	27	29	38
214	27	4	25	32	37
215	27	4.5	26	-32	-37
216	28	1	27	-32	-37
217	28	1.5	-27	31	36
218	28	2	27	31	36
219	28	2.5	-27	30	-36
219.5	28	2.75	-27	29	-36
220	28	3	26	30	-36
222	28	4	-26	30	35
224	29	1	0	29	36
225	29	1.5	0	-29	35
226	29	2	25	-29	34
227	29	2.5	-25	-29	33
228	29	3	25	0	34
230	29	4	25	29	34
232	30	1	24	29	33
234	30	2	22	29	-33
235	30	2.5	23	-29	-33
236	30	3	24	28	-33
237	30	3.5	23	-28	-33
238	30	4	24	26	-33
239	30	4.5	25	27	-33
240	31	1	26	28	0
241	31	1.5	27	29	0
242	31	2	28	30	0
243	31	2.5	26	31	0
244	31	3	27	32	0
245	31	3.5	28	-32	0
246	31	4	29	31	33
248	32	1	-29	30	33
250	32	2	28	-30	33
252	32	3	29	33	31
254	32	4	29	-33	29
255	32	4.5	-29	-33	30
256	33	1	29	33	31
257	33	1.5	-29	-33	32
258	33	2	29	-33	33
259	33	2.5	-29	-33	34
260	33	3	28	-33	35
261	33	3.5	-28	-33	34
262	33	4	26	33	35
263	33	4.5	27	-33	36
