**absq	**bar	**beat	**b7	**b7	**b7	**b7	**b7	**b7
0	31	1	0	0	0	29	0	0
4	31	3	0	25	32	29	0	34
6	31	4	0	-25	-32	29	0	-34
8	32	1	0	25	29	32	0	34
10	32	2	0	25	29	-32	0	34
12	32	3	0	28	30	-32	0	35
14	32	4	0	24	31	33	0	-35
15	32	4.5	0	-24	-31	-33	0	33
16	33	1	0	25	29	32	0	34
18	33	2	0	-25	30	-32	0	35
20	33	3	0	-25	29	-32	0	-35
22	33	4	0	-25	-29	-32	32	34
24	34	1	21	28	28	30	32	35
26	34	2	-21	-28	32	30	32	-35
28	34	3	21	28	-32	30	35	-35
29	34	3.5	-21	-28	31	-30	-35	-35
30	34	4	21	-28	30	32	-35	-35
31	34	4.5	-21	27	29	-32	-35	-35
32	35	1	24	26	28	33	-35	0
34	35	2	20	24	29	32	34	0
35	35	2.5	-20	-24	-29	31	33	0
36	35	3	21	28	30	30	32	0
38	35	4	-21	-28	33	31	31	0
40	36	1	-21	28	32	-31	32	35
42	36	2	-21	-28	28	30	-32	-35
44	36	3	24	0	28	31	31	35
45	36	3.5	-24	0	-28	-31	32	-35
46	36	4	-24	0	-28	-31	33	35
47	36	4.5	-24	0	-28	32	34	-35
48	37	1	-24	26	0	33	35	38
50	37	2	-24	-26	28	-33	35	-38
51	37	2.5	-24	-26	-28	-33	-35	37
52	37	3	0	26	28	-33	35	35
53	37	3.5	0	-26	-28	-33	-35	36
54	37	4	0	26	28	-33	35	37
56	38	1	0	29	31	0	33	-37
57	38	1.5	0	-29	-31	0	-33	36
58	38	2	0	25	32	0	34	36
60	38	3	0	26	30	0	33	-36
62	38	4	0	-26	-30	33	-33	35
64	39	1	0	29	29	33	33	36
66	39	2	0	-29	29	33	29	38
67	39	2.5	0	-29	-29	-33	30	-38
68	39	3	0	0	29	34	31	38
69	39	3.5	0	0	-29	-34	32	-38
70	39	4	0	0	29	33	33	38
72	40	1	0	0	32	-33	34	36
73	40	1.5	0	0	-32	32	-34	-36
74	40	2	0	0	28	32	35	37
76	40	3	22	0	29	31	33	36
78	40	4	-22	31	-29	29	-33	-36
79	40	4.5	-22	-31	-29	30	-33	-36
80	41	1	22	31	29	31	-33	36
81	41	1.5	-22	-31	-29	32	-33	-36
82	41	2	22	31	-29	33	36	-36
84	41	3	25	29	0	-33	34	0
85	41	3.5	-25	-29	0	32	-34	0
86	41	4	21	30	0	32	35	0
88	42	1	22	29	0	-32	33	0
90	42	2	-22	29	33	31	-33	36
92	42	3	26	0	33	-31	0	36
94	42	4	-26	26	33	30	0	35
96	43	1	22	26	31	-30	33	38
97	43	1.5	-22	-26	-31	29	-33	-38
98	43	2	-22	-26	29	29	-33	38
100	43	3	0	26	30	-29	33	-38
102	43	4	0	-26	-30	28	33	37
104	44	1	0	29	31	29	33	-37
105	44	1.5	0	-29	-31	-29	-33	36
106	44	2	0	25	32	-29	34	36
108	44	3	0	26	30	0	33	-36
110	44	4	0	-26	-30	0	-33	35
111	44	4.5	0	-26	-30	0	32	-35
112	45	1	22	-26	33	0	31	36
113	45	1.5	-22	-26	-33	0	30	-36
114	45	2	-22	-26	-33	31	29	33
115	45	2.5	-22	-26	32	-31	30	-33
116	45	3	22	29	31	31	31	33
117	45	3.5	-22	-29	30	-31	32	-33
118	45	4	22	-29	29	31	33	33
119	45	4.5	-22	-29	28	-31	-33	-33
120	46	1	25	0	27	29	-33	34
121	46	1.5	-25	0	-27	-29	32	-34
122	46	2	21	0	28	30	32	32
124	46	3	22	0	26	29	-32	36
126	46	4	-22	29	-26	-29	31	-36
128	47	1	25	-29	25	29	32	36
130	47	2	-25	27	-25	-29	-32	-36
132	47	3	-25	27	-25	-29	-32	-36
136	48	1	-25	27	-25	-29	-32	-36
*-	*-	*-	*-	*-	*-	*-	*-	*-
