**absq	**bar	**beat	**b7	**b7	**b7	**b7	**b7
0	1	1	0	0	0	25	0
4	1	2	0	0	0	25	0
10	2	1.5	0	0	0	25	0
12	2	2	21	0	0	25	0
16	3	1	21	0	0	26	0
20	3	2	-21	0	0	25	0
22	3	2.5	21	0	0	-25	0
24	4	1	21	0	0	-25	0
26	4	1.5	-21	0	0	24	0
27	4	1.75	-21	0	0	23	0
28	4	2	22	0	0	24	0
29	4	2.25	-22	0	0	25	0
30	4	2.5	-22	0	0	26	0
31	4	2.75	-22	0	0	27	0
32	5	1	21	0	0	28	0
33	5	1.25	-21	0	0	29	0
34	5	1.5	-21	0	0	30	0
36	5	2	-21	25	0	-30	0
38	5	2.5	20	-25	0	29	0
39	5	2.75	19	-25	0	28	0
40	6	1	20	25	0	29	0
44	6	2	21	-25	28	30	0
46	6	2.5	-21	25	-28	28	0
47	6	2.75	-21	-25	-28	29	0
48	7	1	-21	25	28	30	0
49	7	1.25	-21	-25	-28	31	0
50	7	1.5	-21	-25	-28	32	0
51	7	1.75	-21	-25	-28	31	0
52	7	2	-21	26	-28	30	0
53	7	2.25	-21	-26	-28	29	0
54	7	2.5	-21	-26	28	30	0
56	8	1	-21	25	28	-30	0
58	8	1.5	20	-25	-28	29	0
59	8	1.75	19	-25	-28	28	0
60	8	2	18	-25	29	27	0
61	8	2.25	-18	-25	-29	28	0
62	8	2.5	20	24	-29	29	0
63	8	2.75	-20	23	-29	27	0
64	9	1	19	24	28	28	0
67	9	1.75	-19	23	-28	-28	0
68	9	2	18	25	-28	29	32
70	9	2.5	-18	-25	27	-29	-32
71	9	2.75	-18	-25	26	-29	-32
72	10	1	-18	25	27	-29	32
76	10	2	21	25	28	30	-32
78	10	2.5	-21	25	-28	-30	32
80	11	1	21	25	28	-30	32
82	11	1.5	-21	25	-28	30	-32
84	11	2	-21	23	28	30	33
86	11	2.5	21	-23	-28	-30	-33
88	12	1	21	25	-28	30	32
90	12	1.5	-21	-25	28	-30	-32
92	12	2	21	-25	28	-30	-32
94	12	2.5	-21	-25	28	-30	31
95	12	2.75	-21	-25	-28	-30	30
96	13	1	22	24	26	29	31
100	13	2	21	23	28	25	-31
102	13	2.5	-21	-23	-28	-25	32
103	13	2.75	20	-23	-28	26	-32
104	14	1	18	22	27	27	-32
105	14	1.25	19	-22	-27	28	-32
106	14	1.5	20	-22	-27	29	-32
107	14	1.75	21	23	-27	-29	-32
108	14	2	22	24	26	-29	0
109	14	2.25	-22	25	-26	30	0
110	14	2.5	-22	26	-26	31	0
111	14	2.75	-22	24	-26	29	0
112	15	1	18	25	25	30	32
114	15	1.5	-18	-25	-25	29	-32
116	15	2	21	23	-25	30	32
118	15	2.5	-21	-23	-25	-30	32
120	16	1	21	25	28	28	32
124	16	2	-21	-25	28	30	32
126	16	2.5	21	25	-28	-30	-32
128	17	1	21	26	-28	-30	30
130	17	1.5	-21	-26	28	30	-30
131	17	1.75	-21	-26	-28	-30	31
132	17	2	21	25	28	30	32
133	17	2.25	-21	-25	-28	-30	33
134	17	2.5	-21	23	28	-30	32
136	18	1	22	24	26	29	-32
138	18	1.5	-22	-24	-26	-29	31
140	18	2	21	25	28	30	30
142	18	2.5	-21	-25	-28	30	-30
143	18	2.75	-21	-25	27	-30	-30
144	19	1	22	24	26	31	29
145	19	1.25	-22	-24	25	-31	-29
146	19	1.5	-22	-24	26	-31	-29
147	19	1.75	-22	-24	-26	-31	30
148	19	2	-22	0	-26	-31	31
149	19	2.25	-22	0	-26	-31	32
150	19	2.5	-22	22	29	-31	33
151	19	2.75	-22	-22	-29	-31	34
152	20	1	-22	24	-29	29	33
153	20	1.25	-22	-24	-29	-29	31
154	20	1.5	-22	-24	28	-29	32
155	20	1.75	-22	25	27	-29	-32
156	20	2	-22	26	26	29	-32
157	20	2.25	-22	22	-26	-29	-32
158	20	2.5	-22	29	-26	-29	31
160	21	1	18	-29	25	-29	32
161	21	1.25	-18	28	-25	-29	-32
162	21	1.5	-18	27	-25	29	-32
163	21	1.75	-18	26	-25	-29	-32
164	21	2	-18	27	25	29	-32
165	21	2.25	-18	28	-25	-29	-32
166	21	2.5	-18	29	-25	-29	-32
167	21	2.75	-18	27	-25	-29	-32
168	22	1	21	28	-25	30	-32
170	22	1.5	-21	25	25	-30	-32
172	22	2	-21	-25	25	-30	-32
173	22	2.25	-21	24	-25	-30	-32
174	22	2.5	21	23	-25	28	-32
175	22	2.75	-21	22	-25	-28	-32
176	23	1	21	23	26	-28	0
177	23	1.25	-21	-23	-26	29	0
178	23	1.5	-21	-23	-26	30	0
180	23	2	22	22	-26	31	0
182	23	2.5	-22	-22	24	29	0
184	24	1	-22	0	26	-29	0
185	24	1.25	-22	0	-26	30	0
186	24	1.5	22	0	-26	31	0
188	24	2	21	0	28	32	0
189	24	2.25	-21	0	-28	31	0
190	24	2.5	-21	25	-28	30	32
191	24	2.75	-21	-25	-28	29	-32
192	25	1	21	23	-28	30	-32
194	25	1.5	-21	25	-28	-30	32
196	25	2	18	-25	27	29	32
197	25	2.25	-18	24	-27	-29	-32
198	25	2.5	21	23	28	30	-32
199	25	2.75	-21	22	-28	-30	-32
200	26	1	21	23	-28	-30	33
201	26	1.25	-21	-23	27	-30	-33
202	26	1.5	22	24	26	29	-33
203	26	1.75	-22	-24	25	-29	-33
204	26	2	-22	-24	26	-29	-33
206	26	2.5	22	24	-26	29	31
208	27	1	22	24	-26	29	33
212	27	2	21	23	-26	30	35
216	28	1	-21	-23	25	-30	-35
218	28	1.5	-21	-23	-25	28	-35
220	28	2	-21	-23	-25	30	-35
224	29	1	-21	-23	-25	32	-35
228	29	2	18	22	-25	-32	34
232	30	1	-18	-22	29	-32	-34
236	30	2	22	24	-29	31	33
238	30	2.5	-22	-24	29	31	-33
239	30	2.75	-22	25	-29	-31	-33
240	31	1	24	26	28	-31	-33
242	31	1.5	-24	26	28	31	33
244	31	2	25	23	27	30	32
245	31	2.25	-25	24	-27	-30	-32
246	31	2.5	-25	25	26	30	32
247	31	2.75	-25	23	25	-30	-32
248	32	1	22	24	26	29	31
250	32	1.5	24	-24	26	28	30
251	32	1.75	-24	-24	-26	-28	29
252	32	2	21	23	25	-28	30
253	32	2.25	22	-23	-25	-28	-30
254	32	2.5	23	25	-25	27	30
255	32	2.75	24	-25	-25	26	-30
256	33	1	25	-25	0	27	29
257	33	1.25	-25	26	0	-27	-29
258	33	1.5	-25	27	0	-27	-29
259	33	1.75	24	25	0	28	30
259.5	33	1.875	23	-25	0	-28	-30
260	33	2	22	26	26	29	31
261	33	2.25	-22	-26	-26	-29	32
262	33	2.5	-22	26	-26	-29	33
263	33	2.75	21	-26	-26	-29	-33
263.5	33	2.875	20	-26	-26	-29	-33
264	34	1	19	-26	28	30	-33
