**absq	**bar	**beat	**b7	**b7	**b7	**b7
12	2	3	25	0	25	0
16	3	1	25	0	27	0
22	3	4	23	0	25	0
24	4	1	24	0	26	0
28	4	3	25	0	27	0
32	5	1	0	0	25	0
36	5	3	27	0	0	0
40	6	1	27	0	29	0
44	6	3	26	0	28	0
46	6	4	-26	0	31	0
48	7	1	25	0	30	0
50	7	2	24	0	29	0
51	7	2.5	23	0	-29	0
52	7	3	22	0	-29	0
53	7	3.5	-22	0	27	0
54	7	4	23	0	28	0
56	8	1	24	0	29	0
58	8	2	25	0	28	0
59	8	2.5	-25	0	27	0
60	8	3	-25	0	26	0
62	8	4	24	0	-26	0
64	9	1	25	0	25	0
68	9	3	0	25	0	32
72	10	1	0	27	0	32
78	10	4	0	25	0	30
80	11	1	0	26	0	31
84	11	3	0	27	0	32
88	12	1	0	25	0	0
92	12	3	0	0	0	34
94	12	4	0	25	0	-34
96	13	1	0	-25	0	34
98	13	2	0	29	0	-34
100	13	3	0	-29	0	33
101	13	3.5	0	28	0	-33
102	13	4	0	26	0	-33
104	14	1	0	27	0	32
106	14	2	0	26	0	31
107	14	2.5	0	25	0	30
108	14	3	0	24	0	29
110	14	4	0	25	0	-29
111	14	4.5	0	-25	0	30
112	15	1	0	26	0	31
114	15	2	0	27	0	32
116	15	3	0	26	0	-32
118	15	4	0	-26	0	31
120	16	1	0	25	27	32
124	16	3	25	0	-27	-32
128	17	1	26	0	26	0
130	17	2	24	0	-26	0
132	17	3	-24	0	26	0
134	17	4	23	0	-26	0
135	17	4.5	24	0	-26	0
136	18	1	25	0	25	34
140	18	3	0	25	25	-34
144	19	1	0	26	28	33
146	19	2	0	24	-28	-33
148	19	3	0	-24	28	33
150	19	4	0	23	-28	-33
151	19	4.5	0	24	-28	-33
152	20	1	0	25	27	32
154	20	2	0	27	-27	-32
156	20	3	0	-27	25	32
157	20	3.5	0	26	-25	-32
158	20	4	0	25	-25	-32
160	21	1	0	-25	26	35
162	21	2	0	24	-26	-35
163	21	2.5	0	23	-26	-35
164	21	3	0	24	-26	35
168	22	1	25	0	25	34
174	22	4	24	0	-25	33
175	22	4.5	23	0	-25	32
176	23	1	24	28	0	33
178	23	2	23	-28	0	32
180	23	3	21	-28	28	-32
182	23	4	-21	26	-28	31
183	23	4.5	-21	-26	-28	30
184	24	1	0	27	27	29
186	24	2	0	27	29	31
190	24	4	0	26	28	32
191	24	4.5	0	25	27	-32
192	25	1	17	24	28	33
193	25	1.5	-17	-24	27	-33
194	25	2	-17	-24	26	-33
195	25	2.5	-17	23	25	34
196	25	3	-17	21	26	35
200	26	1	18	0	25	34
201	26	1.5	20	0	-25	-34
202	26	2	-20	0	-25	32
203	26	2.5	21	0	-25	-32
204	26	3	19	0	24	33
206	26	4	0	18	25	34
207	26	4.5	0	20	-25	-34
209	27	1.5	0	21	-25	33
210	27	2	0	19	26	31
212	27	3	18	0	27	32
214	27	4	-18	22	26	34
215	27	4.5	-18	-22	25	-34
216	28	1	19	21	24	33
218	28	2	-19	24	26	35
220	28	3	17	-24	-26	-35
221	28	3.5	-17	25	27	34
222	28	4	-17	26	28	33
224	29	1	18	22	27	32
226	29	2	-18	-22	29	34
228	29	3	-18	25	-29	-34
230	29	4	-18	-25	28	33
231	29	4.5	-18	-25	27	32
232	30	1	22	0	26	31
236	30	3	-22	29	-26	-31
240	31	1	-22	29	-26	-31
248	32	1	27	0	0	29
254	32	4	26	0	0	-29
255	32	4.5	25	0	0	-29
256	33	1	26	0	0	28
257	33	1.5	25	0	0	-28
258	33	2	24	0	0	-28
259	33	2.5	23	0	0	-28
260	33	3	22	0	0	27
262	33	4	25	0	0	-27
264	34	1	26	0	0	26
266	34	2	24	0	0	-26
270	34	4	23	0	0	-26
272	35	1	25	27	29	25
278	35	4	0	26	-29	-25
279	35	4.5	0	25	-29	-25
280	36	1	0	26	28	0
281	36	1.5	0	25	-28	0
282	36	2	0	24	-28	0
283	36	2.5	0	23	-28	0
284	36	3	0	22	27	0
286	36	4	0	25	-27	0
288	37	1	0	26	26	0
290	37	2	0	24	-26	0
292	37	3	0	-24	-26	28
294	37	4	0	23	-26	-28
296	38	1	18	25	25	27
299	38	2.5	-18	-25	-25	26
300	38	3	-18	0	29	25
302	38	4	20	0	-29	24
305	39	1.5	19	0	-29	-24
306	39	2	18	0	27	25
308	39	3	17	0	28	26
312	40	1	0	18	27	25
315	40	2.5	0	-18	26	-25
316	40	3	0	-18	25	29
318	40	4	0	20	24	-29
321	41	1.5	0	19	-24	-29
322	41	2	0	18	25	27
324	41	3	0	17	26	28
328	42	1	18	0	25	27
331	42	2.5	-18	0	-25	28
332	42	3	-18	0	-25	30
334	42	4	20	0	24	29
336	43	1	-20	24	22	-29
337	43	1.5	21	-24	-22	28
338	43	2	22	-24	-22	27
339	43	2.5	-22	-24	-22	26
340	43	3	19	26	23	28
344	44	1	20	25	22	29
346	44	2	-20	24	-22	31
348	44	3	-20	22	-22	-31
349	44	3.5	-20	-22	-22	30
350	44	4	-20	-22	25	29
352	45	1	19	23	-25	-29
353	45	1.5	-19	-23	-25	28
353.333	45	1.66667	-19	21	-25	-28
354	45	2	-19	-21	24	26
356	45	3	18	22	25	27
358	45	4	-18	-22	23	-27
360	46	1	22	0	24	26
364	46	3	0	22	-24	0
368	47	1	19	0	0	33
