**absq	**bar	**beat	**b7	**b7	**b7
0	1	1	18	25	32
6	1	4	-18	-25	31
7	1	4.5	-18	-25	30
8	2	1	25	27	29
10	2	2	-25	-27	28
12	2	3	24	26	31
16	3	1	21	25	-31
18	3	2	-21	-25	30
20	3	3	-21	-25	30
22	3	4	-21	-25	29
24	4	1	22	24	31
28	4	3	20	27	0
32	5	1	-20	-27	32
36	5	3	24	28	33
40	6	1	0	29	34
42	6	2	25	-29	-34
44	6	3	21	28	35
46	6	4	-21	30	-35
48	7	1	25	-30	34
50	7	2	-25	29	34
52	7	3	0	28	-34
54	7	4	24	-28	33
56	8	1	25	27	34
60	8	3	-25	29	-34
62	8	4	24	-29	33
63	8	4.5	23	-29	32
64	9	1	22	-29	31
66	9	2	23	-29	32
68	9	3	24	28	33
74	10	2	25	27	32
75	10	2.5	-25	-27	31
76	10	3	26	28	30
80	11	1	24	29	29
84	11	3	25	27	32
88	12	1	22	26	-32
92	12	3	-22	-26	31
96	13	1	18	25	32
100	13	3	21	-25	-32
106	14	2	20	-25	0
107	14	2.5	19	-25	0
108	14	3	18	-25	32
112	15	1	25	0	32
116	15	3	0	25	-32
118	15	4	0	-25	31
120	16	1	21	25	30
124	16	3	-21	25	30
128	17	1	18	27	29
136	18	1	25	27	29
140	18	3	-25	-27	32
142	18	4	26	28	-32
144	19	1	27	29	31
148	19	3	-27	-29	34
152	20	1	24	28	33
154	20	2	-24	-28	32
156	20	3	25	27	32
160	21	1	22	26	-32
162	21	2	-22	-26	31
164	21	3	-22	-26	31
166	21	4	-22	-26	30
168	22	1	18	25	32
172	22	3	-18	27	-32
174	22	4	-18	-27	31
176	23	1	21	-27	30
178	23	2	-21	-27	29
180	23	3	17	26	31
184	24	1	21	25	-31
188	24	3	-21	-25	30
192	25	1	17	24	31
200	26	1	24	-24	0
204	26	3	22	-24	33
208	27	1	-22	0	33
210	27	2	21	0	-33
212	27	3	20	24	-33
214	27	4	19	-24	-33
216	28	1	18	25	34
222	28	4	-18	24	33
223	28	4.5	-18	23	32
224	29	1	0	22	31
228	29	3	22	-22	-31
232	30	1	18	25	34
236	30	3	22	24	33
240	31	1	25	27	32
244	31	3	-25	28	31
246	31	4	24	-28	30
247	31	4.5	23	-28	-30
248	32	1	22	29	31
252	32	3	-22	-29	34
254	32	4	-22	28	-34
255	32	4.5	-22	27	-34
256	33	1	0	26	-34
258	33	2	0	-26	33
260	33	3	24	28	33
264	34	1	25	27	-33
266	34	2	-25	-27	32
268	34	3	-25	-27	32
270	34	4	23	-27	31
272	35	1	24	26	33
278	35	4	22	-26	31
280	36	1	22	0	31
284	36	3	-22	29	-31
288	37	1	0	29	0
292	37	3	20	-29	29
296	38	1	19	28	30
298	38	2	-19	-28	31
300	38	3	18	27	32
304	39	1	22	26	-32
306	39	2	-22	-26	31
308	39	3	-22	-26	31
312	40	1	23	25	34
316	40	3	24	28	33
318	40	4	-24	-28	33
322	41	2	25	27	32
323	41	2.5	-25	-27	31
324	41	3	26	28	30
328	42	1	27	29	29
330	42	2	-27	-29	31
334	42	4	26	30	32
335	42	4.5	25	-30	-32
336	43	1	24	31	33
339	43	2.5	21	30	32
340	43	3	22	29	31
342	43	4	26	28	30
344	44	1	24	29	29
346	44	2	25	27	32
348	44	3	22	26	-32
350	44	4	-22	-26	31
352	45	1	18	25	32
356	45	3	-18	27	-32
358	45	4	-18	-27	31
359	45	4.5	-18	-27	30
360	46	1	25	-27	29
362	46	2	-25	-27	28
364	46	3	24	26	31
368	47	1	21	25	30
370	47	2	-21	-25	29
372	47	3	22	24	29
376	48	1	19	23	-29
380	48	3	-19	-23	28
384	49	1	0	22	29
388	49	3	22	-22	-29
392	50	1	24	-22	0
396	50	3	24	-22	29
400	51	1	26	0	31
404	51	3	-26	22	31
406	51	4	25	-22	-31
408	52	1	24	24	33
411	52	2.5	23	-24	-33
412	52	3	22	24	33
414	52	4	21	-24	-33
415	52	4.5	20	-24	-33
416	53	1	19	26	35
418	53	2	17	-26	-35
420	53	3	-17	26	-35
422	53	4	17	-26	34
424	54	1	17	28	33
428	54	3	21	-28	-33
430	54	4	18	27	32
432	55	1	22	26	31
436	55	3	0	25	34
438	55	4	18	-25	-34
440	56	1	22	24	33
442	56	2	-22	-24	32
444	56	3	0	25	32
446	56	4	18	-25	-32
448	57	1	22	26	-32
452	57	3	-22	-26	31
456	58	1	18	25	34
458	58	2	25	-25	-34
462	58	4	24	-25	33
463	58	4.5	23	-25	32
464	59	1	22	29	31
468	59	3	0	30	32
470	59	4	0	-30	31
472	60	1	20	31	29
476	60	3	-20	-31	31
480	61	1	27	29	-31
484	61	3	-27	-29	34
488	62	1	24	28	33
490	62	2	-24	-28	32
492	62	3	25	27	32
496	63	1	22	26	-32
500	63	3	-22	-26	31
504	64	1	18	25	32
*-	*-	*-	*-	*-	*-
