**absq	**bar	**beat	**b7	**b7	**b7	**b7
0	1	1	0	25	0	32
8	2	1	0	23	27	32
12	2	3	0	23	28	32
16	3	1	24	22	29	31
20	3	3	25	0	-29	34
24	4	1	26	0	28	35
28	4	3	-26	0	28	35
32	5	1	25	0	29	34
36	5	3	25	25	-29	0
38	5	4	-25	-25	-29	32
40	6	1	26	22	0	-32
42	6	2	-26	-22	0	31
43	6	2.5	-26	-22	0	30
44	6	3	-26	-22	0	31
48	7	1	0	25	29	32
52	7	3	0	23	28	-32
54	7	4	0	24	-28	33
56	8	1	0	22	27	34
58	8	2	0	25	-27	-34
60	8	3	26	-25	28	33
62	8	4	-26	24	-28	-33
64	9	1	25	25	27	34
66	9	2	-25	-25	-27	36
68	9	3	24	0	26	-36
69	9	3.5	-24	0	-26	35
70	9	4	-24	28	-26	33
72	10	1	25	27	25	34
74	10	2	-25	29	-25	-34
76	10	3	24	-29	0	33
77	10	3.5	-24	28	0	-33
78	10	4	-24	26	0	-33
80	11	1	23	27	0	32
82	11	2	-23	25	0	32
84	11	3	22	26	0	-32
86	11	4	-22	-26	0	31
88	12	1	0	25	0	32
96	13	1	0	25	0	32
104	14	1	0	23	27	32
108	14	3	0	23	28	32
112	15	1	24	22	29	31
116	15	3	25	0	-29	34
120	16	1	26	0	28	35
124	16	3	-26	0	28	35
128	17	1	25	0	29	34
132	17	3	25	25	-29	0
134	17	4	-25	-25	-29	32
136	18	1	26	22	0	-32
138	18	2	-26	-22	0	31
139	18	2.5	-26	-22	0	30
140	18	3	-26	-22	0	31
144	19	1	0	25	29	32
148	19	3	0	23	28	-32
150	19	4	0	24	-28	33
152	20	1	0	22	27	34
154	20	2	0	25	-27	-34
156	20	3	26	-25	28	33
158	20	4	-26	24	-28	-33
160	21	1	25	25	27	34
162	21	2	-25	-25	-27	36
164	21	3	24	0	26	-36
165	21	3.5	-24	0	-26	35
166	21	4	-24	28	-26	33
168	22	1	25	27	25	34
170	22	2	-25	29	-25	-34
172	22	3	24	-29	0	33
173	22	3.5	-24	28	0	-33
174	22	4	-24	26	0	-33
176	23	1	23	27	0	32
178	23	2	-23	25	0	32
180	23	3	22	26	0	-32
182	23	4	-22	-26	0	31
184	24	1	0	25	27	32
188	24	3	0	23	28	-32
192	25	1	24	22	29	0
196	25	3	25	0	-29	32
200	26	1	26	28	0	30
204	26	3	-26	-28	0	30
208	27	1	0	29	29	31
212	27	3	0	31	-29	-31
214	27	4	0	-31	-29	30
215	27	4.5	0	-31	-29	29
216	28	1	26	30	0	28
218	28	2	-26	-30	0	35
221	28	3.5	-26	-30	0	34
222	28	4	-26	31	0	33
224	29	1	0	-31	29	-33
226	29	2	0	30	-29	32
227	29	2.5	0	29	-29	31
228	29	3	0	31	-29	33
231	29	4.5	0	30	-29	32
232	30	1	26	28	0	30
234	30	2	-26	29	0	29
236	30	3	-26	-29	0	30
238	30	4	-26	28	0	-30
240	31	1	0	29	29	29
242	31	2	0	25	-29	27
244	31	3	0	26	28	26
246	31	4	0	-26	-28	33
248	32	1	0	23	27	-33
250	32	2	0	-23	-27	32
252	32	3	0	30	26	33
256	33	1	26	0	28	30
258	33	2	-26	0	-28	31
260	33	3	25	0	27	32
262	33	4	-25	0	-27	30
263	33	4.5	-25	0	25	-30
264	34	1	24	0	26	-30
266	34	2	-24	0	-26	29
268	34	3	23	0	25	30
270	34	4	-23	30	-25	32
272	35	1	25	-30	0	-32
273	35	1.5	-25	29	0	31
274	35	2	-25	27	0	29
276	35	3	24	28	0	0
278	35	4	-24	29	0	33
279	35	4.5	22	-29	0	-33
280	36	1	23	25	0	-33
281	36	1.5	-23	-25	0	32
282	36	2	-23	-25	0	32
284	36	3	22	26	0	-32
285	36	3.5	-22	-26	0	30
286	36	4	-22	-26	0	31
288	37	1	0	25	27	32
292	37	3	0	24	28	-32
293.333	37	3.66667	0	23	-28	-32
296	38	1	24	22	29	0
300	38	3	25	21	-29	0
301.333	38	3.66667	-25	20	-29	0
304	39	1	26	19	0	33
310	39	4	-26	22	0	-33
312	40	1	0	-22	29	31
313	40	1.5	0	23	-29	-31
314	40	2	0	24	-29	-31
316	40	3	0	22	-29	31
318	40	4	0	29	-29	-31
320	41	1	26	-29	0	30
322	41	2	-26	28	0	-30
323	41	2.5	-26	27	0	-30
324	41	3	-26	28	0	30
328	42	1	0	29	29	29
330	42	2	0	31	-29	33
332	42	3	0	27	-29	34
334	42	4	0	31	-29	36
336	43	1	26	-31	0	-36
338	43	2	-26	30	0	35
339	43	2.5	-26	29	0	34
340	43	3	-26	30	0	35
344	44	1	0	29	29	36
346	44	2	0	22	-29	34
348	44	3	0	23	28	-34
350	44	4	0	24	-28	33
352	45	1	0	25	27	34
354	45	2	0	-25	-27	32
356	45	3	26	0	28	33
358	45	4	-26	24	-28	-33
360	46	1	25	25	27	34
362	46	2	-25	-25	-27	36
363	46	2.5	-25	-25	25	-36
364	46	3	24	22	26	-36
365	46	3.5	-24	-22	-26	35
366	46	4	-24	-22	-26	34
367	46	4.5	-24	-22	-26	33
368	47	1	25	0	25	34
370	47	2	-25	29	-25	33
371	47	2.5	-25	-29	-25	32
372	47	3	24	-29	0	33
374	47	4	-24	28	0	-33
375	47	4.5	22	27	0	32
376	48	1	23	28	0	32
377	48	1.5	-23	27	0	-32
378	48	2	-23	26	0	31
379	48	2.5	-23	25	0	30
380	48	3	22	26	0	31
383	48	4.5	-22	28	0	30
384	49	1	0	25	27	32
388	49	3	0	26	28	0
392	50	1	24	22	29	33
396	50	3	25	0	-29	34
400	51	1	26	0	28	35
404	51	3	-26	0	28	35
408	52	1	25	0	29	34
412	52	3	25	20	-29	36
416	53	1	26	19	0	35
419	53	2.5	-26	20	0	-35
420	53	3	-26	21	0	-35
422	53	4	-26	22	0	31
424	54	1	0	-22	29	-31
425	54	1.5	0	23	-29	32
426	54	2	0	24	-29	33
428	54	3	0	-24	28	-33
429	54	3.5	0	25	-28	32
430	54	4	0	26	-28	30
432	55	1	0	27	27	29
434	55	2	0	25	-27	-29
436	55	3	26	-25	28	0
438	55	4	-26	24	-28	0
440	56	1	25	25	27	32
444	56	3	24	0	26	33
446	56	4	-24	28	-26	-33
448	57	1	25	27	25	34
450	57	2	-25	26	-25	-34
451	57	2.5	-25	25	-25	-34
452	57	3	24	29	0	33
454	57	4	-24	28	0	-33
456	58	1	23	28	0	32
457	58	1.5	-23	27	0	-32
458	58	2	-23	26	0	-32
459	58	2.5	-23	25	0	-32
460	58	3	22	24	0	33
463	58	4.5	-22	23	0	-33
463.5	58	4.75	-22	24	0	-33
464	59	1	0	25	27	32
466	59	2	0	23	-27	-32
468	59	3	0	-23	28	33
470	59	4	0	24	-28	-33
472	60	1	24	22	29	-33
474	60	2	-24	-22	-29	32
475	60	2.5	-24	-22	-29	33
476	60	3	25	0	-29	34
478	60	4	-25	0	-29	33
479	60	4.5	-25	0	-29	32
480	61	1	26	0	28	31
482	61	2	-26	0	-28	30
484	61	3	-26	0	28	31
488	62	1	25	0	29	32
492	62	3	25	25	-29	34
496	63	1	26	-25	0	35
498	63	2	-26	24	0	-35
499	63	2.5	-26	23	0	-35
