**absq	**bar	**beat	**b7	**b7	**b7	**b7
0	1	1	0	0	25	32
4	1	3	0	0	25	-32
8	2	1	18	22	25	0
12	2	3	18	-22	25	0
16	3	1	18	0	27	29
20	3	3	18	0	-27	29
24	4	1	20	22	27	29
28	4	3	-20	22	-27	29
30	4	4	-20	-22	26	-29
31	4	4.5	-20	-22	25	-29
32	5	1	20	22	24	31
36	5	3	-20	22	-24	-31
38	5	4	19	-22	-24	-31
39	5	4.5	18	-22	-24	-31
40	6	1	17	24	0	31
46	6	4	-17	-24	0	30
47	6	4.5	-17	-24	0	29
48	7	1	0	24	26	28
54	7	4	0	23	-26	-28
55	7	4.5	0	22	-26	-28
56	8	1	19	21	0	0
60	8	3	-19	21	0	28
64	9	1	0	20	27	29
66	9	2	0	-20	-27	31
68	9	3	0	24	26	-31
69	9	3.5	0	-24	-26	30
70	9	4	0	-24	-26	28
72	10	1	20	-24	27	29
74	10	2	-20	22	-27	-29
76	10	3	19	23	28	28
78	10	4	-19	21	-28	30
80	11	1	20	24	29	-30
81	11	1.5	-20	-24	-29	29
82	11	2	-20	22	-29	31
84	11	3	21	25	28	-31
85	11	3.5	-21	-25	-28	30
86	11	4	-21	23	-28	32
88	12	1	22	26	-28	-32
89	12	1.5	-22	-26	-28	31
90	12	2	-22	24	-28	33
92	12	3	-22	-24	27	-33
94	12	4	-22	23	-27	32
95	12	4.5	-22	24	-27	31
96	13	1	21	25	28	30
98	13	2	-21	26	-28	-30
101	13	3.5	-21	25	-28	-30
102	13	4	-21	24	-28	-30
103	13	4.5	-21	23	-28	-30
104	14	1	20	22	0	0
106	14	2	-20	25	0	0
108	14	3	20	-25	0	32
109	14	3.5	-20	26	0	-32
110	14	4	-20	27	0	-32
112	15	1	19	28	0	33
113	15	1.5	-19	27	0	-33
114	15	2	-19	26	0	-33
115	15	2.5	-19	25	0	-33
116	15	3	19	24	0	35
119	15	4.5	-19	23	0	-35
120	16	1	18	25	0	34
124	16	3	-18	-25	0	32
128	17	1	20	0	27	-32
130	17	2	-20	0	-27	31
132	17	3	-20	29	27	32
134	17	4	19	-29	-27	-32
135	17	4.5	18	-29	-27	-32
136	18	1	17	-29	26	33
138	18	2	-17	28	-26	33
140	18	3	-17	28	26	-33
142	18	4	-17	-28	-26	31
144	19	1	21	-28	25	30
146	19	2	-21	27	-25	-30
148	19	3	21	25	-25	30
150	19	4	-21	-25	-25	32
152	20	1	20	-25	27	-32
153	20	1.5	-20	-25	-27	31
154	20	2	-20	24	-27	29
156	20	3	20	22	-27	-29
157	20	3.5	-20	-22	-27	30
158	20	4	-20	-22	26	31
159	20	4.5	-20	-22	25	-31
160	21	1	19	0	24	-31
161	21	1.5	-19	0	-24	30
162	21	2	-19	0	-24	28
164	21	3	-19	28	-24	0
166	21	4	-19	-28	-24	35
168	22	1	18	29	0	-35
170	22	2	-18	-29	0	34
172	22	3	-18	-29	0	34
174	22	4	-18	28	0	33
176	23	1	0	26	28	35
178.667	23	2.33333	0	23	-28	32
180	23	3	0	-23	28	-32
181.333	23	3.66667	0	24	-28	33
184	24	1	0	25	27	34
186.667	24	2.33333	0	22	-27	31
188	24	3	0	-22	27	-31
189.333	24	3.66667	0	23	-27	32
192	25	1	0	24	26	33
194.667	25	2.33333	0	21	-26	30
197.333	25	3.66667	0	22	-26	31
200	26	1	18	0	25	32
208	26	3	-18	23	25	30
212	27	1	0	22	29	31
218	27	2.5	0	-22	30	30
220	27	3	0	-22	31	29
223	27	3.75	0	-22	32	28
224	28	1	0	26	30	28
230	28	2.5	0	-26	28	-28
232	28	3	18	25	29	0
236	29	1	22	24	27	0
242	29	2.5	23	23	25	0
244	29	3	24	22	26	0
247	29	3.75	25	-22	-26	0
248	30	1	23	25	25	32
252	30	2	-23	27	-25	-32
254	30	2.5	21	-27	-25	-32
256	30	3	22	-27	0	31
258	30	3.5	-22	26	0	-31
260	31	1	20	25	0	32
264	31	2	-20	-25	0	34
266	31	2.5	18	-25	0	-34
268	31	3	19	24	0	35
272	32	1	18	25	0	34
278	32	2.5	-18	-25	0	33
280	32	3	0	23	25	32
284	33	1	0	22	29	31
288	33	2	0	24	-29	33
290	33	2.5	0	-24	30	-33
292	33	3	0	-24	31	-33
294	33	3.5	0	23	-31	32
295	33	3.75	0	-23	32	-32
296	34	1	0	21	30	32
302	34	2.5	0	-21	28	30
304	34	3	18	0	29	32
307	34	3.75	-18	0	-29	31
308	35	1	22	0	27	29
314	35	2.5	23	0	25	-29
316	35	3	24	0	26	33
319	35	3.75	25	0	-26	-33
320	36	1	23	25	25	34
324	36	2	-23	23	-25	-34
326	36	2.5	21	-23	-25	33
327	36	2.75	-21	-23	-25	34
328	36	3	22	24	-25	33
331	36	3.75	-22	-24	-25	32
332	37	1	20	25	0	32
336	37	2	-20	27	0	-32
338	37	2.5	21	-27	0	31
339	37	2.75	-21	-27	0	30
340	37	3	19	28	0	31
343	37	3.75	-19	-28	0	30
344	38	1	18	27	0	32
352	38	3	0	0	25	32
356	39	1	0	0	27	32
362	39	2.5	0	0	26	30
363	39	2.75	0	0	25	-30
364	39	3	0	0	26	31
366	39	3.5	0	0	27	32
368	40	1	0	0	28	30
370	40	1.5	0	0	-28	33
372	40	2	0	0	26	-33
373	40	2.25	0	0	-26	32
374	40	2.5	0	0	-26	31
376	40	3	0	0	29	-31
378	40	3.5	0	0	-29	34
380	41	1	0	0	27	-34
381	41	1.25	0	0	-27	33
382	41	1.5	0	0	-27	32
386	41	2.5	0	0	26	31
388	41	3	0	0	27	32
