**absq	**bar	**beat	**b7	**b7	**b7
0	1	1	22	22	0
6	1	4	-22	21	0
7	1	4.5	-22	20	0
8	2	1	23	21	0
12	2	3	24	22	0
16	3	1	-24	-22	29
18	3	2	23	23	-29
20	3	3	22	24	-29
22	3	4	23	25	28
23	3	4.5	-23	-25	27
24	4	1	19	23	28
28	4	3	20	22	29
30	4	4	22	-22	-29
34	5	2	21	0	30
36	5	3	20	22	31
38	5	4	18	-22	32
40	6	1	19	21	30
43	6	2.5	20	20	-30
43.5	6	2.75	21	19	-30
44	6	3	22	20	29
46	6	4	24	-20	-29
48	7	1	23	21	30
52	7	3	22	22	31
55	7	4.5	-22	-22	30
56	8	1	0	23	28
58	8	2	0	24	-28
60	8	3	19	23	-28
62	8	4	-19	26	-28
66	9	2	20	25	0
67	9	2.5	-20	24	0
68	9	3	21	23	32
70	9	4	20	-23	-32
71	9	4.5	21	-23	-32
72	10	1	22	26	31
76	10	3	23	25	30
78	10	4	21	-25	-30
80	11	1	22	24	29
82	11	2	20	22	29
84	11	3	19	23	-29
86	11	4	-19	-23	28
88	12	1	26	22	29
92	12	3	24	-22	-29
98	13	2	25	-22	0
100	13	3	26	-22	31
104	14	1	-26	0	31
106	14	2	25	0	-31
107	14	2.5	26	0	-31
108	14	3	27	20	32
112	15	1	25	21	30
116	15	3	24	22	29
118	15	4	25	-22	-29
120	16	1	26	22	-29
122	16	2	-26	-22	28
124	16	3	25	23	27
127	16	4.5	24	-23	-27
128	17	1	22	24	26
130	17	2	-22	-24	29
132	17	3	0	23	-29
134	17	4	19	-23	28
136	18	1	20	22	29
138	18	2	22	24	28
139	18	2.5	-22	-24	29
140	18	3	21	25	30
142	18	4	19	26	31
144	19	1	21	-26	30
146	19	2	22	24	29
147	19	2.5	-22	-24	28
148	19	3	23	25	27
152	20	1	19	0	26
156	20	3	-19	26	-26
160	21	1	-19	26	0
164	21	3	-19	26	30
168	22	1	0	26	30
172	22	3	22	26	31
175	22	4.5	-22	25	-31
176	23	1	21	23	32
180	23	3	21	23	-32
182	23	4	-21	-23	31
183	23	4.5	-21	-23	30
184	24	1	20	24	29
188	24	3	17	-24	28
192	25	1	18	23	0
194	25	2	19	-23	0
196	25	3	20	22	31
198	25	4	21	-22	-31
200	26	1	22	0	-31
202	26	2	23	0	32
204	26	3	24	29	33
207	26	4.5	23	-29	-33
208	27	1	21	30	32
212	27	3	22	29	31
214	27	4	-22	29	-31
215	27	4.5	21	-29	-31
216	28	1	19	-29	30
218	28	2	-19	28	-30
220	28	3	22	29	0
222	28	4	24	-29	29
224	29	1	0	-29	31
226	29	2	23	28	32
227	29	2.5	-23	27	-32
228	29	3	26	28	33
230	29	4	25	29	34
231	29	4.5	-25	28	-34
232	30	1	24	26	35
234	30	2	-24	-26	34
235	30	2.5	-24	-26	33
236	30	3	23	27	32
239	30	4.5	-23	-27	31
240	31	1	19	26	33
256	33	1	-19	28	0
260	33	3	-19	28	0
264	34	1	0	26	35
268	34	3	0	24	35
272	35	1	19	0	33
276	35	3	20	27	31
279	35	4.5	21	-27	-31
280	36	1	22	26	0
282	36	2	24	-26	0
283	36	2.5	-24	24	0
284	36	3	23	25	34
287	36	4.5	22	-25	-34
288	37	1	24	24	33
291	37	2.5	-24	-24	31
292	37	3	0	23	32
294	37	4	21	-23	-32
296	38	1	22	26	31
298	38	2	24	-26	-31
300	38	3	21	25	30
304	39	1	17	24	29
306	39	2	21	25	30
309	39	3.5	-21	26	31
310	39	4	20	27	32
313	40	1.5	-20	26	31
314	40	2	21	25	30
315	40	2.5	22	24	29
316	40	3	21	25	30
319	40	4.5	-21	-25	29
320	41	1	17	24	31
332	42	3	-17	-24	33
336	43	1	21	0	32
340	43	3	22	26	31
344	44	1	0	25	30
346	44	2	23	-25	-30
348	44	3	24	24	29
350	44	4	22	-24	33
352	45	1	24	-24	-33
354	45	2	21	23	32
356	45	3	22	22	31
357	45	3.5	21	-22	-31
358	45	4	20	-22	30
359	45	4.5	-20	-22	29
360	46	1	19	23	28
364	46	3	20	22	29
366	46	4	-20	20	-29
368	47	1	19	21	30
370	47	2	-19	19	-30
372	47	3	0	-19	31
374	47	4	0	20	-31
376	48	1	19	21	30
378	48	2	-19	20	-30
379	48	2.5	-19	21	-30
380	48	3	20	22	29
382	48	4	21	26	-29
383	48	4.5	-21	-26	30
384	49	1	22	-26	31
386	49	2	-22	25	30
387	49	2.5	-22	24	29
388	49	3	21	25	30
390	49	4	-21	24	29
391	49	4.5	-21	23	28
392	50	1	20	24	29
394	50	2	-20	23	28
395	50	2.5	-20	22	27
396	50	3	19	23	28
400	51	1	26	22	29
*-	*-	*-	*-	*-	*-
