**absq	**bar	**beat	**b7	**b7	**b7
0	1	1	0	30	30
4	1	2	0	28	-30
6	1	2.5	0	29	31
8	1	3	28	30	32
12	2	1	24	31	33
14	2	1.5	-24	30	-33
15	2	1.75	-24	29	-33
16	2	2	-24	28	33
18	2	2.5	-24	29	-33
20	2	3	25	-29	34
22	2	3.5	-25	30	-34
24	3	1	26	-30	35
26	3	1.5	-26	26	-35
28	3	2	24	-26	-35
30	3	2.5	-24	25	34
31	3	2.75	-24	24	33
32	3	3	25	23	32
34	3	3.5	22	24	33
36	4	1	25	23	34
38	4	1.5	26	30	35
41	4	2.25	-26	29	34
42	4	2.5	26	28	33
44	4	3	23	27	-33
46	4	3.5	-23	-27	32
48	5	1	30	26	33
54	5	2.5	31	-26	-33
58	5	3.5	30	0	-33
59	5	3.75	29	0	-33
60	6	1	28	26	0
62	6	1.5	31	-26	0
64	6	2	-31	25	0
65	6	2.25	30	-25	0
66	6	2.5	30	23	0
68	6	3	-30	24	33
70	6	3.5	29	-24	-33
72	7	1	30	23	32
74	7	1.5	-30	26	30
76	7	2	0	-26	31
78	7	2.5	0	27	-31
80	7	3	26	28	30
82	7	3.5	-26	-28	33
84	8	1	24	29	-33
86	8	1.5	25	-29	34
88	8	2	21	30	35
92	8	3	24	26	-35
94	8	3.5	-24	-26	34
96	9	1	23	27	32
100	9	2	30	28	33
106	9	3.5	29	27	32
108	10	1	29	25	34
112	10	2	28	21	30
115	10	2.75	27	-21	-30
116	10	3	26	0	31
119	10	3.75	25	0	-31
120	11	1	25	23	32
124	11	2	0	24	33
126	11	2.5	0	-24	32
127	11	2.75	0	-24	31
128	11	3	27	25	30
132	12	1	28	26	31
134	12	1.5	-28	25	32
135	12	1.75	-28	24	-32
136	12	2	-28	23	-32
138	12	2.5	27	25	30
140	12	3	26	24	-30
142	12	3.5	-26	-24	29
143	12	3.75	25	-24	-29
144	13	1	25	23	30
146	13	1.5	24	26	31
148	13	2	23	25	32
150	13	2.5	21	28	33
152	13	3	22	-28	-33
154	13	3.5	-22	27	32
155	13	3.75	-22	-27	31
156	14	1	21	28	30
158	14	1.5	0	31	33
160	14	2	21	30	32
162	14	2.5	-21	28	35
164	14	3	25	29	-35
166	14	3.5	-25	-29	34
168	15	1	21	28	35
172	15	2	23	0	-35
175	15	2.75	24	0	-35
176	15	3	25	27	0
180	16	1	24	26	0
182	16	1.5	25	-26	0
184	16	2	-25	25	34
186	16	2.5	22	25	-34
188	16	3	-22	-25	33
190	16	3.5	-22	24	-33
192	17	1	23	25	32
194	17	1.5	25	27	32
196	17	2	22	26	-32
198	17	2.5	-22	-26	31
200	17	3	23	25	32
202	17	3.5	24	26	35
205	18	1.25	25	27	34
206	18	1.5	26	28	33
207	18	1.75	-26	-28	32
207.5	18	1.875	-26	-28	33
208	18	2	25	29	34
210	18	2.5	26	28	33
211	18	2.75	27	27	32
212	18	3	28	26	31
214	18	3.5	27	27	32
215	18	3.75	26	28	33
216	19	1	25	29	34
218	19	1.5	26	28	33
219	19	1.75	24	-28	-33
221	19	2.25	25	27	32
222	19	2.5	22	26	31
223	19	2.75	23	25	30
224	19	3	22	26	31
227	19	3.75	-22	-26	30
228	20	1	0	25	32
230	20	1.5	29	-25	-32
234	20	2.5	27	0	-32
236	20	3	25	27	-32
240	21	1	0	-27	32
242	21	1.5	28	26	31
245	21	2.25	-28	22	-31
246	21	2.5	27	25	30
248	21	3	-27	24	-30
250	21	3.5	26	-24	29
252	22	1	27	23	30
255	22	1.75	-27	24	-30
256	22	2	-27	25	0
258	22	2.5	28	26	30
261	22	3.25	-28	-26	31
262	22	3.5	29	27	32
264	23	1	30	26	33
266	23	1.5	-30	28	-33
268	23	2	0	29	34
270	23	2.5	26	30	35
274	23	3.5	27	29	34
275	23	3.75	28	28	33
276	24	1	29	27	32
278	24	1.5	28	26	33
280	24	2	27	25	34
282	24	2.5	26	26	35
284	24	3	25	23	34
286	24	3.5	26	30	35
290	25	1.5	27	29	34
291	25	1.75	28	28	33
292	25	2	25	29	34
293	25	2.25	-25	28	33
294	25	2.5	-25	27	32
295	25	2.75	26	26	31
296	25	3	23	27	32
300	26	1	30	26	33
*-	*-	*-	*-	*-	*-
