**absq	**bar	**beat	**b7	**b7	**b7	**b7
0	1	1	0	22	26	29
4	1	2	0	-22	27	-29
6	1	2.5	0	-22	26	31
8	1	3	0	22	29	-31
9	1	3.25	0	-22	-29	32
10	1	3.5	0	-22	-29	33
11	1	3.75	0	-22	28	-33
12	2	1	22	24	26	29
14	2	1.5	-22	-24	-26	28
15	2	1.75	-22	-24	-26	27
16	2	2	-22	-24	0	26
18	2	2.5	24	-24	0	29
20	2	3	-24	24	26	-29
21	2	3.25	23	-24	-26	30
22	2	3.5	22	-24	-26	31
24	3	1	23	23	25	32
26	3	1.5	21	-23	28	30
29	3	2.25	-21	-23	27	-30
30	3	2.5	20	-23	25	29
32	3	3	19	23	26	-29
34	3	3.5	-19	-23	-26	28
36	4	1	0	22	24	29
39	4	1.75	0	-22	22	-29
40	4	2	26	-22	24	0
43	4	2.75	-26	-22	25	0
44	4	3	24	22	26	33
47	4	3.75	22	-22	-26	-33
48	5	1	24	22	22	33
50	5	1.5	25	-22	-22	-33
52	5	2	26	-22	0	-33
54	5	2.5	-26	-22	0	31
56	5	3	22	22	0	33
58	5	3.5	-22	-22	0	34
60	6	1	21	26	0	35
62	6	1.5	24	-26	0	33
65	6	2.25	23	-26	0	32
66	6	2.5	22	-26	0	31
67	6	2.75	21	-26	0	30
68	6	3	22	26	29	31
70	6	3.5	21	-26	-29	30
71	6	3.75	20	-26	-29	29
72	7	1	19	26	30	28
74	7	1.5	-19	-26	28	31
76	7	2	0	-26	29	-31
77	7	2.25	0	-26	-29	32
78	7	2.5	0	-26	30	33
80	7	3	22	26	29	-33
81	7	3.25	-22	-26	-29	30
82	7	3.5	-22	-26	-29	31
84	8	1	23	25	27	32
86	8	1.5	23	-25	25	-32
88	8	2	-23	-25	27	0
89	8	2.25	22	-25	-27	0
90	8	2.5	20	-25	29	29
92	8	3	21	25	28	30
94	8	3.5	-21	-25	-28	30
96	9	1	22	22	27	31
98	9	1.5	-22	-22	26	29
102	9	2.5	0	-22	24	33
104	9	3	0	22	26	-33
106	9	3.5	0	-22	27	32
107	9	3.75	0	-22	-27	31
108	10	1	19	26	28	30
110	10	1.5	-19	-26	-28	35
113	10	2.25	-19	-26	0	34
114	10	2.5	22	-26	24	33
