**absq	**bar	**beat	**b7	**b7	**b7	**b7
0	1	1	25	0	32	32
6	1	4	-25	0	-32	33
8	2	1	25	0	30	34
12	2	3	25	0	29	34
16	3	1	26	0	28	35
19	3	2.5	25	0	-28	34
20	3	3	23	0	28	32
22	3	4	24	0	-28	33
24	4	1	-24	0	29	-33
26	4	2	25	0	-29	34
28	4	3	-25	0	30	-34
30	4	4	24	0	-30	33
31	4	4.5	23	0	-30	32
32	5	1	22	29	31	31
34	5	2	24	-29	-31	29
37	5	3.5	25	-29	-31	30
38	5	4	26	-29	30	31
40	6	1	27	27	29	32
42	6	2	25	-27	-29	-32
44	6	3	-25	26	28	33
46	6	4	24	-26	-28	-33
48	7	1	25	25	27	34
52	7	3	-25	25	-27	32
54	7	4	23	-25	28	-32
56	8	1	24	26	29	0
60	8	3	23	27	30	32
64	9	1	21	28	-30	30
66	9	2	-21	-28	28	33
68	9	3	-21	-28	28	-33
69	9	3.5	-21	-28	-28	32
70	9	4	-21	27	-28	32
72	10	1	0	26	-28	-32
73	10	1.5	0	-26	-28	31
74	10	2	0	-26	-28	31
76	10	3	0	25	27	-31
78	10	4	0	-25	-27	30
80	11	1	17	24	28	31
86	11	4	-17	25	-28	30
88	12	1	-17	26	0	28
92	12	3	18	27	0	27
96	13	1	-18	-27	0	25
98	13	2	-18	25	0	-25
100	13	3	20	25	0	29
104	14	1	19	-25	0	-29
106	14	2	-19	-25	0	28
108	14	3	-19	24	0	26
112	15	1	18	25	32	27
116	15	3	-18	0	32	-27
118	15	4	-18	0	32	-27
120	16	1	0	29	31	0
124	16	3	0	29	29	27
126	16	4	0	29	-29	-27
128	17	1	0	28	30	28
132	17	3	0	26	30	28
136	18	1	25	27	29	29
140	18	3	25	27	-29	-29
142	18	4	25	-27	-29	28
143	18	4.5	-25	-27	-29	27
144	19	1	24	26	0	28
146	19	2	-24	-26	0	29
148	19	3	22	-26	0	-29
149	19	3.5	-22	-26	0	30
150	19	4	-22	-26	0	31
152	20	1	23	0	32	30
154	20	2	-23	0	-32	28
156	20	3	23	0	32	-28
158	20	4	-23	0	32	27
160	21	1	22	29	31	29
164	21	3	-22	29	29	27
166	21	4	-22	29	-29	-27
168	22	1	0	28	30	26
172	22	3	0	26	30	-26
176	23	1	25	27	29	0
180	23	3	25	27	-29	0
182	23	4	25	-27	-29	0
184	24	1	24	26	-29	33
187	24	2.5	-24	25	-29	-33
188	24	3	22	26	-29	-33
190	24	4	-22	27	-29	32
191	24	4.5	-22	-27	-29	31
192	25	1	23	-27	0	32
193	25	1.5	-23	26	0	31
194	25	2	-23	25	0	30
195	25	2.5	-23	24	0	29
196	25	3	23	25	0	28
199	25	4.5	-23	24	0	27
200	26	1	22	26	0	29
202	26	2	24	-26	0	-29
204	26	3	-24	-26	0	31
205	26	3.5	23	-26	0	-31
206	26	4	22	-26	0	-31
208	27	1	21	0	32	30
212	27	3	23	0	-32	28
216	28	1	-23	0	30	-28
218	28	2	24	0	-30	-28
220	28	3	25	0	29	27
224	29	1	21	0	28	28
226	29	2	23	0	-28	32
228	29	3	-23	0	28	-32
229	29	3.5	22	0	-28	31
230	29	4	24	0	-28	33
232	30	1	-24	0	29	-33
233	30	1.5	23	0	-29	32
234	30	2	25	0	-29	34
236	30	3	-25	0	30	-34
238	30	4	24	0	-30	33
239	30	4.5	23	0	-30	32
240	31	1	22	29	31	31
243	31	2.5	-22	-29	-31	32
244	31	3	-22	-29	-31	34
246	31	4	-22	-29	30	33
248	32	1	0	27	29	-33
250	32	2	0	-27	-29	32
252	32	3	0	26	28	-32
254	32	4	0	-26	-28	31
256	33	1	23	25	27	32
260	33	3	-23	25	-27	-32
262	33	4	-23	-25	28	-32
264	34	1	24	26	29	0
268	34	3	25	27	30	32
272	35	1	21	28	-30	30
274	35	2	-21	-28	28	32
276	35	3	-21	-28	28	33
278	35	4	-21	27	-28	32
280	36	1	0	26	-28	-32
281	36	1.5	0	-26	-28	28
282	36	2	0	-26	-28	31
284	36	3	0	25	27	-31
286	36	4	0	-25	-27	30
288	37	1	24	24	28	31
292	37	3	-24	-24	31	-31
294	37	4	23	25	-31	-31
295	37	4.5	22	-25	-31	-31
296	38	1	21	26	30	0
300	38	3	20	27	29	0
302	38	4	-20	-27	29	0
304	39	1	21	-27	-29	0
306	39	2	-21	25	28	0
308	39	3	-21	25	28	30
311	39	4.5	-21	-25	25	-30
312	40	1	22	-25	28	31
314	40	2	-22	-25	27	-31
316	40	3	-22	24	-27	-31
318	40	4	-22	-24	26	29
320	41	1	21	25	28	30
322	41	2	-21	-25	-28	32
324	41	3	-21	27	-28	-32
325	41	3.5	-21	-27	-28	31
326	41	4	20	-27	24	29
328	42	1	18	-27	25	-29
329	42	1.5	-18	28	-25	28
330	42	2	-18	29	-25	27
332	42	3	22	-29	24	26
333	42	3.5	-22	28	-24	-26
334	42	4	-22	26	-24	-26
336	43	1	20	27	0	25
338	43	2	21	26	28	-25
339	43	2.5	-21	25	-28	-25
340	43	3	19	24	-28	26
342	43	4	18	25	27	27
344	44	1	25	-25	30	25
346	44	2	-25	27	29	32
348	44	3	22	26	-29	-32
349	44	3.5	-22	-26	28	-32
350	44	4	-22	-26	26	31
352	45	1	18	25	27	32
358	45	4	-18	-25	25	-32
360	46	1	-18	-25	27	-32
*-	*-	*-	*-	*-	*-	*-
