**absq	**bar	**beat	**b7	**b7	**b7
0	1	1	22	29	33
6	1	2.5	-22	-29	34
8	1	3	26	30	35
12	2	1	22	29	36
15	2	1.75	-22	-29	37
16	2	2	-22	-29	38
18	2	2.5	-22	33	-38
20	2	3	26	-33	37
21	2	3.25	-26	-33	37
22	2	3.5	23	32	-37
23	2	3.75	-23	-32	36
24	3	1	25	-32	34
26	3	1.5	22	31	33
28	3	2	-22	29	-33
30	3	2.5	27	-29	36
32	3	3	26	30	-36
34	3	3.5	-26	-30	35
36	4	1	22	29	36
40	4	2	0	27	32
42	4	2.5	22	26	33
44	4	3	25	29	-33
45	4	3.25	-25	-29	34
46	4	3.5	24	-29	33
47	4	3.75	25	-29	32
47.5	4	3.875	-25	-29	31
48	5	1	26	28	30
50	5	1.5	-26	-28	33
52	5	2	24	-28	-33
54	5	2.5	23	-28	32
56	5	3	26	-28	30
60	6	1	22	0	29
62	6	1.5	-22	31	-29
66	6	2.5	-22	29	36
68	6	3	29	31	-36
69	6	3.25	-29	-31	35
70	6	3.5	-29	-31	36
71	6	3.75	-29	32	34
72	7	1	26	30	35
76	7	2	-26	33	35
78	7	2.5	-26	-33	37
79	7	2.75	-26	32	-37
80	7	3	26	30	-37
81	7	3.25	-26	-30	36
82	7	3.5	-26	-30	35
83	7	3.75	-26	-30	34
84	8	1	22	31	33
86	8	1.5	-22	29	-33
88	8	2	-22	-29	38
90	8	2.5	-22	33	-38
91	8	2.75	-22	-33	37
91.5	8	2.875	-22	-33	36
92	8	3	26	-33	35
96	9	1	0	33	38
98	9	1.5	0	-33	37
99	9	1.75	0	32	-37
100	9	2	0	33	-37
102	9	2.5	0	31	36
104	9	3	0	30	-36
106	9	3.5	0	-30	35
108	10	1	0	29	36
110	10	1.5	27	-29	-36
112	10	2	-27	31	0
114	10	2.5	27	-31	36
116	10	3	27	-31	-36
117	10	3.25	-27	-31	35
118	10	3.5	-27	30	36
119	10	3.75	-27	29	-36
120	11	1	26	28	37
122	11	1.5	-26	-28	35
124	11	2	24	26	-35
125	11	2.25	-24	-26	34
126	11	2.5	-24	-26	33
128	11	3	22	29	-33
129	11	3.25	-22	-29	32
130	11	3.5	-22	-29	31
132	12	1	26	28	30
138	12	2.5	24	29	31
140	12	3	23	30	32
144	13	1	22	31	33
146	13	1.5	23	30	-33
147	13	1.75	-23	-30	32
148	13	2	24	-30	33
149	13	2.25	-24	29	-33
150	13	2.5	22	29	31
152	13	3	26	-29	30
154	13	3.5	-26	28	-30
156	14	1	22	29	29
160	14	2	29	31	0
162	14	2.5	-29	-31	36
163	14	2.75	28	30	-36
164	14	3	27	31	-36
167	14	3.75	-27	32	-36
168	15	1	26	33	35
170	15	1.5	-26	-33	36
171	15	1.75	-26	-33	38
172	15	2	28	32	-38
173	15	2.25	-28	-32	37
174	15	2.5	-28	30	37
176	15	3	29	31	-37
178	15	3.5	-29	-31	36
180	16	1	26	30	37
184	16	2	-26	-30	35
192	17	1	0	0	0
196	17	2	29	31	33
200	17	3	29	-31	36
202	17	3.5	26	-31	-36
204	18	1	-26	31	-36
206	18	1.5	29	-31	34
208	18	2	26	30	35
212	18	3	-26	28	37
215	18	3.75	-26	-28	36
216	19	1	25	29	34
218	19	1.5	-25	-29	33
219	19	1.75	24	30	-33
220	19	2	22	31	-33
222	19	2.5	-22	-31	36
223	19	2.75	-22	29	-36
224	19	3	26	30	-36
226	19	3.5	-26	-30	35
228	20	1	22	29	36
230	20	1.5	-22	-29	38
232	20	2	-22	33	-38
234	20	2.5	26	-33	37
236	20	3	-26	-33	35
238	20	3.5	29	31	36
240	21	1	28	32	37
242	21	1.5	26	33	-37
244	21	2	24	-33	33
246	21	2.5	25	29	34
248	21	3	28	30	35
250	21	3.5	29	-30	33
251	21	3.75	-29	31	-33
252	22	1	-29	29	-33
253	22	1.25	28	-29	-33
254	22	1.5	27	-29	31
255	22	1.75	26	-29	-31
256	22	2	25	27	32
258	22	2.5	24	28	33
260	22	3	22	29	-33
262	22	3.5	-22	-29	36
264	23	1	0	26	35
266	23	1.5	23	25	34
268	23	2	24	28	-34
269	23	2.25	-24	-28	33
270	23	2.5	-24	-28	33
272	23	3	25	27	-33
274	23	3.5	23	-27	32
276	24	1	24	26	33
278	24	1.5	22	-26	-33
280	24	2	24	-26	-33
282	24	2.5	-24	29	-33
283	24	2.75	25	-29	-33
284	24	3	23	-29	0
286	24	3.5	-23	28	0
288	25	1	22	29	36
294	25	2.5	-22	30	-36
296	25	3	-22	31	36
298	25	3.5	-22	32	-36
300	26	1	26	30	35
306	26	2.5	-26	30	-35
308	26	3	26	-30	35
309	26	3.25	-26	28	-35
310	26	3.5	-26	30	-35
312	27	1	22	29	38
314	27	1.5	-22	33	-38
316	27	2	0	-33	37
317	27	2.25	0	32	-37
318	27	2.5	26	30	37
320	27	3	29	31	-37
321	27	3.25	-29	-31	36
322	27	3.5	-29	-31	36
323	27	3.75	-29	-31	35
324	28	1	28	30	37
326	28	1.5	-28	32	-37
327	28	1.75	-28	-32	36
328	28	2	25	-32	34
329	28	2.25	-25	-32	35
330	28	2.5	27	31	36
332	28	3	-27	29	-36
333	28	3.25	26	-29	35
334	28	3.5	25	-29	34
335	28	3.75	24	-29	33
336	29	1	23	30	32
338	29	1.5	26	-30	35
340	29	2	-26	28	-35
341	29	2.25	-26	-28	33
342	29	2.5	25	29	34
344	29	3	23	30	35
346	29	3.5	22	31	36
348	30	1	-22	29	-36
349	30	1.25	-22	-29	37
350	30	1.5	22	-29	38
352	30	2	26	30	37
353	30	2.25	-26	-30	37
354	30	2.5	29	31	-37
355	30	2.75	-29	-31	36
356	30	3	28	32	37
358	30	3.5	26	33	-37
359	30	3.75	-26	-33	38
360	31	1	-26	-33	37
361	31	1.25	-26	-33	36
361.5	31	1.375	-26	-33	35
362	31	1.5	0	32	34
364	31	2	29	31	33
366	31	2.5	27	29	36
368	31	3	26	30	-36
370	31	3.5	-26	-30	35
372	32	1	22	29	36
*-	*-	*-	*-	*-	*-
