**absq	**bar	**beat	**b7	**b7	**b7
0	1	1	29	29	36
8	2	1	26	33	35
12	2	3	24	-33	-35
16	3	1	25	32	34
20	3	3	26	31	33
24	4	1	24	29	-33
28	4	3	22	31	36
32	5	1	26	30	-36
36	5	3	-26	-30	35
40	6	1	22	29	36
44	6	3	-22	-29	38
48	7	1	29	0	-38
50	7	2	-29	0	37
52	7	3	28	26	37
56	8	1	26	28	-37
60	8	3	22	29	36
64	9	1	26	30	-36
68	9	3	-26	-30	35
72	10	1	22	29	36
76	10	3	-22	-29	35
78	10	4	-22	-29	34
80	11	1	25	-29	-34
82	11	2	-25	-29	33
84	11	3	26	28	33
88	12	1	23	27	-33
90	12	2	-23	-27	32
91	12	2.5	-23	-27	31
92	12	3	-23	-27	32
96	13	1	24	26	33
100	13	3	22	29	-33
102	13	4	-22	-29	32
103	13	4.5	-22	-29	31
104	14	1	26	-29	30
108	14	3	-26	28	-30
112	15	1	22	29	29
116	15	3	-22	33	31
124	16	3	25	32	30
128	17	1	22	31	-30
132	17	3	-22	29	29
136	18	1	26	30	-29
140	18	3	-26	-30	28
144	19	1	27	29	29
150	19	4	26	-29	-29
151	19	4.5	25	-29	-29
152	20	1	24	29	0
156	20	3	25	-29	36
158	20	4	-25	28	-36
160	21	1	0	27	36
164	21	3	29	-27	-36
168	22	1	30	26	35
174	22	4	26	-26	-35
176	23	1	22	29	38
184	24	1	25	0	37
188	24	3	24	31	36
192	25	1	21	30	39
200	26	1	22	29	38
204	26	3	26	28	37
208	27	1	22	29	-37
210	27	2	-22	-29	36
212	27	3	29	31	36
216	28	1	26	30	-36
220	28	3	-26	-30	35
224	29	1	22	29	36
228	29	3	25	-29	-36
234	30	2	24	-29	0
236	30	3	22	-29	38
240	31	1	24	0	38
244	31	3	21	28	37
246	31	4	-21	-28	36
248	32	1	28	26	35
250	32	2	26	28	-35
252	32	3	25	27	36
256	33	1	26	26	35
258	33	2	24	-26	33
260	33	3	23	25	34
262	33	4	25	-25	-34
264	34	1	24	26	33
266	34	2	26	28	33
268	34	3	23	27	-33
270	34	4	-23	-27	32
272	35	1	24	26	33
274	35	2	26	-26	32
275	35	2.5	-26	-26	31
276	35	3	-26	0	30
277	35	3.5	25	0	-30
278	35	4	24	28	32
279	35	4.5	23	-28	-32
280	36	1	22	29	31
282	36	2	-22	33	-31
284	36	3	29	-33	30
286	36	4	-29	31	33
288	37	1	26	-31	-33
289	37	1.5	-26	30	-33
290	37	2	28	30	32
292	37	3	-28	-30	31
293	37	3.5	-28	29	-31
294	37	4	29	29	30
295	37	4.5	-29	-29	29
296	38	1	26	-29	30
298	38	2	-26	28	-30
300	38	3	22	29	29
304	39	1	-22	-29	31
308	39	3	29	31	-31
310	39	4	-29	-31	32
312	40	1	-29	-31	33
314	40	2	28	32	-33
315	40	2.5	27	-32	-33
316	40	3	26	33	-33
318	40	4	-26	-33	32
320	41	1	-26	-33	33
322	41	2	-26	32	-33
323	41	2.5	-26	31	-33
324	41	3	0	30	35
328	42	1	26	28	-35
330	42	2	-26	-28	34
332	42	3	22	29	34
338	43	2	-22	-29	33
340	43	3	26	28	33
344	44	1	23	27	-33
348	44	3	25	-27	32
352	45	1	24	26	33
356	45	3	22	-26	-33
364	46	3	26	-26	35
368	47	1	22	0	36
370	47	2	25	0	-36
372	47	3	23	28	37
374	47	4	26	-28	-37
376	48	1	22	29	38
380	48	3	21	30	37
382	48	4	-21	-30	35
384	49	1	29	31	36
386	49	2	28	32	37
390	49	4	26	33	38
394	50	2	29	31	36
396	50	3	26	30	-36
398	50	4	-26	-30	35
400	51	1	0	29	36
402	51	2	22	-29	-36
404	51	3	22	-29	0
406	51	4	-22	-29	38
408	52	1	26	28	37
410	52	2	22	31	36
412	52	3	-22	29	-36
414	52	4	21	30	39
418	53	2	0	33	37
420	53	3	22	-33	38
422	53	4	25	32	37
423	53	4.5	-25	31	36
424	54	1	26	30	35
426	54	2	27	29	36
428	54	3	26	33	35
430	54	4	22	-33	38
434	55	2	28	32	37
436	55	3	29	31	-37
438	55	4	-29	-31	36
440	56	1	26	30	37
444	56	3	26	0	33
446	56	4	26	33	-33
448	57	1	-26	31	0
450	57	2	29	-31	33
451	57	2.5	-29	32	-33
452	57	3	26	33	35
454	57	4	24	-33	36
456	58	1	25	32	37
458	58	2	22	31	38
460	58	3	-22	29	-38
462	58	4	25	-29	37
463	58	4.5	-25	28	-37
464	59	1	-25	27	36
466	59	2	26	26	35
467	59	2.5	-26	-26	34
468	59	3	24	0	33
470	59	4	22	33	35
472	60	1	-22	31	36
474	60	2	21	32	37
476	60	3	-21	30	-37
478	60	4	22	29	38
480	61	1	23	32	37
482	61	2	21	30	39
485	61	3.5	-21	31	38
486	61	4	0	32	37
487	61	4.5	0	-32	36
488	62	1	28	-32	37
490	62	2	26	33	35
494	62	4	22	31	38
496	63	1	-22	30	-38
498	63	2	26	28	37
501	63	3.5	-26	-28	36
502	63	4	29	29	36
504	64	1	26	30	-36
506	64	2	-26	-30	35
507	64	2.5	26	-30	34
508	64	3	26	-30	35
512	65	1	22	29	36
*-	*-	*-	*-	*-	*-
