**absq	**bar	**beat	**b7	**b7	**b7	**b7
0	1	1	29	25	25	32
4	1	2	-29	-25	27	-32
8	1	3	29	22	26	31
11	1	3.75	-29	-22	-26	32
12	2	1	28	24	-26	33
14	2	1.5	-28	-24	-26	34
16	2	2	26	-24	26	35
18	2	2.5	-26	25	-26	-35
20	2	3	28	26	24	33
22	2	3.5	-28	-26	-24	35
24	3	1	29	25	0	34
26	3	1.5	30	28	0	33
29	3	2.25	29	-28	0	32
30	3	2.5	29	27	0	32
32	3	3	-29	26	26	-32
34	3	3.5	28	-26	-26	31
36	4	1	29	25	27	32
38	4	1.5	-29	-25	28	-32
40	4	2	0	-25	29	34
44	4	3	29	-25	32	-34
48	5	1	30	0	28	35
52	5	2	-30	26	-28	35
56	5	3	29	27	25	36
60	6	1	30	27	0	-36
62	6	1.5	-30	-27	0	32
64	6	2	29	25	32	35
66	6	2.5	-29	-25	-32	36
68	6	3	-29	-25	32	34
70	6	3.5	28	-25	-32	-34
72	7	1	28	21	30	35
80	7	3	0	21	28	-35
84	8	1	29	25	27	0
88	8	2	28	23	25	0
90	8	2.5	-28	24	26	0
92	8	3	29	-24	-26	0
94	8	3.5	30	23	27	0
96	9	1	-30	21	28	0
98	9	1.5	30	25	29	0
99	9	1.75	-30	-25	27	0
100	9	2	29	-25	-27	0
101	9	2.25	-29	24	26	0
102	9	2.5	32	25	27	0
103	9	2.75	-32	27	-27	0
104	9	3	-32	26	28	0
106	9	3.5	31	-26	-28	0
107	9	3.75	-31	-26	27	0
108	10	1	32	25	29	0
112	10	2	-32	28	30	35
115	10	2.75	-32	-28	31	-35
116	10	3	30	-28	32	-35
118	10	3.5	-30	-28	-32	36
120	11	1	31	29	31	36
122	11	1.5	-31	-29	33	-36
124	11	2	30	26	-33	35
130	11	3.5	-30	-26	33	34
132	12	1	29	27	31	36
136	12	2	29	25	32	34
140	12	3	28	26	30	35
142	12	3.5	-28	24	31	33
144	13	1	27	25	29	0
146	13	1.5	-27	23	28	32
148	13	2	26	24	26	33
150	13	2.5	29	25	0	34
151	13	2.75	-29	-25	0	32
152	13	3	-29	26	0	-32
153	13	3.25	-29	-26	0	31
154	13	3.5	28	-26	26	31
155	13	3.75	-28	-26	-26	30
156	14	1	29	25	25	32
160	14	2	-29	22	26	33
164	14	3	-29	-22	-26	31
168	15	1	29	25	27	0
170	15	1.5	-29	-25	-27	32
172	15	2	-29	24	26	33
174	15	2.5	-29	25	25	34
176	15	3	-29	-25	29	32
178	15	3.5	-29	27	27	36
180	16	1	-29	-27	25	-36
181	16	1.25	-29	-27	-25	34
182	16	1.5	-29	26	24	35
183	16	1.75	-29	-26	-24	36
184	16	2	-29	25	27	34
186	16	2.5	-29	-25	-27	33
187	16	2.75	-29	-25	-27	32
188	16	3	-29	22	26	31
191	16	3.75	-29	-22	-26	30
192	17	1	-29	25	25	32
204	18	1	0	0	0	0
204	18	1	0	22	29	33
212	19	1	0	-22	-29	31
216	19	3	0	23	28	32
218	19	4	0	-23	27	-32
220	20	1	0	24	26	33
228	21	1	0	25	25	34
232	21	3	0	-25	29	34
236	22	1	0	24	-29	33
238	22	2	0	-24	28	-33
240	22	3	0	-24	26	-33
242	22	4	0	-24	25	36
244	23	1	0	25	27	-36
246	23	2	0	-25	28	35
248	23	3	0	-25	29	34
250	23	4	0	-25	-29	32
252	24	1	0	22	-29	33
256	24	3	0	-22	-29	31
260	25	1	0	25	27	29
262	25	2	0	-25	-27	30
264	25	3	0	-25	-27	29
266	25	4	0	-25	-27	32
268	26	1	0	26	28	-32
270	26	2	0	-26	-28	31
272	26	3	0	24	26	33
274	26	4	0	25	27	-33
276	27	1	0	-25	-27	29
278	27	2	0	26	26	30
280	27	3	0	22	-26	31
