**absq	**bar	**beat	**b7	**b7	**b7
0	1	1	25	32	0
4	1	3	23	-32	0
8	2	1	22	36	0
12	2	3	25	-36	0
14	2	4	-25	35	0
15	2	4.5	-25	34	0
16	3	1	-25	33	0
20	3	3	24	33	0
24	4	1	25	34	32
28	4	3	-25	34	-32
32	5	1	-25	34	36
36	5	3	-25	34	-36
38	5	4	-25	-34	35
39	5	4.5	-25	-34	34
40	6	1	24	35	33
44	6	3	-24	35	33
48	7	1	25	34	34
51	7	2.5	-25	35	-34
52	7	3	-25	36	34
54	7	4	-25	32	-34
56	8	1	-25	-32	34
58	8	2	-25	31	-34
59	8	2.5	-25	30	-34
60	8	3	-25	29	34
62	8	4	-25	34	-34
64	9	1	24	-34	35
66	9	2	-24	33	-35
68	9	3	-24	33	35
70	9	4	-24	32	-35
72	10	1	25	34	34
75	10	2.5	-25	-34	35
76	10	3	-25	-34	36
78	10	4	-25	-34	32
80	11	1	-25	27	-32
82	11	2	-25	-27	31
83	11	2.5	-25	-27	30
84	11	3	-25	-27	29
86	11	4	-25	-27	34
88	12	1	24	28	-34
90	12	2	-24	-28	33
92	12	3	-24	-28	33
94	12	4	-24	-28	32
96	13	1	25	0	34
100	13	3	0	27	-34
102	13	4	29	-27	-34
104	14	1	28	28	0
106	14	2	30	-28	0
108	14	3	-30	29	34
109	14	3.5	29	-29	-34
110	14	4	28	-29	-34
111	14	4.5	27	-29	-34
112	15	1	26	30	35
114	15	2	-26	31	-35
116	15	3	27	-31	36
117	15	3.5	-27	29	-36
118	15	4	-27	32	-36
120	16	1	28	-32	37
121	16	1.5	-28	30	-37
122	16	2	-28	33	-37
124	16	3	-28	-33	37
125	16	3.5	-28	32	-37
126	16	4	-28	31	-37
127	16	4.5	-28	30	-37
128	17	1	29	29	38
132	17	3	-29	36	38
136	18	1	0	37	39
140	18	3	28	37	39
144	19	1	29	36	38
146	19	2	29	33	-38
148	19	3	-29	34	-38
149	19	3.5	28	-34	-38
150	19	4	27	36	37
151	19	4.5	-27	-36	36
152	20	1	26	-36	37
154	20	2	-26	35	-37
155	20	2.5	-26	-35	36
156	20	3	27	36	36
158	20	4	27	29	-36
160	21	1	-27	31	-36
161	21	1.5	26	-31	-36
162	21	2	25	32	35
163	21	2.5	-25	-32	36
164	21	3	26	30	35
167	21	4.5	-26	-30	34
168	22	1	22	0	36
172	22	3	25	29	-36
176	23	1	27	-29	-36
178	23	2	-27	32	-36
181	23	3.5	-27	31	-36
182	23	4	-27	32	-36
184	24	1	26	33	0
185	24	1.5	-26	32	0
186	24	2	-26	31	0
187	24	2.5	-26	30	0
188	24	3	-26	31	33
191	24	4.5	-26	30	-33
192	25	1	0	32	34
194	25	2	25	-32	-34
196	25	3	-25	-32	34
197	25	3.5	24	-32	-34
198	25	4	25	-32	-34
200	26	1	26	0	35
201	26	1.5	25	0	-35
202	26	2	24	0	-35
203	26	2.5	23	0	-35
204	26	3	24	33	35
208	27	1	25	34	34
210	27	2	29	-34	-34
212	27	3	30	34	32
214	27	4	32	-34	-32
216	28	1	-32	35	33
218	28	2	31	-35	-33
219	28	2.5	30	-35	-33
220	28	3	31	35	33
221	28	3.5	32	-35	-33
222	28	4	33	-35	-33
223	28	4.5	31	-35	-33
224	29	1	32	34	32
226	29	2	-32	-34	36
228	29	3	30	32	37
230	29	4	-30	-32	39
232	30	1	29	33	-39
234	30	2	-29	-33	38
235	30	2.5	-29	-33	37
236	30	3	-29	33	38
237	30	3.5	-29	-33	39
238	30	4	-29	-33	40
239	30	4.5	-29	-33	38
240	31	1	25	32	39
242	31	2	-25	30	-39
244	31	3	0	29	38
246	31	4	27	32	36
248	32	1	28	-32	37
250	32	2	29	31	36
252	32	3	25	32	-36
254	32	4	26	30	35
255	32	4.5	-26	-30	34
256	33	1	22	31	33
264	34	1	29	34	0
270	34	4	28	33	0
271	34	4.5	29	34	0
272	35	1	30	35	0
273	35	1.5	29	34	0
