**absq	**bar	**beat	**b7	**b7	**b7	**b7
0	1	1	21	0	25	0
8	2	1	23	0	25	0
12	2	3	24	0	26	0
16	3	1	25	0	27	0
22	3	4	24	0	26	0
23	3	4.5	23	0	25	0
24	4	1	26	0	28	0
26	4	2	25	0	27	0
30	4	4	24	0	26	0
31	4	4.5	23	0	25	0
32	5	1	22	0	24	0
34	5	2	21	0	23	0
36	5	3	22	0	24	0
40	6	1	21	0	25	0
44	6	3	0	32	0	37
48	7	1	0	33	0	38
54	7	4	0	32	0	37
55	7	4.5	0	31	0	36
56	8	1	0	33	0	38
59	8	2.5	0	32	0	37
60	8	3	0	30	0	35
62	8	4	0	32	0	37
66	9	2	0	31	0	36
67	9	2.5	0	30	0	35
68	9	3	0	29	0	34
72	10	1	25	0	27	0
78	10	4	24	0	26	0
79	10	4.5	23	0	25	0
80	11	1	25	0	27	0
82	11	2	24	0	26	0
85	11	3.5	23	0	25	0
86	11	4	22	0	24	0
87	11	4.5	21	0	23	0
88	12	1	20	0	22	0
90	12	2	23	0	25	0
94	12	4	22	0	24	0
96	13	1	23	0	25	0
98	13	2	24	0	26	0
100	13	3	22	0	24	0
104	14	1	0	28	0	35
110	14	4	0	32	0	37
113	15	1.5	0	31	0	36
114	15	2	0	29	0	34
116	15	3	0	30	0	35
118	15	4	0	31	0	36
121	16	1.5	0	30	0	35
122	16	2	0	29	0	34
123	16	2.5	0	28	0	33
124	16	3	25	29	32	34
128	17	1	26	28	30	35
132	17	3	24	-28	31	-35
136	18	1	0	0	0	0
144	19	1	21	28	32	35
146	19	2	23	-28	-32	-35
148	19	3	24	-28	31	33
150	19	4	25	27	29	32
152	20	1	-25	26	30	35
154	20	2	24	-26	31	-35
156	20	3	25	25	29	34
158	20	4	23	-25	0	32
160	21	1	-23	28	30	-32
161	21	1.5	21	-28	-30	30
162	21	2	24	-28	28	33
164	21	3	-24	29	31	-33
165	21	3.5	22	-29	-31	31
166	21	4	25	-29	29	34
168	22	1	-25	30	32	-34
