**absq	**bar	**beat	**b7	**b7	**b7	**b7
8	1	3	18	25	29	32
12	2	1	21	25	30	32
15	2	1.75	20	-25	-30	-32
16	2	2	18	27	29	-32
18	2	2.5	-18	-27	-29	31
20	2	3	25	-27	27	29
22	2	3.5	23	28	25	30
24	3	1	22	29	26	31
28	3	2	23	27	25	32
30	3	2.5	-23	28	-25	-32
32	3	3	24	-28	0	33
34	3	3.5	-24	26	28	-33
36	4	1	0	25	27	34
38	4	1.5	25	-25	25	-34
40	4	2	23	28	-25	32
42	4	2.5	21	-28	23	33
44	4	3	22	-28	24	-33
45	4	3.25	-22	-28	-24	32
46	4	3.5	-22	26	-24	31
47	4	3.75	-22	-26	-24	30
48	5	1	18	27	25	29
56	5	3	0	0	0	0
60	6	1	18	27	32	36
64	6	2	-18	27	-32	36
68	6	3	24	26	28	35
71	6	3.75	-24	-26	29	-35
72	7	1	25	25	30	34
74	7	1.5	22	24	31	33
76	7	2	25	27	29	-33
77	7	2.25	-25	-27	-29	32
78	7	2.5	-25	25	-29	32
80	7	3	22	26	-29	-32
82	7	3.5	-22	-26	-29	31
84	8	1	18	25	0	34
86	8	1.5	-18	-25	30	-34
87	8	1.75	-18	-25	-30	33
88	8	2	17	28	31	33
89	8	2.25	-17	-28	-31	32
89.5	8	2.375	-17	-28	30	-32
90	8	2.5	18	25	29	32
92	8	3	22	26	-29	-32
93	8	3.25	-22	-26	28	-32
94	8	3.5	-22	-26	26	31
96	9	1	0	25	27	32
98	9	1.5	18	-25	-27	-32
100	9	2	21	0	30	-32
102	9	2.5	20	25	29	-32
103	9	2.75	-20	-25	28	-32
104	9	3	19	26	28	0
106	9	3.5	22	24	-28	0
107	9	3.75	-22	-24	27	0
108	10	1	-22	23	27	0
109	10	1.25	-22	-23	26	0
110	10	1.5	21	-23	28	32
112	10	2	24	22	-28	33
114	10	2.5	23	-22	24	31
115	10	2.75	22	-22	-24	-31
116	10	3	21	0	25	30
118	10	3.5	-21	25	-25	-30
119	10	3.75	20	-25	26	-30
120	11	1	18	-25	27	29
122	11	1.5	22	24	-27	-29
124	11	2	23	25	0	0
126	11	2.5	25	27	29	32
128	11	3	22	26	-29	-32
130	11	3.5	-22	-26	28	31
132	12	1	18	0	27	32
134	12	1.5	-18	29	25	34
136	12	2	0	-29	26	33
138	12	2.5	0	28	-26	-33
140	12	3	18	29	25	0
142	12	3.5	-18	27	-25	36
144	13	1	17	26	0	-36
146	13	1.5	-17	-26	0	35
148	13	2	20	0	29	36
150	13	2.5	19	25	-29	34
151	13	2.75	18	-25	30	-34
152	13	3	17	28	31	33
156	14	1	18	27	29	0
158	14	1.5	20	26	29	32
159	14	1.75	-20	25	-29	-32
160	14	2	19	24	-29	35
162	14	2.5	-19	-24	28	-35
164	14	3	18	25	30	34
166	14	3.5	-18	27	29	33
167	14	3.75	-18	-27	-29	32
168	15	1	0	-27	-29	31
170	15	1.5	24	26	28	35
172	15	2	-24	-26	26	-35
174	15	2.5	25	25	27	34
176	15	3	-25	27	25	-34
177	15	3.25	-25	-27	-25	33
178	15	3.5	23	28	-25	32
