**absq	**bar	**beat	**b7	**b7	**b7	**b7
0	1	1	25	25	29	32
8	1	3	22	26	31	31
12	2	1	25	27	-31	32
16	2	2	24	28	-31	33
22	2	3.5	-24	-28	-31	32
23	2	3.75	-24	-28	-31	33
24	3	1	20	29	31	34
32	3	3	24	28	31	33
36	4	1	25	27	29	32
38	4	1.5	24	28	31	33
40	4	2	22	29	-31	-33
41	4	2.25	-22	-29	30	32
42	4	2.5	25	27	29	32
44	4	3	22	26	-29	-32
45	4	3.25	-22	-26	28	-32
46	4	3.5	-22	-26	29	31
48	5	1	0	25	27	32
50	5	1.5	25	-25	30	-32
53	5	2.25	-25	0	29	0
54	5	2.5	24	0	29	0
56	5	3	23	25	-29	32
58	5	3.5	-23	-25	28	-32
60	6	1	22	26	29	31
62	6	1.5	24	-26	28	-31
66	6	2.5	23	27	31	34
67	6	2.75	22	-27	-31	-34
68	6	3	21	28	-31	-34
69	6	3.25	-21	-28	-31	33
69.5	6	3.375	-21	-28	-31	32
70	6	3.5	-21	-28	30	33
72	7	1	20	29	31	34
76	7	2	0	28	-31	33
78	7	2.5	24	-28	-31	33
80	7	3	-24	26	0	-33
82	7	3.5	23	27	24	32
83	7	3.75	22	-27	-24	31
84	8	1	21	28	25	30
86	8	1.5	-21	-28	26	-30
88	8	2	20	29	27	29
90	8	2.5	-20	-29	-27	31
92	8	3	23	25	-27	32
95	8	3.75	-23	-25	-27	33
96	9	1	22	29	31	34
98	9	1.5	24	28	-31	33
100	9	2	25	27	29	-33
101	9	2.25	-25	-27	-29	32
102	9	2.5	21	28	30	32
104	9	3	22	26	29	-32
106	9	3.5	-22	-26	-29	31
108	10	1	0	25	29	32
112	10	2	18	-25	-29	-32
118	10	3.5	20	-25	0	0
120	11	1	19	0	0	0
122	11	1.5	18	25	0	0
124	11	2	20	25	0	0
126	11	2.5	-20	27	0	0
128	11	3	21	26	0	0
130	11	3.5	-21	25	0	0
132	12	1	22	27	0	0
136	12	2	0	28	0	0
138	12	2.5	21	-28	0	0
140	12	3	25	29	0	0
142	12	3.5	25	-29	0	0
143	12	3.75	-25	29	0	0
144	13	1	24	29	0	0
146	13	1.5	-24	28	0	0
147	13	1.75	23	-28	0	0
148	13	2	22	27	0	0
150	13	2.5	21	26	0	0
152	13	3	22	-26	0	0
153	13	3.25	-22	25	0	0
154	13	3.5	20	25	0	0
156	14	1	19	-25	0	0
158	14	1.5	-19	24	0	0
160	14	2	18	25	0	0
166	14	3.5	-18	29	0	0
168	15	1	22	29	0	0
170	15	1.5	22	26	0	0
172	15	2	19	28	0	0
174	15	2.5	21	28	0	0
176	15	3	21	25	0	0
178	15	3.5	18	25	0	0
180	16	1	18	27	0	0
182	16	1.5	20	-27	0	0
183	16	1.75	-20	26	0	0
184	16	2	-20	24	0	0
185	16	2.25	19	-24	0	0
186	16	2.5	17	24	0	0
188	16	3	0	27	0	0
190	16	3.5	17	-27	0	0
190.667	16	3.66667	-17	28	0	0
192	17	1	20	29	0	0
196	17	2	21	28	0	0
198	17	2.5	22	27	0	0
200	17	3	-22	26	0	0
202	17	3.5	21	-26	0	0
203	17	3.75	-21	25	0	0
204	17	4	20	25	0	0
206	17	4.5	19	23	0	0
208	17	5	-19	24	0	0
210	18	1	18	25	29	0
214	18	2	-18	-25	30	0
216	18	2.5	22	0	31	0
220	18	3.5	23	0	30	0
222	18	4	24	0	29	0
224	18	4.5	-24	0	28	0
226	18	5	23	0	-28	0
227	18	5.25	-23	0	27	0
228	19	1	22	0	27	0
230	19	1.5	21	0	25	0
232	19	2	-21	0	26	0
234	19	2.5	20	0	27	0
240	19	4	21	26	0	0
244	19	5	21	26	0	0
246	20	1	22	27	0	0
248	20	1.5	-22	26	0	0
250	20	2	21	-26	0	0
251	20	2.25	-21	25	0	0
252	20	2.5	20	25	0	0
254	20	3	19	-25	0	0
256	20	3.5	-19	24	0	0
258	20	4	18	25	0	0
262	20	5	25	-25	0	0
264	21	1	24	28	31	33
268	21	2	24	28	31	33
270	21	2.5	20	29	31	34
274	21	3.5	24	28	31	33
276	21	4	25	27	29	32
278	21	4.5	22	26	-29	-32
279	21	4.75	-22	-26	-29	30
280	21	5	-22	-26	29	31
282	22	1	18	25	27	32
285	22	1.75	-18	-25	28	-32
286	22	2	-18	-25	29	32
288	22	2.5	0	0	25	34
291	22	3.25	0	0	26	35
292	22	3.5	0	0	27	36
294	22	4	0	0	28	32
297	22	4.75	0	0	-28	33
298	22	5	0	0	27	34
300	23	1	0	0	26	35
304	23	2	0	0	25	34
306	23	2.5	0	0	28	33
308	23	3	0	0	-28	32
310	23	3.5	0	0	26	-32
311	23	3.75	0	0	-26	31
312	23	4	0	0	27	31
314	23	4.5	0	0	25	-31
316	23	5	0	0	-25	30
318	24	1	0	28	24	31
321	24	1.75	0	27	-24	-31
322	24	2	0	28	-24	-31
324	24	2.5	21	26	0	0
327	24	3.25	20	-26	0	0
328	24	3.5	21	25	0	0
330	24	4	19	28	0	0
334	24	5	18	27	0	0
336	25	1	21	25	0	0
338	25	1.5	-21	26	0	0
340	25	2	20	-26	0	0
341	25	2.25	-20	25	0	0
342	25	2.5	18	25	0	0
344	25	3	19	-25	0	0
346	25	3.5	-19	24	0	0
348	25	4	18	25	27	0
352	25	5	-18	-25	25	0
354	26	1	20	0	29	0
357	26	1.75	-20	0	28	0
358	26	2	18	0	27	0
360	26	2.5	22	0	26	0
363	26	3.25	21	0	-26	0
364	26	3.5	20	0	25	0
366	26	4	19	0	28	0
370	26	5	18	0	27	0
372	27	1	21	0	26	0
375	27	1.75	22	0	27	0
376	27	2	23	0	28	0
378	27	2.5	24	0	29	0
380	27	3	-24	0	28	0
382	27	3.5	22	0	-28	0
383	27	3.75	-22	0	27	0
384	27	4	23	0	27	0
386	27	4.5	21	0	-27	0
388	27	5	-21	0	26	0
390	28	1	20	0	27	34
394	28	2	0	0	0	33
396	28	2.5	0	27	0	32
400	28	3.5	0	26	0	31
402	28	4	0	25	0	34
406	28	5	0	24	0	35
408	29	1	0	27	0	36
412	29	2	0	28	0	35
414	29	2.5	0	29	31	33
417	29	3.25	0	28	-31	-33
418	29	3.5	0	27	32	34
420	29	4	0	26	33	35
424	29	5	0	27	32	34
426	30	1	0	28	30	32
429	30	1.75	0	27	-30	-32
430	30	2	0	26	31	33
432	30	2.5	0	25	32	34
436	30	3.5	0	26	31	35
438	30	4	0	27	29	36
442	30	5	0	28	30	35
444	31	1	0	29	31	33
446	31	1.5	0	-29	-31	34
448	31	2	0	28	30	-34
449	31	2.25	0	-28	-30	33
450	31	2.5	0	26	-30	33
452	31	3	0	27	29	-33
454	31	3.5	0	-27	-29	32
456	31	4	0	26	30	33
462	32	1	0	26	30	0
465	32	1.75	0	-26	31	0
466	32	2	0	27	32	0
468	32	2.5	0	26	33	0
471	32	3.25	0	27	-33	0
472	32	3.5	0	28	32	0
474	32	4	0	29	31	33
477	32	4.75	0	-29	29	34
478	32	5	0	28	30	35
480	33	1	0	27	29	36
483	33	1.75	0	25	30	-36
484	33	2	0	26	31	35
486	33	2.5	0	25	32	34
488	33	3	0	28	30	33
491	33	3.75	0	-28	29	32
492	33	4	0	27	29	32
494	33	4.5	0	26	-29	-32
496	33	5	0	-26	28	31
498	34	1	0	25	29	32
502	34	2	0	-25	-29	32
504	34	2.5	18	25	29	34
507	34	3.25	-18	-25	-29	33
508	34	3.5	18	25	27	32
510	34	4	22	26	29	31
514	34	5	25	27	30	32
516	35	1	24	28	31	33
520	35	2	25	27	29	32
524	35	3	22	26	29	31
528	35	4	22	26	29	31
531	35	4.75	-22	27	-29	32
532	35	5	21	28	30	33
534	36	1	20	29	31	34
537	36	1.75	-20	-29	30	-34
538	36	2	24	28	31	33
540	36	2.5	25	27	29	32
542	36	3	24	28	31	33
545	36	3.75	-24	-28	30	32
546	36	4	25	27	29	32
548	36	4.5	22	26	-29	-32
549	36	4.75	-22	-26	28	-32
550	36	5	-22	-26	29	31
552	37	1	18	25	27	32
554	37	1.5	-18	-25	29	-32
558	37	2.5	-18	-25	29	-32
*-	*-	*-	*-	*-	*-	*-
