**absq	**bar	**beat	**b7	**b7	**b7
0	1	1	21	0	0
8	2	1	22	0	0
12	2	3	23	0	0
16	3	1	24	24	0
22	3	4	23	-24	0
23	3	4.5	22	-24	0
24	4	1	23	25	0
28	4	3	21	26	0
32	5	1	20	27	31
38	5	4	-20	26	-31
40	6	1	18	27	32
42	6	2	-18	28	-32
44	6	3	17	26	33
48	7	1	18	25	34
54	7	4	-18	-25	33
55	7	4.5	-18	-25	32
56	8	1	22	24	33
60	8	3	23	25	32
64	9	1	21	28	-32
68	9	3	-21	-28	35
70	9	4	22	27	-35
71	9	4.5	23	-27	-35
72	10	1	24	26	-35
74	10	2	25	25	34
76	10	3	24	26	33
78	10	4	23	27	32
80	11	1	24	26	33
84	11	3	23	25	34
88	12	1	24	24	33
92	12	3	21	23	32
96	13	1	22	24	-32
100	13	3	-22	-24	31
104	14	1	21	25	-31
106	14	2	-21	-25	30
107	14	2.5	-21	-25	29
108	14	3	-21	-25	30
112	15	1	17	24	31
115	15	2.5	18	-24	-31
116	15	3	19	-24	-31
118	15	4	20	-24	-31
122	16	2	19	0	0
124	16	3	20	0	0
126	16	4	21	0	0
128	17	1	22	24	33
132	17	3	22	-24	-33
134	17	4	22	-24	-33
136	18	1	-22	24	33
138	18	2	21	-24	-33
139	18	2.5	20	-24	-33
140	18	3	19	24	33
144	19	1	18	25	34
148	19	3	23	-25	-34
150	19	4	-23	26	33
151	19	4.5	-23	-26	32
152	20	1	22	27	31
156	20	3	20	-27	34
160	21	1	23	25	-34
164	21	3	-23	-25	32
168	22	1	21	28	-32
172	22	3	-21	-28	35
174	22	4	-21	27	-35
176	23	1	24	26	-35
178	23	2	-24	25	34
180	23	3	-24	24	33
182	23	4	23	25	32
183	23	4.5	-23	26	-32
184	24	1	22	27	31
186	24	2	21	-27	-31
188	24	3	20	-27	34
190	24	4	-20	26	-34
192	25	1	23	25	-34
194	25	2	-23	24	33
196	25	3	-23	23	32
198	25	4	22	24	31
200	26	1	21	25	30
202	26	2	20	-25	31
203	26	2.5	19	-25	-31
204	26	3	18	-25	32
206	26	4	-18	24	-32
208	27	1	21	23	-32
210	27	2	-21	22	31
212	27	3	-21	21	30
214	27	4	20	22	29
215	27	4.5	-20	23	-29
216	28	1	19	24	28
218	28	2	18	-24	29
219	28	2.5	-18	-24	30
220	28	3	17	22	31
222	28	4	20	-22	-31
224	29	1	-20	25	30
226	29	2	18	-25	32
227	29	2.5	-18	24	-32
228	29	3	-18	23	-32
229	29	3.5	19	-23	-32
230	29	4	20	22	31
232	30	1	21	21	30
234	30	2	18	20	29
236	30	3	19	21	-29
237	30	3.5	-19	-21	28
238	30	4	-19	-21	28
240	31	1	18	22	-28
242	31	2	-18	-22	27
244	31	3	19	21	28
248	32	1	17	-21	0
250	32	2	-17	22	0
251	32	2.5	-17	23	0
252	32	3	-17	24	28
254	32	4	20	-24	29
255	32	4.5	-20	-24	30
256	33	1	-20	22	31
258	33	2	18	23	-31
259	33	2.5	-18	24	-31
260	33	3	19	25	29
261	33	3.5	20	-25	-29
262	33	4	21	-25	30
263	33	4.5	-21	-25	31
264	34	1	-21	23	32
266	34	2	19	24	-32
267	34	2.5	-19	25	-32
268	34	3	20	26	30
269	34	3.5	21	-26	-30
270	34	4	22	-26	31
271	34	4.5	-22	-26	32
272	35	1	-22	24	33
274	35	2	20	25	-33
275	35	2.5	-20	26	-33
276	35	3	21	27	31
277	35	3.5	22	-27	-31
278	35	4	23	-27	32
279	35	4.5	-23	-27	33
280	36	1	-23	25	34
282	36	2	21	26	-34
283	36	2.5	-21	27	-34
284	36	3	22	28	32
285	36	3.5	23	-28	-32
286	36	4	24	-28	33
287	36	4.5	-24	-28	34
288	37	1	-24	26	35
290	37	2	22	27	-35
291	37	2.5	-22	28	-35
292	37	3	23	29	33
293	37	3.5	24	-29	-33
294	37	4	25	-29	34
296	38	1	26	28	35
298	38	2	25	27	36
300	38	3	21	28	-36
301	38	3.5	-21	-28	35
302	38	4	-21	-28	35
304	39	1	25	29	-35
306	39	2	-25	-29	34
308	39	3	21	0	35
312	40	1	-21	28	-35
314	40	2	20	-28	-35
316	40	3	19	-28	0
318	40	4	18	27	0
320	41	1	17	26	35
324	41	3	18	25	-35
326	41	4	-18	-25	34
328	42	1	19	28	33
332	42	3	20	27	32
334	42	4	19	-27	-32
335	42	4.5	18	-27	-32
336	43	1	17	26	35
340	43	3	18	25	34
342	43	4	-18	-25	32
344	44	1	0	28	33
346	44	2	17	-28	-33
348	44	3	18	27	32
352	45	1	19	26	35
356	45	3	21	-26	-35
358	45	4	-21	27	34
359	45	4.5	-21	28	33
360	46	1	20	29	34
362	46	2	-20	-29	33
364	46	3	-20	-29	32
366	46	4	-20	-29	31
368	47	1	21	28	30
380	48	3	-21	28	30
384	49	1	0	-28	30
388	49	3	21	28	30
392	50	1	20	29	29
396	50	3	21	28	30
400	51	1	22	-28	31
402	51	2	-22	27	-31
403	51	2.5	-22	26	-31
404	51	3	-22	27	-31
406	51	4	-22	-27	30
407	51	4.5	-22	-27	29
408	52	1	21	28	30
412	52	3	-21	21	0
414	52	4	-21	-21	30
416	53	1	20	22	29
418	53	2	-20	-22	31
420	53	3	21	23	30
422	53	4	23	-23	32
424	54	1	22	24	31
426	54	2	24	-24	33
428	54	3	23	25	32
430	54	4	25	-25	34
432	55	1	24	26	33
434	55	2	26	-26	35
436	55	3	27	25	-35
438	55	4	25	-25	34
440	56	1	24	28	33
442	56	2	-24	-28	32
443	56	2.5	-24	-28	31
444	56	3	23	-28	32
446	56	4	-23	27	-32
448	57	1	-23	26	31
450	57	2	24	25	-31
451	57	2.5	-24	24	-31
452	57	3	22	25	34
454	57	4	23	-25	-34
455	57	4.5	21	-25	-34
456	58	1	20	24	-34
458	58	2	21	-24	33
459	58	2.5	22	-24	-33
460	58	3	23	27	32
462	58	4	24	-27	31
464	59	1	21	-27	30
466	59	2	-21	26	-30
468	59	3	22	25	31
470	59	4	-22	24	-31
472	60	1	21	23	32
476	60	3	17	24	31
480	61	1	21	25	-31
484	61	3	21	-25	30
488	62	1	17	24	31
*-	*-	*-	*-	*-	*-
