**absq	**bar	**beat	**b7	**b7	**b7
0	1	1	22	22	0
4	1	3	21	25	0
8	2	1	20	25	0
10	2	2	21	26	0
14	2	4	20	26	0
15	2	4.5	19	-26	0
16	3	1	18	27	29
20	3	3	0	-27	32
22	3	4	25	-27	-32
24	4	1	-25	0	32
26	4	2	22	0	33
28	4	3	24	26	-33
30	4	4	-24	-26	33
32	5	1	25	29	34
38	5	4	24	-29	34
39	5	4.5	23	-29	-34
40	6	1	22	29	34
42	6	2	25	-29	-34
44	6	3	21	30	35
46	6	4	25	-30	34
48	7	1	26	28	-34
49	7	1.5	-26	-28	33
50	7	2	24	27	33
51	7	2.5	-24	26	-33
52	7	3	23	27	-33
54	7	4	-23	-27	32
56	8	1	0	26	33
58	8	2	24	-26	-33
60	8	3	24	28	-33
64	9	1	24	28	0
66	9	2	-24	-28	33
68	9	3	24	28	33
72	10	1	-24	28	33
76	10	3	23	0	32
78	10	4	-23	28	-32
80	11	1	21	30	0
82	11	2	-21	30	35
84	11	3	25	29	35
86	11	4	-25	-29	34
88	12	1	26	28	35
92	12	3	25	29	34
94	12	4	22	-29	33
95	12	4.5	-22	28	-33
96	13	1	23	27	-33
97	13	1.5	-23	-27	32
98	13	2	-23	25	32
100	13	3	22	26	-32
102	13	4	-22	-26	31
104	14	1	0	25	32
106	14	2	23	-25	-32
107	14	2.5	-23	26	-32
108	14	3	-23	27	0
109	14	3.5	-23	28	0
110	14	4	22	29	31
112	15	1	25	-29	30
114	15	2	21	28	-30
116	15	3	25	28	29
118	15	4	-25	27	-29
120	16	1	21	28	28
126	16	4	-21	-28	30
128	17	1	-21	0	30
132	17	3	-21	28	30
136	18	1	25	29	29
139	18	2.5	-25	-29	30
140	18	3	22	-29	31
141	18	3.5	-22	-29	32
142	18	4	24	28	33
144	19	1	25	27	-33
145	19	1.5	-25	-27	32
146	19	2	24	26	32
147	19	2.5	23	25	-32
148	19	3	22	26	-32
150	19	4	-22	26	31
152	20	1	23	25	32
154	20	2	24	28	33
156	20	3	22	-28	-33
158	20	4	-22	27	32
159	20	4.5	-22	26	31
160	21	1	21	28	30
176	22	1	0	0	0
180	22	3	21	28	30
184	23	1	21	28	30
188	23	3	21	28	30
190	23	4	25	27	29
193	24	1.5	24	-27	-29
194	24	2	23	26	32
195	24	2.5	-23	25	-32
196	24	3	22	26	-32
198	24	4	-22	-26	31
200	25	1	0	25	32
202	25	2	25	-25	-32
206	25	4	24	25	-32
207	25	4.5	23	-25	-32
208	26	1	22	26	0
210	26	2	21	-26	0
212	26	3	22	27	0
216	27	1	21	28	32
220	27	3	24	-28	33
222	27	4	-24	27	-33
223	27	4.5	-24	26	-33
224	28	1	23	25	34
226	28	2	25	-25	-34
228	28	3	24	26	35
230	28	4	25	27	-35
232	29	1	26	28	34
234	29	2	22	29	33
236	29	3	23	27	-33
238	29	4	-23	-27	32
240	30	1	19	26	33
244	30	3	0	28	-33
246	30	4	26	-28	-33
248	31	1	-26	27	0
250	31	2	25	26	0
251	31	2.5	-25	25	0
252	31	3	-25	26	35
254	31	4	24	26	-35
256	32	1	25	25	34
258	32	2	23	-25	33
259	32	2.5	-23	-25	32
260	32	3	24	0	33
262	32	4	-24	28	33
264	33	1	23	28	32
266	33	2	25	27	-32
268	33	3	24	28	0
270	33	4	23	29	29
271	33	4.5	22	-29	-29
272	34	1	21	30	32
274	34	2	-21	-30	32
276	34	3	0	29	33
278	34	4	25	-29	34
279	34	4.5	-25	28	-34
279.5	34	4.75	-25	27	-34
280	35	1	24	26	35
281	35	1.5	-24	27	-35
282	35	2	26	28	-35
283	35	2.5	-26	29	34
284	35	3	-26	30	35
285	35	3.5	23	-30	-35
286	35	4	25	29	34
288	36	1	22	-29	-34
289	36	1.5	-22	28	33
290	36	2	24	27	33
291	36	2.5	-24	26	-33
292	36	3	23	27	-33
294	36	4	-23	-27	32
296	37	1	19	26	33
*-	*-	*-	*-	*-	*-
