**absq	**bar	**beat	**b7	**b7	**b7	**b7
0	1	1	0	0	0	31
4	1	3	0	0	0	35
10	2	2	0	0	0	36
12	2	3	0	0	28	37
16	3	1	0	0	31	38
20	3	3	0	0	-31	36
22	3	4	0	0	32	-36
24	4	1	0	0	33	35
28	4	3	0	0	34	38
32	5	1	0	0	32	37
34	5	2	0	0	-32	36
36	5	3	0	0	31	-36
37	5	3.5	0	0	-31	35
38	5	4	0	0	-31	35
39	5	4.5	0	0	-31	34
39.5	5	4.75	0	0	-31	35
40	6	1	0	0	34	36
44	6	3	0	0	33	35
46	6	4	0	0	32	34
48	7	1	0	0	-32	33
50	7	2	0	0	31	36
52	7	3	0	0	32	-36
54	7	4	0	0	29	35
55	7	4.5	0	0	30	34
56	8	1	0	24	31	33
57	8	1.5	0	-24	32	34
58	8	2	0	-24	33	35
60	8	3	0	28	-33	-35
62	8	4	0	-28	32	34
63	8	4.5	0	-28	31	33
64	9	1	0	-28	30	32
66	9	2	0	29	31	31
68	9	3	21	30	32	35
72	10	1	24	31	33	35
74	10	2	-24	-31	33	35
76	10	3	-24	29	-33	-35
77	10	3.5	-24	-29	-33	34
78	10	4	25	-29	32	34
79	10	4.5	-25	-29	31	33
79.5	10	4.75	-25	-29	-31	34
80	11	1	26	28	30	35
84	11	3	27	31	29	34
88	12	1	25	30	27	-34
90	12	2	-25	29	-27	34
92	12	3	24	-29	31	33
93	12	3.5	-24	28	-31	-33
94	12	4	-24	28	-31	-33
95	12	4.5	-24	27	-31	-33
95.5	12	4.75	-24	28	-31	-33
96	13	1	27	29	-31	0
100	13	3	26	28	0	0
102	13	4	25	27	0	0
104	14	1	-25	26	0	0
105	14	1.5	24	-26	0	0
106	14	2	24	29	0	0
107	14	2.5	23	-29	0	0
107.5	14	2.75	24	-29	0	0
108	14	3	25	-29	0	0
109	14	3.5	-25	28	0	0
110	14	4	-25	27	0	36
112	15	1	24	26	0	-36
113	15	1.5	-24	25	0	-36
114	15	2	23	28	0	37
116	15	3	22	-28	0	38
117	15	3.5	-22	27	0	-38
118	15	4	-22	27	0	38
119	15	4.5	-22	26	0	-38
119.5	15	4.75	-22	27	0	-38
120	16	1	21	28	0	37
122	16	2	-21	-28	32	-37
124	16	3	0	0	-32	36
126	16	4	0	29	33	38
128	17	1	0	-29	34	-38
130	17	2	0	30	34	37
131	17	2.5	0	-30	-34	36
132	17	3	0	31	33	35
134	17	4	0	31	-33	-35
136	18	1	0	30	32	0
138	18	2	0	29	31	38
140	18	3	0	-29	32	-38
142	18	4	0	28	-32	37
144	19	1	0	29	31	36
146	19	2	25	27	34	-36
147	19	2.5	-25	28	-34	-36
148	19	3	-25	29	-34	-36
149	19	3.5	-25	30	-34	-36
150	19	4	26	31	33	35
152	20	1	27	-31	-33	36
154	20	2	27	30	32	36
155	20	2.5	-27	29	-32	-36
156	20	3	26	30	33	35
158	20	4	-26	-30	26	-35
160	21	1	25	0	27	34
162	21	2	24	31	28	33
164	21	3	25	-31	-28	34
166	21	4	-25	30	27	-34
167	21	4.5	-25	-30	-27	33
167.5	21	4.75	-25	-30	-27	32
168	22	1	24	29	31	33
170	22	2	-24	28	-31	-33
172	22	3	0	29	0	-33
174	22	4	0	29	31	32
175	22	4.5	0	-29	-31	31
176	23	1	0	28	-31	32
178	23	2	0	-28	30	-32
180	23	3	0	0	29	31
182	23	4	24	26	28	33
184	24	1	-24	24	-28	-33
186	24	2	23	25	28	32
188	24	3	22	26	29	31
189	24	3.5	-22	27	-29	-31
190	24	4	21	28	30	32
191	24	4.5	-21	26	-30	-32
192	25	1	22	27	29	-32
193	25	1.5	-22	26	-29	-32
194	25	2	22	25	27	31
195	25	2.5	-22	24	-27	-31
196	25	3	21	25	28	-31
198	25	4	-21	-25	-28	30
200	26	1	0	24	-28	31
202	26	2	26	-24	-28	-31
206	26	4	24	-24	26	-31
208	27	1	28	-24	-26	-31
210	27	2	-28	-24	24	-31
211	27	2.5	27	-24	-24	-31
212	27	3	26	0	28	0
213	27	3.5	25	0	-28	0
214	27	4	24	0	-28	0
215	27	4.5	-24	0	27	0
216	28	1	-24	28	26	0
218	28	2	23	-28	25	0
220	28	3	22	29	-25	31
222	28	4	-22	-29	24	-31
224	29	1	21	30	28	32
228	29	3	24	28	0	33
229	29	3.5	-24	27	0	-33
230	29	4	-24	26	28	-33
231	29	4.5	23	25	-28	-33
232	30	1	22	26	29	31
233	30	1.5	21	-26	-29	-31
234	30	2	22	-26	-29	-31
236	30	3	21	-26	30	35
238	30	4	-21	25	28	-35
240	31	1	20	27	31	36
242	31	2	22	26	-31	-36
244	31	3	21	28	32	37
248	32	1	24	0	33	35
250	32	2	-24	26	-33	38
252	32	3	25	27	32	37
254	32	4	-25	-27	-32	36
256	33	1	26	28	30	-36
258	33	2	-26	-28	33	35
259	33	2.5	-26	-28	-33	34
260	33	3	24	26	-33	35
261	33	3.5	-24	-26	32	-35
262	33	4	-24	26	31	-35
264	34	1	25	27	-31	34
266	34	2	-25	-27	30	-34
268	34	3	24	28	31	33
270	34	4	21	-28	30	32
272	35	1	22	26	29	-32
273	35	1.5	-22	-26	-29	31
274	35	2	20	27	-29	31
276	35	3	21	25	28	-31
278	35	4	-21	-25	-28	30
280	36	1	24	24	28	31
281	36	1.5	-24	25	-28	-31
282	36	2	-24	26	-28	-31
283	36	2.5	25	27	-28	-31
284	36	3	26	28	0	0
285	36	3.5	27	29	0	0
286	36	4	28	30	0	0
287	36	4.5	26	31	0	0
288	37	1	27	32	0	0
289	37	1.5	26	30	0	0
290	37	2	25	31	0	0
291	37	2.5	24	-31	0	0
292	37	3	25	-31	0	0
293	37	3.5	-25	30	0	0
294	37	4	-25	30	0	0
295	37	4.5	-25	29	0	0
295.5	37	4.75	-25	30	0	0
296	38	1	24	31	0	35
300	38	3	-24	0	31	-35
302	38	4	-24	0	-31	35
304	39	1	0	0	-31	35
306	39	2	0	0	31	-35
308	39	3	0	0	31	38
312	40	1	0	0	34	36
314	40	2	0	0	-34	36
316	40	3	0	28	32	37
318	40	4	0	-28	32	-37
320	41	1	24	-28	33	35
322	41	2	-24	28	-33	38
