**absq	**bar	**beat	**b7	**b7	**b7	**b7
0	1	1	23	23	27	30
8	2	1	23	25	27	30
16	3	1	19	26	28	30
24	4	1	21	25	28	30
28	4	3	-21	23	25	-30
30	4	4	20	-23	-25	-30
32	5	1	19	-23	26	28
34	5	2	-19	21	-26	-28
36	5	3	-19	23	28	-28
40	6	1	18	25	-28	29
42	6	2	-18	-25	27	-29
43	6	2.5	-18	-25	26	-29
44	6	3	-18	-25	27	-29
48	7	1	21	25	28	30
54	7	4	-21	25	-28	-30
56	8	1	0	26	0	-30
58	8	2	0	28	0	-30
62	8	4	0	27	25	-30
64	9	1	0	28	26	0
66	9	2	0	21	28	0
68	9	3	0	25	-28	0
70	9	4	0	-25	27	0
72	10	1	0	26	28	0
74	10	2	0	-26	-28	28
75	10	2.5	0	-26	27	-28
75.5	10	2.75	0	-26	26	-28
76	10	3	0	25	27	29
78	10	4	0	24	28	31
80	11	1	0	25	27	-31
82	11	2	21	-25	28	30
84	11	3	22	24	26	31
86	11	4	24	-24	-26	28
88	12	1	-24	0	28	32
90	12	2	23	25	-28	-32
92	12	3	24	26	31	28
94	12	4	21	28	30	-28
96	13	1	25	-28	32	0
98	13	2	-25	27	-32	29
100	13	3	21	28	32	30
102	13	4	-21	25	28	32
104	14	1	0	29	27	-32
106	14	2	22	-29	26	31
108	14	3	23	25	30	32
110	14	4	21	-25	-30	-32
111	14	4.5	-21	-25	29	31
112	15	1	-21	0	28	30
114	15	2	20	22	29	29
116	15	3	21	23	25	28
118	15	4	18	25	27	29
120	16	1	22	-25	26	29
122	16	2	-22	24	26	-29
124	16	3	18	25	27	27
126	16	4	-18	22	29	-27
128	17	1	0	26	-29	30
130	17	2	19	-26	28	-30
132	17	3	20	22	29	29
134	17	4	22	-22	-29	31
135	17	4.5	-22	-22	29	-31
136	18	1	-22	26	22	-31
138	18	2	21	-26	23	30
140	18	3	22	0	24	29
142	18	4	18	22	25	-29
144	19	1	21	23	-25	28
145	19	1.5	-21	-23	24	-28
146	19	2	-21	25	23	-28
147	19	2.5	20	-25	22	-28
148	19	3	19	-25	21	0
150	19	4	-19	24	-21	26
152	20	1	18	25	22	27
154	20	2	-18	22	-22	29
156	20	3	19	24	0	-29
158	20	4	-19	23	26	28
160	21	1	18	25	27	29
162	21	2	-18	-25	29	25
163	21	2.5	-18	24	-29	-25
164	21	3	-18	23	-29	27
166	21	4	19	-23	28	26
168	22	1	20	22	29	25
170	22	2	21	23	25	28
172	22	3	18	22	27	29
174	22	4	22	24	26	31
176	23	1	23	25	25	-31
177	23	1.5	-23	21	-25	30
178	23	2	21	28	-25	30
180	23	3	24	-28	26	-30
181	23	3.5	-24	27	-26	-30
182	23	4	-24	26	-26	29
184	24	1	23	-26	27	30
186	24	2	-23	25	-27	-30
188	24	3	19	28	0	30
190	24	4	-19	-28	26	-30
191	24	4.5	-19	27	-26	-30
192	25	1	-19	26	28	-30
194	25	2	-19	-26	-28	28
196	25	3	0	25	-28	29
198	25	4	0	-25	27	-29
200	26	1	19	0	26	30
204	26	3	21	0	25	-30
208	27	1	-21	0	26	0
210	27	2	20	0	27	0
212	27	3	19	23	28	0
216	28	1	18	25	27	0
220	28	3	22	-25	26	29
222	28	4	-22	24	-26	-29
224	29	1	0	23	27	32
226	29	2	0	-23	25	-32
228	29	3	0	22	26	-32
230	29	4	0	-22	-26	31
231	29	4.5	0	-22	27	-31
232	30	1	19	26	28	30
236	30	3	21	25	28	30
239	30	4.5	-21	-25	27	-30
240	31	1	-21	22	25	29
241	31	1.5	-21	-22	26	-29
242	31	2	20	-22	27	-29
244	31	3	19	26	28	30
246	31	4	-19	-26	-28	31
248	32	1	18	27	29	32
250	32	2	-18	25	-29	-32
251	32	2.5	-18	-25	-29	31
252	32	3	21	-25	28	30
254	32	4	22	24	27	29
256	33	1	23	25	-27	-29
257	33	1.5	-23	-25	26	-29
258	33	2	-23	-25	25	28
260	33	3	22	26	-25	29
262	33	4	-22	-26	24	-29
264	34	1	18	27	25	-29
268	34	3	0	26	28	0
272	35	1	21	25	-28	30
274	35	2	-21	-25	28	-30
276	35	3	-21	-25	28	-30
278	35	4	21	25	-28	30
280	36	1	21	25	-28	30
284	36	3	18	25	27	29
288	37	1	21	25	0	0
290	37	2	-21	26	0	28
292	37	3	25	27	0	29
294	37	4	23	28	25	30
296	38	1	22	29	26	31
298	38	2	-22	-29	27	-31
300	38	3	21	25	28	30
304	39	1	18	-25	27	0
306	39	2	-18	-25	-27	29
308	39	3	22	24	0	31
310	39	4	-22	-24	26	-31
312	40	1	19	26	28	30
314	40	2	21	25	-28	-30
316	40	3	18	25	27	29
318	40	4	-18	-25	-27	29
320	41	1	22	24	26	31
322	41	2	-22	26	29	-31
324	41	3	19	-26	28	-31
326	41	4	21	25	-28	30
328	42	1	22	24	26	29
332	42	3	19	23	26	28
342	43	4	-19	-23	-26	28
344	44	1	-19	0	-26	28
346	44	2	-19	24	-26	-28
348	44	3	0	24	0	26
352	45	1	0	22	0	29
355	45	2.5	0	-22	0	28
356	45	3	0	25	0	27
358	45	4	0	-25	0	26
359	45	4.5	0	24	0	-26
360	46	1	0	23	0	27
