**absq	**bar	**beat	**b7	**b7	**b7	**b7	**b7
0	104	1	0	0	28	32	37
4	104	3	0	0	32	34	36
7	104	4.5	0	0	32	34	36
8	105	1	0	0	32	34	37
10	105	2	0	0	33	35	38
12	105	3	0	0	32	34	37
14	105	4	0	0	31	33	36
16	106	1	21	28	30	32	37
19	106	2.5	-21	-28	29	-32	-37
19.5	106	2.75	-21	-28	28	-32	-37
20	106	3	25	29	27	-32	0
23	106	4.5	25	29	-27	-32	0
24	107	1	25	30	-27	0	0
26	107	2	26	31	28	0	0
28	107	3	25	30	27	0	0
30	107	4	24	29	26	33	0
32	108	1	23	30	27	32	0
34	108	2	25	29	-27	-32	0
35	108	2.5	-25	-29	-27	31	0
36	108	3	28	30	0	30	32
37	108	3.5	-28	31	0	-30	-32
38	108	4	27	32	0	29	-32
40	109	1	26	-32	0	28	35
42	109	2	-26	31	0	-28	-35
43	109	2.5	-26	-31	0	29	-35
44	109	3	25	32	0	30	-35
45	109	3.5	-25	-32	0	31	-35
46	109	4	-25	-32	29	32	34
47	109	4.5	-25	-32	-29	-32	33
48	110	1	0	0	32	30	34
50	110	2	0	0	31	33	35
52	110	3	0	0	30	-33	-35
53	110	3.5	0	0	-30	32	34
54	110	4	0	0	-30	32	32
56	111	1	0	0	29	-32	33
58	111	2	0	29	-29	31	33
60	111	3	25	-29	0	32	34
62	111	4	-25	27	29	-32	-34
64	112	1	-25	29	27	-32	0
66	112	2	23	28	30	-32	0
68	112	3	25	27	-30	0	0
70	112	4	24	26	29	0	0
72	113	1	23	27	30	0	0
74	113	2	22	29	31	0	0
76	113	3	23	-29	32	0	0
77	113	3.5	-23	28	-32	0	0
78	113	4	-23	28	-32	0	0
80	114	1	22	-28	31	0	0
82	114	2	-22	27	-31	0	0
83	114	2.5	22	-27	31	0	0
84	114	3	21	28	30	0	0
86	114	4	-21	-28	30	0	39
88	115	1	-21	-28	-30	32	-39
90	115	2	-21	-28	28	-32	37
92	115	3	-21	-28	30	-32	39
94	115	4	-21	-28	-30	30	-39
95	115	4.5	-21	-28	29	-30	38
96	116	1	0	0	28	32	37
98	116	2	0	33	29	31	36
100	116	3	0	33	26	30	35
102	116	4	0	32	27	29	36
103	116	4.5	0	-32	26	-29	-36
103.5	116	4.75	0	-32	27	-29	-36
104	117	1	0	32	28	30	-36
105	117	1.5	0	-32	-28	-30	35
106	117	2	0	-32	28	-30	35
108	117	3	0	-32	25	29	-35
110	117	4	25	32	-25	-29	34
111	117	4.5	-25	-32	-25	-29	33
112	118	1	-25	32	0	-29	34
114	118	2	25	-32	32	29	34
116	118	3	21	0	-32	28	35
118	118	4	-21	25	32	30	-35
120	119	1	23	25	28	30	-35
122	119	2	24	26	-28	35	-35
124	119	3	25	27	30	34	0
126	119	4	26	28	31	33	0
128	120	1	27	25	29	32	0
130	120	2	28	26	28	31	0
132	120	3	-28	25	29	32	0
134	120	4	27	-25	-29	-32	36
135	120	4.5	26	-25	-29	-32	-36
136	121	1	27	25	-29	32	-36
138	121	2	-27	-25	-29	-32	36
140	121	3	28	0	30	0	32
142	121	4	-28	0	28	32	-32
143	121	4.5	27	0	-28	-32	-32
143.5	121	4.75	26	0	-28	-32	-32
144	122	1	25	0	29	-32	34
145	122	1.5	-25	0	-29	31	-34
146	122	2	21	0	30	30	35
148	122	3	22	0	31	29	33
150	122	4	23	0	32	27	32
152	123	1	22	0	-32	29	33
154	123	2	-22	29	31	-29	-33
156	123	3	25	-29	32	27	32
158	123	4	-25	29	29	-27	-32
160	124	1	-25	25	-29	-27	0
162	124	2	-25	-25	29	-27	39
164	124	3	0	27	25	29	-39
165	124	3.5	0	-27	-25	-29	38
166	124	4	21	28	25	30	37
168	125	1	22	26	0	31	36
170	125	2	23	25	25	32	35
172	125	3	22	26	29	-32	36
174	125	4	-22	-26	29	31	-36
176	126	1	25	25	29	32	34
*-	*-	*-	*-	*-	*-	*-	*-
