**absq	**bar	**beat	**b7	**b7	**b7	**b7	**b7	**b7
0	153	1	28	21	30	28	0	0
2	153	2	-28	28	32	-28	35	37
4	153	3	0	28	32	0	35	37
6	153	4	0	28	30	0	35	39
8	154	1	0	24	33	0	35	38
12	154	3	0	28	32	0	35	37
14	154	4	0	25	32	0	34	36
16	155	1	0	26	30	0	33	35
18	155	2	0	-26	31	0	-33	-35
19	155	2.5	0	26	-31	0	33	35
20	155	3	0	25	32	0	29	34
22	155	4	25	25	-32	27	29	-34
24	156	1	25	27	0	29	32	0
26	156	2	25	27	0	29	32	0
28	156	3	21	28	0	30	32	0
31	156	4.5	21	28	0	30	32	0
32	157	1	25	27	0	29	32	0
34	157	2	22	26	0	29	31	0
36	157	3	23	25	0	27	32	0
38	157	4	-23	-25	0	28	-32	0
39	157	4.5	23	25	0	-28	32	0
40	158	1	22	26	0	29	31	0
42	158	2	-22	29	31	-29	33	36
44	158	3	0	28	32	0	35	37
46	158	4	0	-28	30	0	32	-37
47	158	4.5	0	27	-30	0	-32	36
48	159	1	0	26	31	0	33	35
50	159	2	0	25	32	0	34	34
52	159	3	0	24	33	0	35	33
54	159	4	0	-24	31	0	-35	-33
55	159	4.5	0	25	-31	0	34	34
56	160	1	0	26	-31	0	33	35
57	160	1.5	0	-26	30	0	-33	-35
58	160	2	0	23	30	0	32	34
60	160	3	0	24	-30	0	35	33
62	160	4	0	-24	29	0	34	-33
63	160	4.5	0	-24	-29	0	33	-33
64	161	1	0	23	30	0	35	-33
66	161	2	0	-23	-30	0	34	32
68	161	3	23	0	30	27	32	34
71	161	4.5	23	0	30	27	32	34
72	162	1	23	0	30	27	32	34
74	162	2	23	0	30	27	32	34
76	162	3	26	0	30	26	33	35
80	163	1	22	0	31	26	33	36
82	163	2	25	0	32	27	29	34
84	163	3	-25	0	-32	29	-29	-34
86	163	4	23	0	32	28	30	35
88	164	1	22	0	33	-28	31	36
89	164	1.5	-22	0	-33	27	-31	-36
89.5	164	1.75	-22	0	-33	26	-31	-36
90	164	2	-22	0	29	27	-31	-36
92	164	3	21	0	0	28	30	37
94	164	4	-21	28	32	30	35	-37
96	165	1	0	-28	33	-30	35	0
98	165	2	0	29	-33	31	33	0
100	165	3	0	27	29	-31	-33	0
101	165	3.5	0	-27	-29	-31	32	0
102	165	4	0	-27	-29	29	32	0
104	166	1	0	26	30	-29	33	0
106	166	2	0	-26	-30	28	-33	0
108	166	3	25	0	32	27	29	36
111	166	4.5	25	0	32	27	29	36
112	167	1	25	25	32	27	29	36
114	167	2	25	-25	32	27	29	36
115	167	2.5	-25	25	-32	-27	-29	-36
116	167	3	21	25	30	28	32	37
118	167	4	-21	25	-30	-28	-32	-37
119	167	4.5	-21	-25	-30	29	-32	-37
120	168	1	21	28	-30	30	-32	35
121	168	1.5	-21	-28	-30	31	-32	-35
122	168	2	-21	-28	-30	32	-32	-35
123	168	2.5	-21	-28	-30	30	-32	-35
124	168	3	24	26	28	31	33	-35
128	169	1	22	0	29	-31	-33	38
130	169	2	-22	29	-29	31	-33	-38
131	169	2.5	23	-29	-29	-31	-33	-38
132	169	3	24	-29	26	33	0	-38
133	169	3.5	25	-29	-26	-33	0	-38
134	169	4	26	28	33	-33	30	37
135	169	4.5	-26	-28	-33	32	-30	-37
136	170	1	22	29	-33	31	33	36
137	170	1.5	-22	-29	32	-31	-33	-36
138	170	2	-22	-29	31	29	-33	-36
139	170	2.5	-22	-29	30	-29	-33	-36
140	170	3	-22	26	29	31	33	-36
144	171	1	19	-26	28	30	33	37
146	171	2	-19	-26	30	26	-33	-37
148	171	3	0	0	31	29	33	0
150	171	4	0	0	-31	-29	-33	33
152	172	1	0	0	32	25	34	36
154	172	2	0	0	-32	32	-34	-36
155	172	2.5	0	0	31	-32	-34	-36
156	172	3	0	0	30	32	34	32
157	172	3.5	0	0	-30	31	-34	-32
158	172	4	0	0	-30	30	-34	39
159	172	4.5	0	0	-30	29	-34	-39
160	173	1	0	0	30	28	0	39
161	173	1.5	0	0	-30	-28	0	38
162	173	2	0	0	-30	-28	35	37
163	173	2.5	0	0	31	-28	-35	36
164	173	3	0	0	32	-28	35	37
165	173	3.5	0	0	-32	-28	34	36
166	173	4	0	0	33	28	33	35
167	173	4.5	0	0	-33	-28	32	34
168	174	1	0	0	-33	29	31	33
170	174	2	0	0	31	-29	33	36
172	174	3	0	0	32	30	-33	34
174	174	4	0	0	-32	-30	32	35
175	174	4.5	0	0	-32	30	-32	-35
176	175	1	22	0	33	29	-32	36
178	175	2	-22	26	-33	-29	31	-36
179	175	2.5	-22	-26	33	-29	-31	-36
180	175	3	25	27	32	29	32	-36
182	175	4	-25	-27	-32	-29	29	-36
184	176	1	21	28	0	30	32	0
186	176	2	28	30	28	-30	-32	0
188	176	3	28	30	30	32	28	0
189	176	3.5	27	29	-30	-32	-28	0
190	176	4	26	28	-30	33	35	0
191	176	4.5	25	27	-30	-33	-35	0
192	177	1	24	26	31	33	35	0
193	177	1.5	-24	-26	-31	32	34	0
194	177	2	-24	-26	-31	31	33	0
195	177	2.5	-24	-26	-31	30	32	0
196	177	3	-24	-26	-31	29	33	0
197	177	3.5	-24	-26	-31	-29	32	0
198	177	4	24	26	33	28	33	0
198.5	177	4.25	-24	-26	-33	-28	32	0
199	177	4.5	-24	-26	-33	-28	31	0
199.5	177	4.75	-24	-26	-33	-28	30	0
200	178	1	25	27	32	27	29	0
201	178	1.5	-25	25	-32	-27	-29	0
202	178	2	26	28	31	26	28	0
204	178	3	25	-28	32	27	29	0
206	178	4	-25	27	-32	25	29	36
207	178	4.5	-25	-27	32	-25	-29	-36
208	179	1	21	28	32	-25	28	37
210	179	2	-21	-28	30	28	32	-37
212	179	3	24	26	31	-28	33	35
214	179	4	-24	-26	-31	26	-33	35
216	180	1	22	29	-31	26	33	38
218	180	2	22	-29	-31	29	33	36
220	180	3	25	27	29	-29	32	-36
221	180	3.5	-25	-27	-29	28	-32	-36
222	180	4	-25	25	29	27	29	39
223	180	4.5	24	-25	-29	26	-29	-39
224	181	1	23	27	32	25	30	-39
225	181	1.5	22	-27	-32	-25	-30	38
226	181	2	21	28	-32	-25	-30	37
227	181	2.5	-21	-28	31	-25	31	36
228	181	3	-21	25	30	28	32	35
230	181	4	21	-25	30	-28	32	35
231	181	4.5	-21	26	-30	-28	-32	-35
232	182	1	25	27	29	27	32	36
233	182	1.5	-25	28	-29	-27	-32	-36
234	182	2	-25	29	25	-27	-32	-36
236	182	3	25	-29	27	-27	29	-36
237	182	3.5	-25	29	-27	-27	-29	-36
238	182	4	25	27	-27	25	32	-36
239	182	4.5	-25	-27	28	-25	-32	-36
240	183	1	22	26	29	26	-32	36
242	183	2	-22	-26	-29	29	31	-36
243	183	2.5	-22	-26	-29	-29	30	-36
244	183	3	-22	-26	29	-29	31	-36
246	183	4	-22	-26	-29	26	-31	-36
248	184	1	25	25	29	27	32	36
*-	*-	*-	*-	*-	*-	*-	*-	*-
