**absq	**bar	**beat	**b7	**b7	**b7	**b7
0	87	1	22	31	29	33
3	87	2.5	-22	32	-29	-33
4	87	3	0	33	0	0
6	87	4	22	29	31	33
8	88	1	26	-29	30	33
10	88	2	-26	28	-30	-33
12	88	3	29	29	31	33
13	88	3.5	-29	30	-31	-33
14	88	4	-29	31	-31	-33
15	88	4.5	-29	-31	32	-33
16	89	1	28	-31	33	35
18	89	2	-28	30	32	-35
20	89	3	26	33	-32	35
21	89	3.5	-26	-33	31	-35
22	89	4	-26	-33	31	-35
24	90	1	28	32	30	35
26	90	2	-28	31	33	-35
28	90	3	-28	-31	32	-35
29	90	3.5	-28	30	-32	-35
29.5	90	3.75	-28	29	-32	-35
30	90	4	-28	30	-32	-35
32	91	1	29	31	0	33
34	91	2	-29	-31	31	33
36	91	3	0	0	30	32
38	91	4	0	0	29	31
40	92	1	0	0	32	30
43	92	2.5	0	0	31	31
44	92	3	0	0	30	32
46	92	4	0	0	26	33
47	92	4.5	0	0	27	-33
48	93	1	26	0	28	-33
49	93	1.5	-26	0	29	34
50	93	2	-26	0	30	35
51	93	2.5	-26	0	31	33
52	93	3	25	0	32	34
54	93	4	24	29	29	33
56	94	1	23	28	30	-33
58	94	2	-23	27	-30	32
59	94	2.5	23	-27	-30	-32
60	94	3	24	26	28	33
63	94	4.5	25	27	-28	-33
64	95	1	26	28	0	-33
66	95	2	22	29	0	-33
67	95	2.5	23	-29	0	-33
68	95	3	24	-29	0	0
69	95	3.5	25	30	0	0
70	95	4	26	31	0	33
71	95	4.5	27	29	0	-33
72	96	1	28	30	0	32
74	96	2	29	29	0	31
76	96	3	26	-29	0	30
78	96	4	-26	28	30	-30
79	96	4.5	-26	-28	-30	31
80	97	1	0	27	29	32
82	97	2	0	26	28	33
84	97	3	23	30	27	-33
85	97	3.5	-23	-30	-27	32
86	97	4	-23	-30	-27	32
87	97	4.5	-23	-30	28	31
87.5	97	4.75	-23	-30	-28	30
88	98	1	22	0	29	31
90	98	2	21	0	30	32
92	98	3	23	0	-30	-32
93	98	3.5	-23	0	29	31
94	98	4	-23	0	28	30
95	98	4.5	24	0	-28	-30
96	99	1	25	0	-28	29
98	99	2	25	0	27	-29
100	99	3	26	0	28	28
102	99	4	24	33	28	31
104	100	1	23	32	28	32
106	100	2	24	31	26	33
108	100	3	21	30	28	32
110	100	4	-21	-30	28	-32
111	100	4.5	22	31	-28	31
112	101	1	23	32	27	30
114	101	2	-23	-32	30	-30
116	101	3	21	30	-30	32
117	101	3.5	-21	-30	29	-32
118	101	4	-21	-30	28	-32
120	102	1	25	29	-28	32
122	102	2	-25	-29	27	-32
123	102	2.5	-25	-29	26	-32
124	102	3	-25	-29	27	-32
128	103	1	-25	-29	27	-32
*-	*-	*-	*-	*-	*-	*-
