**absq	**bar	**beat	**b7	**b7	**b7	**b7
0	109	1	0	25	25	27
2	109	2	23	25	0	-27
4	109	3	23	25	27	-27
6	110	1	-23	-25	27	0
7	110	1.5	23	25	-27	0
8	110	2	23	25	-27	0
9	110	2.5	-23	-25	27	0
10	110	3	22	24	27	0
12	111	1	24	26	26	0
14	111	2	-24	-26	28	0
15	111	2.5	23	25	-28	0
16	111	3	23	25	-28	0
17	111	3.5	-23	-25	27	0
18	112	1	-23	-25	27	0
20	112	2	19	28	26	0
22	112	3	-19	-28	-26	30
24	113	1	23	27	25	30
27	113	2.5	-23	-27	-25	30
28	113	3	25	27	0	30
30	114	1	-25	-27	0	29
31	114	1.5	24	26	0	-29
32	114	2	24	26	0	31
34	114	3	26	28	0	-31
35	114	3.5	-26	-28	0	30
36	115	1	25	27	0	30
38	115	2	24	26	0	-30
40	115	3	-24	-26	0	29
42	116	1	23	27	0	30
44	116	2	-23	-27	30	-30
46	116	3	-23	-27	32	0
48	117	1	0	0	-32	30
49	117	1.5	0	0	31	-30
50	117	2	23	27	30	32
52	117	3	25	27	29	-32
53	117	3.5	-25	-27	-29	31
54	118	1	-25	-27	32	30
56	118	2	25	27	-32	29
57	118	2.5	-25	-27	31	-29
58	118	3	-25	-27	30	32
59	118	3.5	-25	-27	29	31
60	119	1	26	28	28	30
61	119	1.5	-26	-28	29	29
62	119	2	-26	-28	30	28
63	119	2.5	25	27	-30	-28
64	119	3	24	26	29	29
66	120	1	23	25	28	30
68	120	2	22	24	-28	31
70	120	3	-22	-24	27	-31
*-	*-	*-	*-	*-	*-	*-
