**absq	**bar	**beat	**b7	**b7	**b7	**b7	**b7	**b7
0	178	1	23	0	27	25	30	0
6	178	4	23	0	27	25	30	0
8	179	1	19	0	28	26	30	0
10	179	2	19	0	28	26	30	0
12	179	3	23	0	27	25	30	0
16	180	1	22	0	29	26	31	0
20	180	3	19	0	28	-26	30	0
22	180	4	22	0	26	24	29	0
23	180	4.5	23	0	-26	-24	-29	0
24	181	1	24	0	-26	22	-29	0
25	181	1.5	25	0	-26	-22	28	0
26	181	2	26	0	26	24	28	0
27	181	2.5	-26	0	-26	-24	27	0
27.5	181	2.75	-26	0	-26	-24	26	0
28	181	3	-26	0	30	23	27	0
30	181	4	25	0	-30	-23	27	0
32	182	1	26	0	-30	0	26	0
34	182	2	-26	26	-30	28	30	33
38	182	4	0	26	0	28	30	33
40	183	1	0	22	0	29	31	33
42	183	2	0	22	0	29	31	33
44	183	3	0	26	0	28	30	35
46	183	4	0	-26	0	27	-30	-35
47	183	4.5	0	-26	0	26	-30	-35
48	184	1	0	25	0	27	-30	34
50	184	2	0	24	0	28	26	33
52	184	3	0	-24	0	26	-26	-33
53	184	3.5	0	23	0	-26	27	32
54	184	4	0	22	0	-26	28	31
55	184	4.5	0	21	0	-26	-28	30
56	185	1	0	22	0	-26	-28	31
58	185	2	0	-22	0	25	27	-31
59	185	2.5	0	-22	0	24	-27	-31
60	185	3	0	21	0	25	28	30
62	185	4	21	-21	28	25	30	-30
66	186	2	21	0	28	25	30	0
68	186	3	18	0	27	25	29	0
72	187	1	21	0	28	25	30	0
74	187	2	23	0	27	25	30	0
76	187	3	22	0	29	26	31	0
78	187	4	18	0	29	27	32	32
80	188	1	21	0	28	25	30	-32
82	188	2	-21	0	-28	-25	-30	32
84	188	3	0	0	27	-25	29	32
86	188	4	21	0	30	-25	28	-32
87	188	4.5	-21	0	-30	-25	29	-32
88	189	1	-21	0	-30	0	30	32
89	189	1.5	22	0	29	0	31	-32
90	189	2	23	0	28	0	30	32
92	189	3	24	0	-28	0	29	33
94	189	4	25	0	27	0	-29	34
96	190	1	21	0	28	0	30	32
98	190	2	-21	21	-28	30	-30	32
101	190	3.5	0	22	0	29	-30	31
102	190	4	0	23	0	28	-30	30
104	191	1	0	24	0	-28	0	29
106	191	2	0	25	0	27	0	-29
108	191	3	0	21	0	28	0	30
110	191	4	21	-21	28	25	30	32
114	192	2	21	0	28	25	30	32
116	192	3	21	0	30	25	32	35
120	193	1	18	0	29	25	32	34
122	193	2	-18	25	27	-25	29	32
124	193	3	-18	25	27	0	-29	34
126	193	4	-18	25	25	29	32	34
128	194	1	0	22	26	29	-32	33
130	194	2	0	-22	-26	29	31	-33
132	194	3	0	0	27	25	32	0
134	194	4	0	23	-27	-25	30	32
136	195	1	0	-23	25	0	-30	-32
138	195	2	0	21	26	0	30	30
140	195	3	0	22	-26	0	29	31
141	195	3.5	0	-22	27	0	-29	-31
142	195	4	0	23	28	0	25	32
144	196	1	0	24	-28	0	28	33
146	196	2	0	-24	27	0	29	-33
147	196	2.5	0	-24	26	0	-29	-33
148	196	3	0	23	27	0	30	32
150	196	4	23	-23	25	27	-30	30
152	197	1	23	0	27	30	0	32
154	197	2	21	0	28	30	0	32
156	197	3	22	0	26	29	0	31
158	197	4	23	0	25	27	0	30
160	198	1	24	0	28	26	0	33
162	198	2	-24	0	29	-26	0	-33
164	198	3	23	0	30	27	0	32
166	198	4	21	23	-30	28	30	32
170	199	2	21	21	30	28	30	32
172	199	3	21	23	-30	25	32	35
174	199	4	21	-23	30	-25	32	35
175	199	4.5	-21	24	-30	26	-32	-35
176	200	1	18	25	29	27	32	34
178	200	2	-18	25	29	-27	25	-34
180	200	3	22	-25	29	0	26	36
