**absq	**bar	**beat	**b7	**b7	**b7	**b7
0	1	1	0	0	29	0
4	1	3	0	0	29	0
6	1	4	0	0	29	0
8	2	1	0	0	30	0
10	2	2	0	0	31	0
12	2	3	0	0	29	0
16	3	1	0	25	29	0
18	3	2	0	-25	29	0
20	3	3	0	25	32	0
22	3	4	0	25	-32	0
23	3	4.5	0	-25	31	0
24	4	1	0	26	30	0
26	4	2	0	27	29	0
28	4	3	0	25	30	0
30	4	4	0	-25	29	0
31	4	4.5	0	-25	28	0
32	5	1	0	25	27	32
33	5	1.5	0	-25	28	-32
34	5	2	0	25	29	-32
35	5	2.5	0	-25	27	-32
36	5	3	0	28	30	32
38	5	4	0	-28	-30	32
39	5	4.5	0	27	-30	-32
40	6	1	0	26	28	33
42	6	2	0	25	29	34
44	6	3	0	28	30	32
46	6	4	0	27	29	-32
48	7	1	21	30	28	32
50	7	2	-21	-30	-28	32
51	7	2.5	-21	29	29	-32
52	7	3	21	28	30	35
53	7	3.5	-21	27	-30	-35
54	7	4	21	26	-30	-35
55	7	4.5	-21	25	-30	34
56	8	1	22	24	0	33
58	8	2	23	25	30	32
60	8	3	21	26	30	35
62	8	4	-21	25	30	-35
63	8	4.5	-21	-25	-30	34
64	9	1	21	28	30	33
66	9	2	21	-28	-30	32
67	9	2.5	-21	27	29	-32
68	9	3	24	26	28	33
69	9	3.5	-24	-26	27	-33
70	9	4	-24	24	28	-33
71	9	4.5	23	-24	-28	32
72	10	1	22	26	29	31
74	10	2	21	28	25	30
76	10	3	24	-28	26	-30
78	10	4	-24	27	-26	29
79	10	4.5	-24	26	-26	-29
80	11	1	23	25	27	30
82	11	2	-23	-25	30	-30
83	11	2.5	24	26	-30	-30
84	11	3	25	27	-30	0
85	11	3.5	-25	-27	29	0
86	11	4	26	28	31	0
89	12	1.5	25	27	30	0
90	12	2	23	27	30	0
92	12	3	24	26	-30	0
94	12	4	-24	-26	29	33
96	13	1	23	27	30	-33
98	13	2	-23	-27	30	32
100	13	3	0	26	-30	35
102	13	4	0	-26	28	-35
104	14	1	0	-26	30	-35
106	14	2	0	25	30	34
