**absq	**bar	**beat	**b7	**b7	**b7	**b7	**b7
0	1	1	0	28	0	0	0
4	1	3	0	29	0	31	0
6	1	4	0	31	0	-31	0
8	2	1	0	-31	28	32	0
10	2	2	0	30	-28	-32	0
12	2	3	0	31	29	31	0
14	2	4	0	29	31	-31	0
16	3	1	0	28	-31	32	0
18	3	2	0	-28	30	-32	0
20	3	3	0	24	31	33	35
22	3	4	0	-24	33	35	-35
24	4	1	0	0	32	-35	36
25	4	1.5	0	0	-32	34	-36
26	4	2	0	25	-32	34	-36
27	4	2.5	0	-25	31	-34	-36
28	4	3	0	26	30	33	35
29	4	3.5	0	-26	29	-33	-35
30	4	4	0	28	30	-33	-35
32	5	1	0	-28	29	32	36
34	5	2	0	27	32	-32	-36
35	5	2.5	0	-27	31	-32	-36
36	5	3	0	28	30	0	37
37	5	3.5	0	-28	29	0	-37
38	5	4	0	-28	28	32	-37
39	5	4.5	0	-28	27	-32	-37
40	6	1	24	-28	26	33	38
42	6	2	-24	-28	-26	35	-38
43	6	2.5	-24	-28	-26	-35	37
44	6	3	25	32	29	-35	36
45	6	3.5	-25	-32	-29	-35	35
46	6	4	-25	-32	-29	34	36
48	7	1	24	28	31	33	-36
49	7	1.5	-24	-28	-31	-33	35
50	7	2	-24	-28	-31	-33	35
51	7	2.5	-24	-28	30	-33	-35
52	7	3	25	0	29	32	-35
54	7	4	-25	0	-29	-32	34
55	7	4.5	-25	0	-29	31	-34
56	8	1	26	0	28	30	35
57	8	1.5	-26	0	-28	29	34
58	8	2	-26	0	31	28	33
59	8	2.5	-26	0	-31	-28	32
60	8	3	27	0	-31	29	31
61	8	3.5	-27	0	30	-29	-31
62	8	4	-27	31	29	-29	-31
63	8	4.5	26	-31	28	-29	-31
64	9	1	25	30	27	0	0
66	9	2	-25	29	-27	34	0
68	9	3	24	31	28	-34	0
70	9	4	-24	-31	-28	33	38
72	10	1	0	28	0	32	37
74	10	2	0	25	0	34	36
76	10	3	0	29	0	33	38
78	10	4	0	-29	0	31	-38
80	11	1	0	28	0	32	37
82	11	2	0	26	31	33	35
84	11	3	0	27	-31	32	36
86	11	4	0	28	30	-32	35
87	11	4.5	0	-28	-30	31	-35
88	12	1	0	25	29	32	34
90	12	2	0	24	31	33	36
92	12	3	0	26	30	-33	-36
93	12	3.5	0	-26	-30	32	35
94	12	4	0	26	28	30	35
95	12	4.5	0	-26	-28	31	-35
96	13	1	0	25	29	32	-35
98	13	2	0	-25	-29	-32	34
100	13	3	24	0	28	33	35
102	13	4	-24	28	-28	-33	-35
103	13	4.5	24	-28	29	-33	-35
104	14	1	23	-28	30	0	0
105	14	1.5	-23	28	-30	0	0
106	14	2	22	27	31	0	0
108	14	3	24	26	28	31	0
109	14	3.5	25	-26	-28	-31	0
110	14	4	26	28	-28	-31	0
111	14	4.5	24	-28	-28	31	0
112	15	1	25	-28	0	30	0
113	15	1.5	-25	27	0	-30	0
113.5	15	1.75	-25	26	0	-30	0
114	15	2	-25	27	0	29	0
116	15	3	26	28	0	31	0
118	15	4	27	29	0	-31	0
120	16	1	28	32	0	30	0
122	16	2	-28	-32	0	-30	35
123	16	2.5	-28	-32	0	28	-35
124	16	3	25	-32	0	29	-35
126	16	4	-25	-32	32	-29	34
128	17	1	26	0	31	0	33
130	17	2	-26	0	30	28	35
132	17	3	25	0	32	29	34
133	17	3.5	-25	0	-32	-29	35
134	17	4	-25	27	-32	29	36
135	17	4.5	24	-27	-32	-29	37
136	18	1	22	-27	31	-29	38
137	18	1.5	23	-27	-31	-29	-38
138	18	2	24	26	-31	28	-38
139	18	2.5	-24	-26	28	-28	-38
140	18	3	21	25	30	-28	37
141	18	3.5	-21	-25	31	-28	-37
142	18	4	25	27	32	29	36
144	19	1	22	26	-32	-29	-36
145	19	1.5	-22	-26	-32	-29	35
146	19	2	24	-26	31	28	33
147	19	2.5	-24	25	-31	-28	34
147.5	19	2.75	-24	24	-31	-28	-34
148	19	3	21	25	-31	28	35
150	19	4	-21	25	30	32	-35
152	20	1	24	24	31	33	-35
154	20	2	-24	-24	-31	35	-35
156	20	3	-24	26	-31	-35	0
158	20	4	-24	-26	-31	33	35
159	20	4.5	-24	26	-31	-33	-35
160	21	1	0	25	0	34	36
162	21	2	0	24	0	33	38
164	21	3	0	27	0	32	-38
166	21	4	0	28	0	-32	37
168	22	1	0	29	0	31	38
170	22	2	0	30	28	32	37
172	22	3	0	31	29	34	36
174	22	4	0	27	31	-34	-36
176	23	1	0	28	-31	32	35
178	23	2	0	-28	30	-32	-35
179	23	2.5	0	-28	-30	33	-35
180	23	3	0	27	31	34	36
181	23	3.5	0	-27	-31	33	-36
182	23	4	0	28	30	32	35
183	23	4.5	0	-28	-30	31	-35
184	24	1	0	25	29	32	-35
186	24	2	25	-25	-29	-32	34
187	24	2.5	-25	-25	-29	31	-34
188	24	3	26	0	28	30	35
190	24	4	28	28	30	-30	-35
192	25	1	-28	29	29	0	0
194	25	2	27	31	-29	0	0
196	25	3	28	-31	28	0	32
198	25	4	-28	30	-28	0	-32
200	26	1	26	-30	0	28	33
202	26	2	-26	31	0	-28	35
204	26	3	25	32	0	29	-35
206	26	4	-25	32	25	-29	34
208	27	1	24	28	26	31	35
209	27	1.5	-24	27	-26	-31	-35
210	27	2	-24	26	28	31	35
