**absq	**bar	**beat	**b7	**b7	**b7
0	103	1	0	29	0
4	103	3	0	28	0
8	104	1	0	29	33
12	104	3	0	30	32
16	105	1	0	31	33
17	105	1.5	0	30	-33
18	105	2	0	31	-33
19	105	2.5	0	29	-33
20	105	3	0	32	34
21	105	3.5	0	31	-34
22	105	4	0	30	-34
23	105	4.5	0	29	-34
24	106	1	26	30	35
25	106	1.5	-26	-30	34
26	106	2	-26	-30	35
27	106	2.5	-26	-30	33
28	106	3	25	32	34
30	106	4	-25	-32	36
31	106	4.5	-25	32	-36
32	107	1	26	31	-36
34	107	2	-26	30	35
36	107	3	27	29	36
37	107	3.5	-27	-29	35
38	107	4	-27	-29	34
39	107	4.5	-27	-29	33
40	108	1	28	30	32
41	108	1.5	27	-30	-32
42	108	2	28	-30	33
43	108	2.5	26	-30	-33
44	108	3	27	29	34
46	108	4	25	29	-34
48	109	1	-25	-29	30
50	109	2	26	28	-30
51	109	2.5	-26	-28	31
52	109	3	27	29	32
54	109	4	28	30	-32
55	109	4.5	-28	-30	33
56	110	1	27	32	34
57	110	1.5	-27	31	35
58	110	2	-27	30	36
59	110	2.5	-27	29	-36
60	110	3	26	30	-36
62	110	4	-26	-30	35
64	111	1	22	31	36
66	111	2	-22	-31	33
68	111	3	29	-31	-33
70	111	4	-29	-31	29
72	112	1	25	0	-29
74	112	2	-25	0	30
76	112	3	26	0	31
78	112	4	27	0	32
80	113	1	28	0	-32
82	113	2	29	0	31
85	113	3.5	28	0	30
86	113	4	28	0	30
87	113	4.5	-28	0	29
87.5	113	4.75	-28	0	28
88	114	1	-28	0	29
90	114	2	27	0	-29
92	114	3	28	0	28
94	114	4	26	30	-28
96	115	1	-26	-30	33
98	115	2	24	26	-33
100	115	3	-24	-26	29
102	115	4	25	27	-29
104	116	1	23	28	30
106	116	2	22	29	31
108	116	3	23	-29	32
110	116	4	24	28	33
112	117	1	25	-28	-33
113	117	1.5	-25	27	32
114	117	2	-25	27	32
115	117	2.5	-25	26	-32
115.5	117	2.75	-25	25	-32
116	117	3	22	26	-32
118	117	4	-22	-26	31
120	118	1	23	25	32
122	118	2	-23	28	-32
123	118	2.5	24	-28	-32
124	118	3	25	-28	-32
126	118	4	-25	27	-32
128	119	1	0	28	-32
129	119	1.5	0	29	-32
130	119	2	28	30	-32
131	119	2.5	-28	31	-32
132	119	3	-28	32	0
134	119	4	27	29	0
136	120	1	28	30	0
138	120	2	26	28	0
140	120	3	27	29	0
142	120	4	25	-29	0
143	120	4.5	-25	30	0
144	121	1	26	31	0
146	121	2	-26	30	35
147	121	2.5	27	29	-35
148	121	3	28	30	-35
149	121	3.5	29	31	-35
150	121	4	30	32	34
152	122	1	26	30	35
154	122	2	29	31	33
156	122	3	25	32	34
158	122	4	25	-32	32
160	123	1	22	-32	33
162	123	2	-22	31	-33
164	123	3	-22	31	36
167	123	4.5	-22	29	-36
168	124	1	26	30	35
170	124	2	-26	31	33
172	124	3	-26	30	35
176	125	1	0	29	36
178	125	2	29	-29	29
