**absq	**bar	**beat	**b7	**b7	**b7	**b7
0	1	1	0	0	0	32
4	1	3	0	0	29	33
8	2	1	0	0	30	32
10	2	2	0	0	-30	30
12	2	3	0	0	29	31
14	2	4	0	0	27	32
16	3	1	0	0	28	-32
17	3	1.5	0	0	-28	30
18	3	2	0	0	29	31
20	3	3	0	0	-29	30
22	3	4	0	0	28	-30
24	4	1	25	0	-28	29
25	4	1.5	-25	0	27	-29
25.5	4	1.75	-25	0	26	-29
26	4	2	-25	0	27	32
28	4	3	26	0	28	30
30	4	4	26	28	-28	31
32	5	1	25	29	0	32
34	5	2	23	28	0	-32
36	5	3	24	26	0	31
38	5	4	-24	28	0	30
40	6	1	25	28	0	29
42	6	2	-25	27	0	-29
44	6	3	21	28	0	28
46	6	4	-21	28	0	30
47	6	4.5	22	-28	0	-30
48	7	1	23	-28	0	-30
49	7	1.5	24	-28	0	-30
50	7	2	25	27	0	29
52	7	3	21	28	0	30
54	7	4	-21	-28	30	-30
55	7	4.5	-21	-28	-30	31
56	8	1	0	28	-30	32
58	8	2	0	27	29	-32
60	8	3	0	26	30	35
62	8	4	0	26	-30	35
63	8	4.5	0	-26	31	-35
64	9	1	23	25	32	34
66	9	2	-23	27	32	-34
68	9	3	-23	28	-32	0
70	9	4	22	29	31	0
72	10	1	23	-29	30	0
73	10	1.5	-23	28	-30	0
74	10	2	-23	28	30	0
75	10	2.5	24	-28	-30	0
76	10	3	25	-28	-30	0
78	10	4	25	27	29	0
80	11	1	21	28	30	0
82	11	2	-21	28	-30	30
83	11	2.5	-21	-28	31	-30
84	11	3	0	-28	32	-30
86	11	4	0	27	32	29
88	12	1	0	26	28	30
90	12	2	0	28	30	-30
91	12	2.5	0	-28	-30	31
92	12	3	0	-28	-30	32
93	12	3.5	0	27	-30	-32
93.5	12	3.75	0	26	-30	-32
94	12	4	0	27	29	-32
96	13	1	0	28	30	-32
98	13	2	0	26	31	33
100	13	3	0	25	32	34
102	13	4	23	-25	-32	34
104	14	1	-23	0	30	35
106	14	2	22	0	31	36
108	14	3	23	0	32	-36
109	14	3.5	-23	0	-32	35
110	14	4	-23	0	30	35
111	14	4.5	24	0	-30	-35
112	15	1	25	0	29	-35
114	15	2	-25	0	-29	34
116	15	3	21	0	30	35
118	15	4	21	30	32	35
120	16	1	24	28	31	33
122	16	2	26	28	30	35
124	16	3	25	29	32	34
128	17	1	22	29	-32	33
130	17	2	-22	-29	31	-33
132	17	3	23	27	30	32
134	17	4	-23	25	27	-32
135	17	4.5	22	-25	-27	31
136	18	1	21	26	28	30
138	18	2	22	26	26	31
140	18	3	18	25	27	32
142	18	4	-18	29	-27	-32
143	18	4.5	-18	-29	28	-32
144	19	1	25	27	29	-32
145	19	1.5	-25	-27	28	-32
146	19	2	-25	29	27	-32
147	19	2.5	-25	-29	26	-32
148	19	3	23	28	25	-32
150	19	4	25	27	-25	-32
151	19	4.5	-25	26	-25	-32
151.5	19	4.75	-25	25	-25	-32
152	20	1	24	26	0	0
153	20	1.5	-24	27	0	0
154	20	2	23	28	0	0
155	20	2.5	22	-28	0	0
155.5	20	2.75	21	-28	0	0
156	20	3	22	-28	0	0
158	20	4	-22	27	0	0
160	21	1	21	28	0	0
162	21	2	-21	-28	30	32
164	21	3	-21	-28	28	30
166	21	4	-21	-28	30	32
169	22	1.5	-21	0	29	31
170	22	2	-21	0	28	30
172	22	3	0	0	27	29
174	22	4	25	0	27	29
176	23	1	26	0	28	28
178	23	2	23	25	-28	-28
180	23	3	24	26	0	0
182	23	4	25	27	0	0
184	24	1	-25	26	0	0
185	24	1.5	24	-26	0	0
185.5	24	1.75	23	-26	0	0
186	24	2	24	-26	29	0
188	24	3	25	25	-29	0
190	24	4	-25	-25	30	32
192	25	1	0	0	31	33
194	25	2	0	0	32	34
196	25	3	0	0	-32	33
198	25	4	0	29	31	33
200	26	1	25	-29	32	32
202	26	2	-25	27	-32	-32
204	26	3	23	28	0	0
206	26	4	24	-28	0	0
208	27	1	-24	26	0	0
210	27	2	22	27	0	0
212	27	3	23	28	0	0
214	27	4	24	29	0	0
217	28	1.5	-24	28	0	0
218	28	2	23	28	0	0
220	28	3	22	-28	0	0
222	28	4	-22	27	0	0
224	29	1	21	28	30	32
227	29	2.5	-21	-28	30	32
228	29	3	0	0	31	33
230	29	4	0	0	30	35
232	30	1	0	0	29	34
234	30	2	0	0	31	33
236	30	3	0	0	30	32
239	30	4.5	0	0	29	31
240	31	1	0	0	28	30
242	31	2	0	0	27	29
244	31	3	0	0	28	30
246	31	4	0	0	27	32
248	32	1	22	0	26	31
250	32	2	-22	29	-26	-31
252	32	3	23	28	25	32
254	32	4	25	27	-25	-32
257	33	1.5	25	27	0	0
258	33	2	24	26	0	0
260	33	3	23	27	0	0
262	33	4	23	28	25	32
264	34	1	22	29	26	31
266	34	2	-22	-29	27	29
268	34	3	0	0	28	30
270	34	4	0	0	29	31
274	35	2	0	0	28	30
276	35	3	25	0	27	29
278	35	4	-25	25	-27	-29
280	36	1	24	26	0	-29
282	36	2	22	27	0	-29
284	36	3	23	28	0	0
286	36	4	24	29	0	0
288	37	1	-24	28	0	0
290	37	2	23	-28	25	32
292	37	3	22	29	26	31
294	37	4	-22	-29	27	29
296	38	1	21	25	28	30
297	38	1.5	-21	-25	29	31
298	38	2	-21	-25	30	32
299	38	2.5	-21	-25	28	30
300	38	3	0	0	29	31
302	38	4	0	0	28	30
304	39	1	0	25	-28	29
306	39	2	0	-25	27	-29
308	39	3	18	-25	0	29
310	39	4	-18	-25	27	-29
312	40	1	21	25	28	30
316	40	3	19	26	28	-30
318	40	4	-19	-26	-28	31
320	41	1	18	27	29	32
322	41	2	-18	25	-29	-32
324	41	3	22	-25	29	33
325	41	3.5	-22	24	-29	-33
326	41	4	-22	24	-29	-33
328	42	1	18	25	29	34
330	42	2	18	29	32	34
332	42	3	21	30	32	35
335	42	4.5	21	30	32	35
336	43	1	21	30	32	35
338	43	2	24	28	31	33
342	43	4	21	28	30	32
344	44	1	24	28	31	33
347	44	2.5	24	28	31	33
348	44	3	24	28	31	33
350	44	4	21	28	30	32
352	45	1	22	26	29	31
354	45	2	24	26	28	31
356	45	3	21	25	28	30
358	45	4	-21	-25	30	32
360	46	1	0	29	31	33
364	46	3	18	-29	32	34
368	47	1	19	28	30	35
370	47	2	-19	-28	-30	33
372	47	3	20	27	29	-33
374	47	4	-20	-27	-29	32
376	48	1	21	26	30	-32
378	48	2	-21	-26	-30	31
