**absq	**bar	**beat	**b7	**b7	**b7	**b7
0	104	1	0	0	0	36
4	104	3	0	0	0	36
8	105	1	0	0	0	35
12	105	3	0	0	32	34
16	106	1	0	0	32	0
18	106	2	0	0	-32	37
20	106	3	0	0	31	-37
22	106	4	0	0	-31	36
24	107	1	0	0	30	35
26	107	2	0	0	-30	34
28	107	3	0	0	0	33
29	107	3.5	0	0	0	34
30	107	4	0	0	33	35
31	107	4.5	0	0	-33	36
32	108	1	0	0	-33	37
34	108	2	0	0	32	-37
35	108	2.5	0	0	-32	36
35.5	108	2.75	0	0	-32	35
36	108	3	0	0	31	36
38	108	4	0	0	30	37
40	109	1	0	0	29	38
41	109	1.5	0	0	30	-38
42	109	2	0	0	31	-38
43	109	2.5	0	0	32	-38
44	109	3	0	0	33	-38
45	109	3.5	0	0	34	-38
46	109	4	0	0	35	37
47	109	4.5	0	0	33	-37
48	110	1	0	0	34	36
50	110	2	0	0	33	35
51	110	2.5	0	0	-33	34
52	110	3	0	0	-33	35
53	110	3.5	0	0	32	34
54	110	4	0	0	32	34
55	110	4.5	0	0	-32	33
55.5	110	4.75	0	0	-32	32
56	111	1	0	29	-32	33
58	111	2	0	-29	31	-33
60	111	3	0	30	32	32
62	111	4	0	-30	-32	34
63	111	4.5	0	30	-32	-34
64	112	1	0	30	0	35
66	112	2	0	31	0	-35
68	112	3	0	32	0	34
70	112	4	0	-32	32	-34
71	112	4.5	0	30	-32	-34
72	113	1	0	31	33	0
73	113	1.5	0	30	-33	0
74	113	2	0	29	-33	0
75	113	2.5	0	28	33	0
76	113	3	0	29	33	0
78	113	4	0	-29	34	36
80	114	1	0	28	35	37
81	114	1.5	0	-28	34	-37
82	114	2	0	-28	33	-37
83	114	2.5	0	-28	32	37
84	114	3	0	0	33	37
86	114	4	0	0	-33	38
88	115	1	0	0	32	39
89	115	1.5	0	0	-32	38
90	115	2	0	0	28	37
91	115	2.5	0	0	-28	36
92	115	3	0	0	28	37
93	115	3.5	0	0	29	-37
94	115	4	0	0	30	-37
95	115	4.5	0	0	31	-37
96	116	1	0	0	32	35
98	116	2	0	25	32	34
100	116	3	0	26	30	35
102	116	4	0	-26	33	-35
103	116	4.5	0	26	-33	35
104	117	1	0	26	-33	35
106	117	2	0	27	32	36
108	117	3	0	28	-32	37
110	117	4	0	29	31	36
112	118	1	0	26	30	-36
113	118	1.5	0	-26	-30	35
113.5	118	1.75	0	-26	-30	34
114	118	2	0	-26	-30	35
116	118	3	0	29	29	36
120	119	1	22	31	33	36
128	120	1	25	32	29	34
130	120	2	-25	29	32	-34
132	120	3	23	30	-32	32
133	120	3.5	-23	-30	31	-32
134	120	4	-23	28	30	-32
136	121	1	25	-28	-30	-32
137	121	1.5	-25	27	-30	-32
137.5	121	1.75	-25	26	-30	-32
138	121	2	-25	27	29	32
140	121	3	24	28	-29	33
142	121	4	-24	-28	28	-33
143	121	4.5	23	-28	-28	-33
144	122	1	22	29	-28	31
146	122	2	22	-29	27	-31
148	122	3	21	25	28	30
*-	*-	*-	*-	*-	*-	*-
