**absq	**bar	**beat	**b7	**b7	**b7	**b7	**b7	**b7
0	125	1	25	0	27	29	32	0
6	125	4	28	0	28	30	32	0
8	126	1	27	0	29	31	34	0
11	126	2.5	27	0	29	31	34	0
12	126	3	24	0	28	31	33	0
14	126	4	25	0	27	29	32	0
16	127	1	-25	0	-27	30	-32	0
18	127	2	22	0	26	29	31	0
20	127	3	23	0	25	-29	32	0
22	127	4	-23	0	-25	28	-32	0
23	127	4.5	23	0	25	-28	32	0
24	128	1	22	0	26	29	31	0
26	128	2	-22	29	-26	31	33	36
30	128	4	0	32	0	32	34	36
32	129	1	0	31	0	33	35	38
34	129	2	0	29	0	34	36	38
36	129	3	0	31	0	33	35	38
40	130	1	0	28	0	32	35	37
42	130	2	0	30	28	32	-35	35
44	130	3	0	31	-28	-32	0	-35
45	130	3.5	0	-31	26	33	0	35
46	130	4	0	29	27	31	0	34
48	131	1	0	-29	25	32	0	-34
50	131	2	28	30	28	-32	35	32
52	131	3	-28	28	24	31	-35	33
53	131	3.5	26	-28	-24	-31	35	-33
54	131	4	27	29	31	-31	34	36
55	131	4.5	-27	-29	-31	29	-34	-36
56	132	1	25	27	32	29	-34	36
58	132	2	21	28	30	30	32	35
60	132	3	24	26	31	28	33	-35
61	132	3.5	-24	-26	-31	-28	-33	31
62	132	4	22	-26	-31	29	-33	38
63	132	4.5	-22	-26	30	-29	33	-38
63.5	132	4.75	-22	-26	29	-29	-33	-38
64	133	1	26	-26	28	30	33	37
66	133	2	22	33	29	29	-33	38
68	133	3	24	-33	26	28	33	-38
69	133	3.5	-24	32	-26	-28	-33	37
70	133	4	-24	31	-26	33	33	36
71	133	4.5	25	-31	-26	-33	-33	-36
72	134	1	26	30	-26	-33	33	-36
73	134	1.5	-26	-30	-26	32	-33	-36
74	134	2	-26	-30	-26	30	-33	35
76	134	3	22	29	0	31	33	36
78	134	4	-22	-29	29	-31	33	36
81	135	1.5	0	0	30	0	32	34
82	135	2	0	0	28	0	32	35
84	135	3	0	0	29	0	31	33
86	135	4	0	0	29	0	33	31
