**absq	**bar	**beat	**b7	**b7	**b7	**b7	**b7
0	158	1	24	24	28	31	33
6	158	4	-24	28	24	31	33
8	159	1	0	28	24	31	33
10	159	2	0	28	24	31	33
12	159	3	0	29	27	31	34
16	160	1	0	28	26	31	35
18	160	2	0	31	27	31	36
20	160	3	21	31	25	32	35
22	160	4	-21	30	-25	-32	-35
23	160	4.5	-21	29	25	32	35
24	161	1	21	30	28	32	35
26	161	2	21	30	28	32	-35
28	161	3	24	31	28	33	0
30	161	4	-24	24	26	-33	35
31	161	4.5	24	-24	-26	33	-35
32	162	1	23	25	28	32	35
34	162	2	24	24	-28	33	35
35	162	2.5	-24	-24	28	-33	-35
36	162	3	22	26	29	31	38
38	162	4	22	27	-29	29	-38
39	162	4.5	-22	-27	-29	-29	38
40	163	1	21	28	0	32	37
42	163	2	28	24	0	33	38
44	163	3	28	25	0	32	36
46	163	4	27	25	0	-32	36
47	163	4.5	-27	-25	0	31	-36
48	164	1	28	32	0	30	35
50	164	2	-28	-32	28	-30	-35
52	164	3	24	0	28	31	33
54	164	4	-24	0	28	-31	-33
56	165	1	24	0	31	0	33
58	165	2	24	31	-31	0	33
59	165	2.5	-24	-31	30	0	-33
60	165	3	27	31	29	0	36
61	165	3.5	-27	-31	28	0	-36
62	165	4	27	29	27	31	-36
64	166	1	26	31	24	31	35
65	166	1.5	-26	30	-24	-31	-35
66	166	2	27	29	31	31	36
67	166	2.5	-27	28	-31	-31	-36
68	166	3	25	27	-31	34	-36
70	166	4	-25	-27	30	34	37
72	167	1	24	0	29	-34	38
74	167	2	-24	28	28	33	-38
75	167	2.5	-24	-28	-28	-33	37
76	167	3	0	29	27	34	36
78	167	4	0	31	-27	-34	-36
80	168	1	0	-31	28	32	35
82	168	2	0	30	-28	-32	-35
84	168	3	0	31	24	31	-35
86	168	4	24	-31	-24	33	-35
88	169	1	-24	28	0	-33	-35
90	169	2	21	-28	0	30	-35
91	169	2.5	-21	27	0	-30	-35
92	169	3	22	26	0	31	0
94	169	4	23	25	0	32	35
96	170	1	24	28	0	33	-35
98	170	2	-24	28	28	-33	31
99	170	2.5	24	-28	-28	33	-31
100	170	3	24	0	-28	33	35
102	170	4	23	0	25	32	35
104	171	1	22	0	26	31	36
106	171	2	-22	0	27	-31	-36
108	171	3	21	0	28	-31	32
110	171	4	-21	32	-28	30	35
111	171	4.5	-21	-32	28	29	-35
112	172	1	0	-32	28	30	35
114	172	2	0	29	27	31	36
116	172	3	0	30	26	-31	-36
117	172	3.5	0	-30	-26	30	35
118	172	4	0	31	-26	28	35
120	173	1	0	32	25	29	-35
122	173	2	0	-32	-25	-29	34
124	173	3	0	-32	28	30	35
126	173	4	28	32	-28	-30	35
127	173	4.5	-28	-32	-28	31	-35
128	174	1	-28	32	0	30	-35
130	174	2	24	31	0	29	33
132	174	3	25	30	0	-29	34
134	174	4	26	-30	0	28	33
