**absq	**bar	**beat	**b7	**b7	**b7	**b7	**b7	**b7
0	186	1	25	27	0	32	36	34
2	186	2	-25	-27	0	32	36	-34
4	186	3	21	28	0	32	37	0
6	187	1	25	27	0	32	36	0
8	187	2	-25	-27	29	-32	-36	0
10	187	3	21	28	30	32	35	0
12	188	1	25	29	29	32	34	0
14	188	2	-25	-29	25	-32	-34	0
16	188	3	22	29	26	31	33	0
18	189	1	25	0	27	29	32	0
20	189	2	-25	0	27	-29	-32	0
22	189	3	26	0	28	28	31	0
24	190	1	25	0	29	27	32	0
26	190	2	-25	27	-29	-27	-32	36
28	190	3	21	28	28	25	32	37
30	191	1	0	27	0	-25	0	36
32	191	2	25	-27	29	32	0	-36
34	191	3	21	28	30	32	0	35
36	192	1	25	29	29	32	0	34
38	192	2	23	30	25	32	0	-34
40	192	3	24	28	26	31	0	33
42	193	1	25	27	27	29	0	32
44	193	2	23	25	28	30	0	-32
46	193	3	22	26	29	26	0	31
48	194	1	21	23	30	28	0	32
51	194	2.5	-21	24	-30	-28	0	-32
52	194	3	18	25	29	27	0	32
*-	*-	*-	*-	*-	*-	*-	*-	*-
