**absq	**bar	**beat	**b7	**b7	**b7	**b7
0	112	1	0	0	0	32
6	112	4	0	0	0	32
8	113	1	0	0	0	33
12	113	3	0	28	0	32
16	114	1	0	-28	0	33
18	114	2	0	28	0	-33
20	114	3	0	29	0	-33
22	114	4	0	-29	0	34
24	115	1	0	28	0	35
26	115	2	0	-28	0	35
28	115	3	25	29	0	-35
30	115	4	-25	-29	0	34
31	115	4.5	-25	-29	0	33
32	116	1	-25	-29	0	34
34	116	2	25	30	0	-34
36	116	3	26	31	0	33
37	116	3.5	-26	-31	0	34
38	116	4	-26	30	0	35
39	116	4.5	-26	-30	0	33
40	117	1	25	32	0	34
41	117	1.5	-25	-32	0	35
42	117	2	-25	-32	0	36
43	117	2.5	-25	31	0	-36
44	117	3	26	30	0	35
45	117	3.5	-26	29	0	-35
46	117	4	-26	28	0	37
48	118	1	-26	31	0	-37
50	118	2	27	-31	0	36
52	118	3	28	30	0	37
54	118	4	-28	-30	28	-37
55	118	4.5	-28	-30	-28	36
56	119	1	26	-30	-28	35
57	119	1.5	-26	-30	-28	34
58	119	2	-26	-30	28	33
60	119	3	27	0	29	-33
62	119	4	-27	29	-29	32
64	120	1	26	30	28	33
66	120	2	-26	30	-28	-33
68	120	3	0	31	29	0
70	120	4	0	-31	-29	33
71	120	4.5	0	30	-29	-33
72	121	1	0	29	-29	34
74	121	2	0	28	30	35
76	121	3	0	29	31	33
78	121	4	0	27	29	32
80	122	1	0	26	30	33
82	122	2	26	-26	-30	-33
84	122	3	27	0	29	32
86	122	4	28	0	30	-32
88	123	1	26	0	31	33
90	123	2	25	0	32	34
92	123	3	26	0	30	35
94	123	4	-26	0	31	-35
96	124	1	25	0	32	34
98	124	2	-25	29	-32	-34
99	124	2.5	-25	-29	31	-34
100	124	3	0	30	32	35
102	124	4	0	31	33	-35
104	125	1	0	29	-33	36
105	125	1.5	0	-29	34	-36
106	125	2	0	28	35	37
108	125	3	0	29	-35	38
110	125	4	0	-29	34	36
112	126	1	0	28	35	37
114	126	2	28	-28	-35	-37
116	126	3	-28	32	0	36
118	126	4	27	-32	32	-36
119	126	4.5	-27	31	-32	-36
120	127	1	28	30	-32	0
121	127	1.5	-28	29	-32	0
122	127	2	-28	28	30	0
123	127	2.5	27	-28	-30	0
124	127	3	26	-28	31	0
126	127	4	25	27	30	0
128	128	1	24	26	29	0
130	128	2	25	27	-29	0
131	128	2.5	-25	-27	28	0
132	128	3	-25	25	27	0
133	128	3.5	24	-25	26	0
134	128	4	23	-25	29	0
135	128	4.5	22	-25	-29	0
136	129	1	23	0	-29	0
138	129	2	-23	32	28	0
140	129	3	22	-32	29	0
142	129	4	-22	31	-29	36
144	130	1	0	32	0	-36
146	130	2	0	-32	0	34
147	130	2.5	0	31	0	-34
148	130	3	0	30	0	35
150	130	4	0	-30	32	34
151	130	4.5	0	29	-32	-34
152	131	1	0	28	30	33
154	131	2	0	29	31	-33
155	131	2.5	0	-29	-31	32
156	131	3	0	-29	-31	31
157	131	3.5	0	28	-31	30
158	131	4	0	26	30	33
160	132	1	0	27	29	-33
161	132	1.5	0	-27	-29	32
162	132	2	0	28	30	32
164	132	3	0	26	28	-32
166	132	4	28	-26	-28	31
168	133	1	-28	25	0	32
170	133	2	27	-25	29	-32
172	133	3	28	0	30	0
174	133	4	26	0	31	33
176	134	1	25	0	32	34
178	134	2	26	0	30	35
180	134	3	22	0	31	36
181	134	3.5	23	0	-31	-36
182	134	4	24	0	31	33
183	134	4.5	25	0	-31	-33
184	135	1	26	0	30	35
185	135	1.5	-26	0	29	-35
186	135	2	-26	0	30	35
187	135	2.5	-26	0	31	-35
188	135	3	25	0	32	34
189	135	3.5	-25	0	-32	35
190	135	4	-25	29	-32	36
191	135	4.5	-25	-29	-32	34
192	136	1	0	30	-32	35
194	136	2	0	31	33	-35
195	136	2.5	0	-31	-33	36
196	136	3	0	32	34	37
198	136	4	0	30	35	-37
200	137	1	0	31	-35	33
201	137	1.5	0	-31	34	-33
202	137	2	0	31	33	-33
204	137	3	0	30	-33	34
206	137	4	0	30	32	-34
208	138	1	26	29	33	33
210	138	2	-26	-29	-33	33
211	138	2.5	-26	30	-33	-33
212	138	3	-26	31	0	35
214	138	4	-26	-31	26	-35
215	138	4.5	-26	-31	-26	36
216	139	1	26	0	28	37
218	139	2	-26	26	-28	38
219	139	2.5	-26	-26	29	-38
220	139	3	26	28	30	37
222	139	4	-26	-28	31	33
223	139	4.5	-26	29	-31	34
224	140	1	-26	30	30	35
225	140	1.5	-26	-30	-30	33
226	140	2	22	31	33	36
228	140	3	26	30	-33	-36
229	140	3.5	-26	-30	-33	35
230	140	4	-26	28	31	35
232	141	1	25	29	32	-35
234	141	2	-25	-29	-32	34
236	141	3	21	28	30	35
242	142	2	-21	-28	28	-35
246	142	4	24	26	28	-35
248	143	1	-24	-26	29	0
250	143	2	24	26	-29	0
252	143	3	25	27	30	0
256	144	1	26	28	-30	0
258	144	2	-26	-28	31	0
260	144	3	27	29	32	0
262	144	4	28	30	-32	0
264	145	1	-28	-30	33	35
266	145	2	24	31	-33	-35
267	145	2.5	-24	-31	32	-35
268	145	3	-24	-31	33	-35
269	145	3.5	25	30	34	-35
270	145	4	26	28	35	35
272	146	1	25	32	-35	36
274	146	2	-25	-32	34	-36
276	146	3	28	30	35	37
280	147	1	26	0	0	-37
282	147	2	-26	28	35	38
284	147	3	25	29	34	39
286	147	4	-25	30	32	-39
288	148	1	0	31	33	35
291	148	2.5	0	30	32	-35
292	148	3	0	29	31	0
294	148	4	0	28	30	39
296	149	1	0	-28	29	38
298	149	2	0	27	-29	36
300	149	3	0	28	28	37
302	149	4	28	-28	-28	-37
303	149	4.5	-28	-28	-28	37
304	150	1	27	25	0	36
306	150	2	25	-25	32	34
308	150	3	26	0	30	35
310	150	4	-26	0	28	-35
311	150	4.5	25	0	-28	34
312	151	1	24	0	29	33
313	151	1.5	-24	0	28	-33
314	151	2	23	32	28	32
316	151	3	22	31	-28	35
318	151	4	-22	29	27	-35
320	152	1	21	30	28	32
323	152	2.5	-21	29	29	-32
324	152	3	0	28	30	0
326	152	4	0	27	29	32
328	153	1	0	26	30	35
330	153	2	0	-26	31	-35
331	153	2.5	0	-26	-31	35
332	153	3	0	25	32	34
334	153	4	0	28	-32	35
336	154	1	25	-28	-32	36
338	154	2	-25	27	-32	36
340	154	3	28	28	0	37
342	154	4	-28	-28	28	39
343	154	4.5	28	-28	-28	-39
344	155	1	27	0	32	-39
345	155	1.5	-27	0	-32	38
346	155	2	28	0	-32	37
347	155	2.5	-28	0	32	-37
348	155	3	29	0	31	36
350	155	4	28	0	32	37
352	156	1	-28	0	33	-37
353	156	1.5	-28	0	32	-37
354	156	2	27	25	32	36
356	156	3	26	28	-32	35
358	156	4	-26	-28	31	-35
359	156	4.5	-26	28	-31	-35
360	157	1	25	27	32	0
362	157	2	21	28	-32	35
364	157	3	24	29	0	33
366	157	4	25	29	0	34
368	158	1	21	30	0	35
370	158	2	28	-30	0	37
371	158	2.5	-28	31	0	-37
372	158	3	-28	32	0	-37
374	158	4	25	-32	32	36
376	159	1	26	0	30	35
378	159	2	-26	0	31	-35
380	159	3	25	0	32	34
382	159	4	-25	32	-32	36
384	160	1	0	30	28	37
386	160	2	0	31	29	36
387	160	2.5	0	-31	-29	35
388	160	3	0	32	30	34
390	160	4	0	-32	-30	37
391	160	4.5	0	-32	31	-37
392	161	1	0	28	32	-37
393	161	1.5	0	-28	-32	36
394	161	2	0	28	33	35
396	161	3	0	30	-33	-35
397	161	3.5	0	-30	32	34
398	161	4	0	-30	32	34
399	161	4.5	0	-30	-32	33
399.5	161	4.75	0	-30	-32	32
400	162	1	0	29	-32	33
402	162	2	0	-29	31	-33
404	162	3	25	-29	32	32
408	163	1	-25	0	32	34
410	163	2	-25	29	-32	-34
412	163	3	24	-29	33	35
414	163	4	-24	28	-33	-35
416	164	1	22	-28	31	36
418	164	2	-22	27	-31	-36
420	164	3	21	28	30	37
423	164	4.5	-21	-28	31	-37
424	165	1	-21	-28	32	-37
426	165	2	21	28	32	37
428	165	3	25	27	32	36
434	166	2	25	27	-32	-36
438	166	4	24	26	0	-36
440	167	1	25	27	0	0
442	167	2	-25	-27	32	0
443	167	2.5	-25	28	-32	0
444	167	3	22	29	-32	33
446	167	4	22	-29	31	-33
448	168	1	25	29	32	34
450	168	2	23	32	-32	-34
452	168	3	26	-32	28	35
454	168	4	-26	31	-28	-35
456	169	1	25	32	0	34
458	169	2	-25	-32	32	-34
460	169	3	0	29	-32	33
462	169	4	0	-29	31	-33
464	170	1	0	25	32	34
466	170	2	25	-25	-32	34
468	170	3	-25	0	29	33
470	170	4	24	28	31	-33
472	171	1	25	-28	30	32
474	171	2	-25	27	29	-32
476	171	3	21	28	30	-32
478	171	4	28	-28	-30	-32
