**absq	**bar	**beat	**b7	**b7	**b7	**b7
0	1	1	24	0	31	35
6	1	2.5	-24	0	-31	34
8	1	3	24	0	28	33
12	2	1	23	0	28	32
16	2	2	22	0	29	31
18	2	2.5	-22	0	-29	33
19	2	2.75	-22	0	28	-33
20	2	3	-22	0	26	-33
21	2	3.25	-22	0	-26	32
22	2	3.5	21	0	-26	30
24	3	1	22	0	-26	31
28	3	2	23	0	25	32
34	3	3.5	21	0	-25	30
36	4	1	21	28	0	30
38	4	1.5	-21	-28	32	-30
42	4	2.5	-21	-28	31	33
44	4	3	-21	28	30	32
46	4	3.5	-21	-28	-30	30
48	5	1	22	27	29	31
50	5	1.5	-22	-27	31	29
52	5	2	-22	26	-31	31
54	5	2.5	-22	-26	30	32
56	5	3	22	-26	29	33
58	5	3.5	23	25	-29	-33
60	6	1	24	26	28	-33
64	6	2	25	27	32	29
67	6	2.75	-25	-27	31	-29
68	6	3	-25	-27	29	32
70	6	3.5	-25	25	-29	-32
72	7	1	21	-25	30	-32
74	7	1.5	-21	26	-30	35
76	7	2	23	25	28	34
78	7	2.5	24	28	-28	33
80	7	3	22	-28	29	34
81	7	3.25	-22	-28	-29	33
82	7	3.5	-22	27	-29	32
83	7	3.75	-22	-27	-29	31
84	8	1	21	28	25	30
92	8	3	-21	-28	32	0
96	9	1	-21	0	30	32
100	9	2	-21	28	31	33
102	9	2.5	-21	-28	30	32
104	9	3	-21	-28	-30	35
106	9	3.5	-21	-28	32	-35
108	10	1	25	29	-32	34
110	10	1.5	-25	-29	31	-34
112	10	2	-25	-29	32	-34
114	10	2.5	26	-29	-32	35
116	10	3	27	-29	-32	36
120	11	1	28	30	32	35
122	11	1.5	-28	-30	-32	34
124	11	2	-28	-30	30	32
128	11	3	26	-30	28	35
130	11	3.5	-26	-30	-28	36
132	12	1	-26	30	0	37
134	12	1.5	25	-30	0	-37
136	12	2	26	-30	33	-37
138	12	2.5	27	-30	-33	36
140	12	3	28	-30	32	35
144	13	1	25	29	-32	34
148	13	2	-25	30	-32	-34
152	13	3	25	-30	-32	-34
154	13	3.5	-25	29	-32	-34
156	14	1	24	31	28	33
162	14	2.5	23	-31	-28	-33
164	14	3	22	-31	29	34
168	15	1	21	30	30	35
172	15	2	-21	-30	28	-35
174	15	2.5	-21	-30	-28	34
176	15	3	-21	-30	32	35
180	16	1	25	29	-32	36
182	16	1.5	-25	-29	-32	34
186	16	2.5	-25	-29	-32	35
188	16	3	-25	-29	-32	34
191	16	3.75	-25	-29	-32	33
192	17	1	21	28	30	35
196	17	2	-21	-28	30	32
198	17	2.5	-21	-28	31	35
200	17	3	-21	-28	32	36
202	17	3.5	-21	-28	-32	37
204	18	1	0	-28	28	-37
206	18	1.5	0	-28	32	36
208	18	2	0	-28	33	35
210	18	2.5	0	-28	32	34
211	18	2.75	0	-28	-32	33
212	18	3	0	-28	30	32
216	19	1	21	0	-30	0
218	19	1.5	-21	0	28	0
220	19	2	20	0	29	0
222	19	2.5	21	0	30	0
224	19	3	-21	0	31	0
225	19	3.25	-21	0	30	0
226	19	3.5	23	0	-30	0
226.5	19	3.625	-23	0	29	0
227	19	3.75	-23	0	28	0
228	20	1	22	0	27	0
231	20	1.75	-22	0	26	0
232	20	2	21	0	28	0
236	20	3	-21	0	25	0
238	20	3.5	-21	0	28	0
240	21	1	24	0	-28	0
241	21	1.25	-24	0	29	0
242	21	1.5	-24	0	28	0
243	21	1.75	-24	0	29	0
244	21	2	25	0	30	0
246	21	2.5	26	0	-30	0
247	21	2.75	-26	0	31	0
248	21	3	-26	0	30	0
249	21	3.25	-26	0	31	0
250	21	3.5	27	0	32	0
252	22	1	28	0	-32	35
254	22	1.5	-28	0	33	-35
256	22	2	24	0	-33	-35
257	22	2.25	-24	0	31	-35
258	22	2.5	26	0	31	-35
260	22	3	25	0	-31	34
261	22	3.25	-25	0	30	-34
262	22	3.5	-25	0	30	32
263	22	3.75	-25	0	29	-32
264	23	1	24	28	31	33
266	23	1.5	-24	-28	32	34
268	23	2	-24	-28	33	35
272	23	3	26	-28	-33	31
276	24	1	25	27	29	32
278	24	1.5	-25	-27	30	-32
280	24	2	24	26	31	33
283	24	2.75	-24	-26	30	-33
284	24	3	-24	-26	28	-33
286	24	3.5	-24	-26	31	-33
288	25	1	25	27	30	32
289	25	1.25	-25	-27	29	-32
291	25	1.75	-25	-27	28	-32
292	25	2	21	25	28	30
296	25	3	-21	-25	32	0
298	25	3.5	-21	-25	30	35
300	26	1	0	26	-30	-35
301	26	1.25	0	-26	-30	34
302	26	1.5	24	-26	28	35
304	26	2	-24	-26	-28	33
305	26	2.25	-24	-26	27	-33
306	26	2.5	23	28	28	32
308	26	3	22	27	29	31
310	26	3.5	-22	26	-29	-31
312	27	1	21	28	25	30
320	27	3	-21	28	25	30
322	27	3.5	-21	-28	26	31
324	28	1	0	29	27	32
328	28	2	0	30	26	33
330	28	2.5	0	-30	28	-33
332	28	3	0	-30	-28	32
334	28	3.5	0	29	25	-32
336	29	1	0	30	-25	-32
338	29	1.5	0	31	29	34
341	29	2.25	0	30	-29	33
342	29	2.5	0	30	28	33
344	29	3	0	-30	27	32
346	29	3.5	0	29	-27	-32
347	29	3.75	0	-29	-27	31
348	30	1	28	30	26	33
356	30	3	-28	-30	0	37
360	31	1	26	0	28	-37
362	31	1.5	-26	0	-28	36
364	31	2	-26	30	-28	37
366	31	2.5	-26	-30	-28	35
368	31	3	28	-30	26	-35
369	31	3.25	-28	-30	-26	34
370	31	3.5	-28	-30	-26	33
372	32	1	27	29	29	32
375	32	1.75	-27	-29	-29	31
376	32	2	26	30	28	33
380	32	3	-26	31	-28	0
382	32	3.5	-26	-31	-28	35
384	33	1	25	32	29	34
386	33	1.5	-25	30	27	32
388	33	2	23	-30	28	-32
390	33	2.5	24	28	26	33
392	33	3	22	29	-26	-33
393	33	3.25	-22	-29	-26	32
394	33	3.5	-22	-29	27	31
396	34	1	21	25	28	30
398	34	1.5	-21	-25	-28	32
399	34	1.75	-21	26	-28	-32
400	34	2	25	27	0	-32
402	34	2.5	-25	28	0	33
404	34	3	-25	29	32	34
408	35	1	26	28	30	35
412	35	2	24	31	33	-35
414	35	2.5	-24	-31	-33	36
416	35	3	26	-31	-33	35
418	35	3.5	27	-31	32	36
420	36	1	28	30	32	37
422	36	1.5	-28	-30	-32	35
424	36	2	25	29	-32	-35
426	36	2.5	-25	-29	-32	34
430	36	3.5	-25	-29	-32	33
432	37	1	21	28	-32	35
444	38	1	0	0	0	0
444	38	1	0	0	25	0
448	38	2	0	0	26	0
450	38	2.5	0	0	25	0
452	38	3	0	0	-25	32
454	38	3.5	0	0	28	-32
456	39	1	0	0	-28	33
458	39	1.5	0	0	27	32
460	39	2	0	0	28	-32
462	39	2.5	0	0	30	35
464	39	3	0	0	29	-35
466	39	3.5	0	0	-29	34
468	40	1	0	0	28	35
470	40	1.5	0	0	-28	37
472	40	2	0	0	0	36
474	40	2.5	0	0	27	-36
476	40	3	0	0	28	35
478	40	3.5	0	0	26	-35
480	41	1	0	0	25	0
482	41	1.5	0	0	-25	34
484	41	2	0	0	26	35
486	41	2.5	0	0	24	33
488	41	3	0	0	25	32
490	41	3.5	0	0	27	-32
492	42	1	0	0	26	33
494	42	1.5	0	0	-26	31
496	42	2	0	0	0	32
498	42	2.5	0	0	25	34
500	42	3	0	0	26	33
502	42	3.5	0	0	27	-33
504	43	1	0	0	28	0
506	43	1.5	0	0	-28	32
508	43	2	0	0	0	33
510	43	2.5	0	0	29	34
512	43	3	0	0	30	35
514	43	3.5	0	0	28	-35
516	44	1	0	0	30	0
518	44	1.5	0	0	31	36
520	44	2	0	0	32	-36
522	44	2.5	0	0	-32	37
524	44	3	0	0	33	-37
525	44	3.25	0	0	-33	36
526	44	3.5	0	0	-33	35
527	44	3.75	0	0	-33	34
528	45	1	0	0	31	33
530	45	1.5	0	0	-31	36
532	45	2	0	0	29	-36
533	45	2.25	0	0	-29	35
534	45	2.5	0	0	32	34
536	45	3	0	0	-32	33
538	45	3.5	0	0	31	-33
539	45	3.75	0	0	-31	32
540	46	1	0	0	32	32
544	46	2	0	0	25	-32
552	47	1	0	0	0	28
556	47	2	0	0	0	29
558	47	2.5	0	0	0	30
562	47	3.5	0	0	0	31
564	48	1	0	0	28	32
567	48	1.75	0	0	-28	30
568	48	2	0	0	29	31
570	48	2.5	0	0	30	32
572	48	3	0	0	-30	33
574	48	3.5	0	0	31	-33
576	49	1	0	0	32	32
579	49	1.75	0	0	30	0
580	49	2	0	0	31	29
582	49	2.5	0	0	32	-29
583	49	2.75	0	0	-32	30
584	49	3	0	0	33	31
587	49	3.75	0	0	-33	30
588	50	1	0	0	32	28
590	50	1.5	0	0	0	30
592	50	2	0	0	29	31
594	50	2.5	0	0	-29	32
595	50	2.75	0	0	30	-32
596	50	3	0	0	31	33
599	50	3.75	0	0	30	32
600	51	1	0	0	28	35
602	51	1.5	0	0	27	36
604	51	2	0	0	28	37
606	51	2.5	0	0	30	35
608	51	3	0	0	29	-35
610	51	3.5	0	0	-29	34
612	52	1	21	0	28	35
620	52	3	24	0	-28	-35
622	52	3.5	25	0	-28	-35
624	53	1	26	28	0	0
628	53	2	25	29	0	0
630	53	2.5	-25	30	0	0
632	53	3	28	-30	0	0
634	53	3.5	27	29	0	0
636	54	1	25	30	0	0
638	54	1.5	26	31	0	0
641	54	2.25	-26	30	0	0
642	54	2.5	25	30	0	0
644	54	3	24	29	0	0
647	54	3.75	-24	28	0	0
648	55	1	23	30	0	0
654	55	2.5	-23	32	0	0
656	55	3	21	-32	0	0
658	55	3.5	-21	31	0	0
660	56	1	-21	30	0	0
663	56	1.75	-21	28	0	0
664	56	2	20	29	0	0
668	56	3	21	30	0	0
670	56	3.5	-21	28	0	0
672	57	1	19	-28	0	0
674	57	1.5	20	29	0	0
676	57	2	21	-29	0	0
677	57	2.25	-21	28	0	0
678	57	2.5	23	28	0	0
680	57	3	22	-28	0	0
682	57	3.5	-22	27	0	0
684	58	1	21	28	0	30
687	58	1.75	-21	-28	0	31
688	58	2	-21	0	0	32
690	58	2.5	-21	0	0	33
692	58	3	21	28	0	32
694	58	3.5	-21	-28	0	35
696	59	1	24	26	0	-35
697	59	1.25	-24	-26	0	33
698	59	1.5	-24	-26	0	35
700	59	2	25	25	0	34
702	59	2.5	-25	27	0	32
704	59	3	22	26	0	-32
706	59	3.5	-22	-26	0	31
708	60	1	0	25	29	32
712	60	2	0	-25	30	0
714	60	2.5	0	-25	29	0
716	60	3	0	25	-29	34
718	60	3.5	0	-25	32	-34
720	61	1	0	26	31	33
722	61	1.5	0	-26	-31	35
723	61	1.75	0	-26	30	-35
724	61	2	0	25	32	36
726	61	2.5	0	28	-32	37
729	61	3.25	0	-28	-32	35
730	61	3.5	0	27	-32	36
732	62	1	0	28	0	37
734	62	1.5	0	-28	0	35
735	62	1.75	0	29	0	-35
736	62	2	0	30	0	-35
738	62	2.5	0	31	0	33
740	62	3	0	29	0	34
741	62	3.25	0	-29	0	33
742	62	3.5	0	-29	0	32
743	62	3.75	0	-29	0	31
744	63	1	0	28	32	30
747	63	1.75	0	-28	-32	31
748	63	2	0	-28	30	32
750	63	2.5	0	-28	28	-32
752	63	3	0	0	30	28
754	63	3.5	0	0	31	-28
756	64	1	21	28	32	0
758	64	1.5	-21	-28	-32	35
761	64	2.25	-21	-28	-32	36
762	64	2.5	-21	-28	-32	37
764	64	3	25	29	-32	36
766	64	3.5	-25	-29	-32	34
767	64	3.75	24	-29	-32	-34
768	65	1	23	30	-32	-34
770	65	1.5	-23	-30	-32	35
772	65	2	22	31	33	36
774	65	2.5	-22	-31	-33	35
776	65	3	-22	-31	29	33
778	65	3.5	-22	-31	-29	34
779	65	3.75	-22	-31	-29	33
780	66	1	21	30	30	-33
781	66	1.25	-21	-30	-30	32
782	66	1.5	-21	-30	32	35
784	66	2	25	29	-32	34
785	66	2.25	-25	-29	31	-34
786	66	2.5	-25	-29	32	36
788	66	3	-25	32	29	-36
790	66	3.5	-25	-32	32	37
791	66	3.75	-25	30	-32	-37
792	67	1	26	31	0	36
793	67	1.25	-26	-31	0	35
794	67	1.5	25	32	0	34
795	67	1.75	-25	-32	0	33
796	67	2	28	28	32	32
798	67	2.5	-28	30	-32	35
800	67	3	25	29	-32	-35
802	67	3.5	-25	-29	-32	34
804	68	1	26	28	30	35
806	68	1.5	24	31	33	-35
808	68	2	-24	-31	-33	33
809	68	2.25	-24	30	32	-33
810	68	2.5	26	28	30	-33
811	68	2.75	-26	-28	31	-33
812	68	3	25	29	32	34
814	68	3.5	-25	-29	29	-34
816	69	1	21	28	30	35
818	69	1.5	-21	-28	31	-35
820	69	2	-21	-28	32	-35
828	70	1	0	0	0	0
828	70	1	28	28	32	35
832	70	2	-28	30	-32	-35
834	70	2.5	-28	31	-32	-35
836	70	3	28	32	30	35
840	71	1	24	31	28	33
843	71	1.75	-24	30	-28	-33
844	71	2	25	29	32	34
846	71	2.5	26	28	30	35
848	71	3	24	29	31	33
850	71	3.5	-24	-29	-31	32
851	71	3.75	-24	-29	-31	31
852	72	1	21	28	32	30
854	72	1.5	-21	-28	-32	32
856	72	2	24	28	33	31
859	72	2.75	-24	-28	-33	30
859.5	72	2.875	-24	-28	-33	29
860	72	3	-24	26	31	28
862	72	3.5	-24	-26	30	-28
864	73	1	25	27	29	0
867	73	1.75	-25	28	-29	0
868	73	2	-25	29	27	0
870	73	2.5	23	25	28	0
872	73	3	24	26	-28	0
874	73	3.5	-24	-26	29	0
876	74	1	25	25	27	32
879	74	1.75	-25	-25	26	-32
880	74	2	21	-25	28	-32
884	74	3	-21	-25	0	30
886	74	3.5	-21	-25	28	31
888	75	1	23	0	25	32
890	75	1.5	-23	0	28	-32
892	75	2	24	0	-28	33
894	75	2.5	25	0	27	32
896	75	3	-25	0	30	34
898	75	3.5	26	0	-30	35
900	76	1	27	25	29	36
903	76	1.75	-27	-25	-29	35
903.5	76	1.875	-27	-25	-29	34
904	76	2	28	26	28	33
906	76	2.5	-28	-26	30	-33
908	76	3	0	27	29	32
910	76	3.5	0	28	30	-32
912	77	1	21	-28	-30	30
914	77	1.5	-21	28	-30	32
916	77	2	-21	25	28	-32
917	77	2.25	-21	-25	-28	31
918	77	2.5	-21	28	-28	30
920	77	3	20	29	0	29
922	77	3.5	-20	31	0	-29
923	77	3.75	-20	-31	0	28
924	78	1	21	30	0	28
926	78	1.5	-21	32	0	-28
928	78	2	23	-32	0	-28
929	78	2.25	-23	31	0	-28
930	78	2.5	-23	30	0	-28
931	78	2.75	24	-30	0	-28
932	78	3	25	29	0	27
936	79	1	21	28	32	28
940	79	2	-21	-28	30	0
942	79	2.5	-21	-28	31	0
944	79	3	-21	-28	32	0
948	80	1	0	0	25	0
951	80	1.75	0	0	26	0
952	80	2	0	0	27	32
954	80	2.5	0	0	28	-32
955	80	2.75	0	0	-28	33
956	80	3	0	0	29	34
958	80	3.5	0	0	28	35
959	80	3.75	0	0	26	-35
960	81	1	0	0	27	36
