**absq	**bar	**beat	**b7	**b7	**b7	**b7
0	1	1	25	0	25	32
4	1	2	23	0	-25	-32
6	1	2.5	24	0	26	-32
8	1	3	25	0	27	-32
12	2	1	21	0	28	30
16	2	2	20	0	29	31
22	2	3.5	-20	0	28	30
24	3	1	21	0	28	30
28	3	2	-21	0	-28	33
30	3	2.5	19	0	-28	-33
32	3	3	-19	0	28	-33
33	3	3.25	20	0	-28	-33
34	3	3.5	21	0	-28	32
36	4	1	18	0	27	32
40	4	2	22	0	26	-32
42	4	2.5	-22	0	-26	31
44	4	3	-22	0	-26	31
46	4	3.5	-22	0	-26	30
48	5	1	23	0	25	32
52	5	2	21	0	0	30
55	5	2.75	-21	0	0	28
56	5	3	0	0	25	29
58	5	3.5	20	0	-25	-29
60	6	1	21	0	23	28
62	6	1.5	19	0	-23	-28
63	6	1.75	-19	0	21	-28
64	6	2	20	0	22	0
66	6	2.5	-20	0	-22	31
68	6	3	21	0	21	30
70	6	3.5	23	0	-21	28
72	7	1	22	0	0	29
74	7	1.5	20	0	24	-29
76	7	2	21	0	23	28
78	7	2.5	19	0	21	28
80	7	3	18	0	22	-28
82	7	3.5	-18	0	-22	27
84	8	1	25	0	21	28
90	8	2.5	-25	0	-21	28
92	8	3	25	0	0	29
94	8	3.5	-25	0	0	30
96	9	1	18	0	25	-30
97	9	1.25	-18	0	-25	29
98	9	1.5	20	0	-25	-29
99	9	1.75	-20	0	-25	27
100	9	2	19	0	24	28
101	9	2.25	-19	0	-24	29
102	9	2.5	18	0	25	27
104	9	3	21	0	-25	30
106	9	3.5	-21	0	23	-30
108	10	1	22	0	24	29
110	10	1.5	18	0	25	-29
112	10	2	-18	0	-25	27
113	10	2.25	-18	0	24	-27
114	10	2.5	20	0	25	29
116	10	3	19	0	26	28
118	10	3.5	-19	0	24	26
120	11	1	18	0	25	27
122	11	1.5	-18	0	-25	25
124	11	2	25	0	27	0
126	11	2.5	-25	0	-27	32
127	11	2.75	24	0	28	33
128	11	3	22	0	29	34
129	11	3.25	-22	0	-29	33
129.5	11	3.375	-22	0	-29	34
130	11	3.5	21	0	30	35
132	12	1	-21	0	28	-35
133	12	1.25	-21	0	-28	33
134	12	1.5	25	0	29	34
136	12	2	24	0	-29	33
137	12	2.25	-24	0	28	-33
138	12	2.5	25	0	27	32
140	12	3	22	0	26	31
141	12	3.25	-22	0	-26	31
143	12	3.75	-22	0	-26	30
144	13	1	18	0	25	32
148	13	2	21	0	0	-32
150	13	2.5	-21	0	28	-32
152	13	3	18	0	27	0
154	13	3.5	-18	0	25	0
156	14	1	0	0	26	35
158	14	1.5	0	0	25	34
160	14	2	0	0	-25	32
161	14	2.25	0	0	23	-32
