**absq	**bar	**beat	**b7	**b7	**b7
0	1	1	29	22	29
8	1	3	28	26	30
12	2	1	29	22	31
18	2	2.5	-29	-22	30
20	2	3	27	29	31
22	2	3.5	-27	-29	29
24	3	1	26	28	30
32	3	3	25	27	32
36	4	1	28	26	33
38	4	1.5	-28	-26	34
40	4	2	-28	24	33
42	4	2.5	-28	-24	32
44	4	3	27	25	32
46	4	3.5	-27	-25	31
48	5	1	26	22	33
56	5	3	-26	22	33
60	6	1	25	29	34
64	6	2	-25	0	33
68	6	3	-25	29	32
72	7	1	22	29	31
76	7	2	-22	28	-31
80	7	3	25	27	30
84	8	1	24	26	29
90	8	2.5	-24	25	-29
92	8	3	23	25	28
94	8	3.5	-23	24	-28
96	9	1	22	26	29
104	9	3	-22	29	31
108	10	1	26	28	30
116	10	3	27	29	29
120	11	1	26	30	28
124	11	2	-26	29	-28
126	11	2.5	-26	28	-28
128	11	3	23	-28	30
130	11	3.5	-23	27	-30
132	12	1	24	26	29
136	12	2	-24	0	28
140	12	3	25	25	27
144	13	1	26	22	26
152	13	3	22	24	26
156	14	1	25	23	27
158	14	1.5	-25	-23	28
160	14	2	24	22	29
162	14	2.5	-24	-22	29
164	14	3	23	25	28
166	14	3.5	-23	-25	27
168	15	1	22	26	29
176	15	3	22	26	33
180	16	1	26	28	33
184	16	2	-26	-28	32
188	16	3	26	28	31
192	17	1	25	27	30
198	17	2.5	-25	-27	29
200	17	3	24	26	29
202	17	3.5	-24	-26	28
204	18	1	23	27	30
206	18	1.5	-23	26	-30
208	18	2	-23	25	0
210	18	2.5	-23	24	0
212	18	3	-23	25	0
214	18	3.5	-23	23	0
216	19	1	29	22	33
224	19	3	-29	24	-33
228	20	1	30	23	32
232	20	2	-30	21	-32
236	20	3	29	22	33
240	21	1	25	0	34
242	21	1.5	-25	23	-34
244	21	2	-25	-23	35
246	21	2.5	-25	24	-35
248	21	3	29	25	34
252	22	1	28	26	33
260	22	3	27	29	32
264	23	1	26	28	33
268	23	2	25	27	0
270	23	2.5	-25	-27	29
272	23	3	28	26	30
274	23	3.5	-28	-26	31
276	24	1	27	25	32
278	24	1.5	-27	-25	33
280	24	2	26	22	32
282	24	2.5	-26	-22	31
284	24	3	-26	-22	31
286	24	3.5	-26	-22	30
288	25	1	25	29	32
296	25	3	-25	29	32
300	26	1	22	29	33
304	26	2	-22	28	-33
306	26	2.5	-22	-28	32
308	26	3	23	27	-32
312	27	1	24	26	31
314	27	1.5	-24	22	-31
316	27	2	25	-22	-31
318	27	2.5	-25	23	30
320	27	3	26	-23	-30
322	27	3.5	-26	24	-30
324	28	1	27	25	29
330	28	2.5	-27	-25	28
332	28	3	26	26	-28
336	29	1	25	27	29
340	29	2	22	26	0
342	29	2.5	-22	-26	29
344	29	3	-22	-26	31
346	29	3.5	-22	-26	32
348	30	1	29	22	33
352	30	2	-29	25	34
354	30	2.5	-29	26	33
356	30	3	29	27	32
358	30	3.5	-29	-27	31
360	31	1	26	28	30
362	31	1.5	-26	-28	29
364	31	2	-26	-28	30
366	31	2.5	-26	-28	31
368	31	3	25	27	32
370	31	3.5	-25	-27	31
372	32	1	24	26	29
374	32	1.5	-24	-26	26
376	32	2	-24	-26	29
378	32	2.5	-24	-26	30
380	32	3	23	25	28
382	32	3.5	-23	-25	27
384	33	1	22	26	29
*-	*-	*-	*-	*-	*-
