**absq	**bar	**beat	**b7	**b7	**b7
0	1	1	21	28	28
4	1	2	-21	-28	30
6	1	2.5	-21	-28	31
8	1	3	-21	28	32
10	1	3.5	-21	27	-32
12	2	1	0	26	35
16	2	2	23	25	34
22	2	3.5	-23	-25	32
24	3	1	26	24	33
26	3	1.5	-26	23	-33
27	3	1.75	27	-23	-33
28	3	2	28	21	32
30	3	2.5	25	-21	-32
32	3	3	-25	-21	30
34	3	3.5	28	-21	-30
36	4	1	27	22	29
38	4	1.5	26	-22	-29
40	4	2	28	21	32
42	4	2.5	-28	-21	30
44	4	3	-28	21	31
45	4	3.25	-28	-21	30
46	4	3.5	-28	-21	29
47	4	3.75	-28	-21	28
48	5	1	29	25	27
56	5	3	30	23	0
58	5	3.5	-30	24	0
60	6	1	29	25	34
64	6	2	28	26	35
66	6	2.5	29	-26	-35
68	6	3	30	-26	-35
70	6	3.5	-30	-26	33
72	7	1	23	25	34
76	7	2	24	28	33
82	7	3.5	-24	-28	32
84	8	1	25	27	32
88	8	2	22	26	-32
92	8	3	-22	26	31
94	8	3.5	-22	-26	30
96	9	1	29	25	32
99	9	1.75	-29	-25	31
100	9	2	27	-25	30
102	9	2.5	-27	-25	29
104	9	3	28	23	32
106	9	3.5	29	22	33
108	10	1	-29	25	34
110	10	1.5	28	26	35
112	10	2	29	27	-35
113	10	2.25	-29	-27	34
114	10	2.5	30	28	33
115	10	2.75	-30	-28	32
116	10	3	28	26	31
119	10	3.75	27	-26	30
120	11	1	29	25	32
124	11	2	27	-25	-32
128	11	3	25	0	-32
132	12	1	21	28	0
134	12	1.5	23	-28	32
135	12	1.75	24	-28	-32
136	12	2	25	27	-32
138	12	2.5	21	28	30
140	12	3	20	29	31
144	13	1	21	28	30
146	13	1.5	-21	26	-30
148	13	2	-21	25	-30
150	13	2.5	-21	28	-30
152	13	3	25	-28	29
154	13	3.5	-25	27	-29
156	14	1	21	28	28
160	14	2	23	25	27
164	14	3	21	0	30
166	14	3.5	-21	25	-30
167	14	3.75	-21	-25	29
168	15	1	28	26	31
170	15	1.5	26	24	-31
171	15	1.75	-26	-24	30
172	15	2	27	25	29
173	15	2.25	-27	-25	28
174	15	2.5	25	23	28
176	15	3	-25	22	-28
178	15	3.5	24	-22	27
180	16	1	25	21	28
184	16	2	26	-21	0
186	16	2.5	25	-21	0
188	16	3	28	-21	0
191	16	3.75	27	-21	0
192	17	1	26	0	35
193	17	1.25	25	0	-35
194	17	1.5	26	0	-35
196	17	2	23	0	34
198	17	2.5	24	0	33
200	17	3	22	0	-33
201	17	3.25	-22	0	32
202	17	3.5	-22	0	31
204	18	1	21	28	30
206	18	1.5	23	-28	-30
207	18	1.75	24	-28	-30
208	18	2	25	27	0
209	18	2.25	24	-27	0
209.5	18	2.375	25	-27	0
210	18	2.5	26	26	0
212	18	3	28	-26	33
213	18	3.25	-28	25	-33
214	18	3.5	29	24	-33
216	19	1	30	23	32
219	19	1.75	-30	-23	33
220	19	2	-30	-23	34
224	19	3	30	26	35
228	20	1	23	25	34
231	20	1.75	-23	26	-34
232	20	2	25	27	-34
234	20	2.5	-25	-27	32
236	20	3	21	28	33
237	20	3.25	-21	-28	32
238	20	3.5	-21	-28	31
239	20	3.75	-21	-28	30
240	21	1	25	27	29
242	21	1.5	26	30	28
243	21	1.75	27	-30	-28
244	21	2	28	-30	35
246	21	2.5	25	29	34
248	21	3	26	28	33
251	21	3.75	-26	-28	32
252	22	1	23	27	34
256	22	2	30	23	32
259	22	2.75	29	-23	-32
260	22	3	27	-23	0
264	23	1	26	0	33
268	23	2	28	30	32
270	23	2.5	-28	-30	35
272	23	3	25	29	-35
274	23	3.5	-25	-29	34
276	24	1	26	28	35
278	24	1.5	22	29	33
280	24	2	23	27	-33
282	24	2.5	-23	-27	32
284	24	3	0	26	33
286	24	3.5	28	-26	30
287	24	3.75	-28	25	-30
288	25	1	-28	26	35
289	25	1.25	29	-26	-35
290	25	1.5	30	23	-35
291	25	1.75	-30	-23	34
292	25	2	-30	28	33
294	25	2.5	-30	27	32
296	25	3	28	26	31
298	25	3.5	27	25	30
299	25	3.75	25	23	-30
300	26	1	26	24	33
302	26	1.5	27	23	32
303	26	1.75	-27	-23	30
304	26	2	28	26	31
306	26	2.5	27	25	30
308	26	3	26	24	-30
309	26	3.25	26	-24	29
310	26	3.5	-26	-24	29
311	26	3.75	25	-24	28
312	27	1	27	23	30
324	28	1	0	0	0
324	28	1	23	30	32
330	28	4	-23	-30	33
332	29	1	-23	30	34
336	29	3	-23	-30	35
340	30	1	22	31	36
344	30	3	-22	-31	35
346	30	4	-22	-31	33
348	31	1	21	30	-33
350	31	2	-21	-30	32
352	31	3	-21	-30	32
356	32	1	22	29	31
358	32	2	-22	-29	33
360	32	3	26	28	-33
361	32	3.5	-26	-28	32
362	32	4	-26	-28	30
364	33	1	22	29	31
366	33	2	-22	-29	32
368	33	3	27	-29	31
370	33	4	-27	-29	30
371	33	4.5	-27	-29	29
372	34	1	26	30	28
376	34	3	24	26	-28
379	34	4.5	-24	27	-28
380	35	1	-24	26	0
382	35	2	26	25	0
383	35	2.5	-26	24	0
384	35	3	25	23	0
386	35	4	24	-23	0
388	36	1	26	22	29
392	36	3	-26	-22	31
396	37	1	26	0	30
400	37	3	22	29	29
404	38	1	-22	31	-29
408	38	3	21	30	32
412	39	1	0	29	33
414	39	2	0	-29	34
416	39	3	22	-29	33
418	39	4	-22	-29	36
420	40	1	25	-29	-36
422	40	2	-25	-29	35
424	40	3	26	28	33
428	41	1	23	27	-33
432	41	3	-23	-27	32
434	41	4	-23	-27	31
436	42	1	30	26	33
444	43	1	28	-26	0
448	43	3	-28	-26	30
452	44	1	27	23	-30
454	44	2	-27	-23	31
456	44	3	-27	-23	32
460	45	1	26	24	33
464	45	3	27	23	32
466	45	4	28	-23	-32
468	46	1	29	22	31
470	46	2	26	-22	-31
472	46	3	27	-22	-31
474	46	4	-27	-22	30
476	47	1	28	21	30
480	47	3	21	23	28
482	47	4	25	-23	-28
484	48	1	26	24	29
486	48	2	27	25	30
490	48	4	28	26	31
492	49	1	27	25	30
494	49	2	26	24	29
495	49	2.5	25	23	28
496	49	3	24	22	27
499	49	4.5	23	-22	-27
500	50	1	25	21	28
502	50	2	-25	-21	30
503	50	2.5	26	-21	-30
504	50	3	27	25	-30
506	50	4	28	26	31
508	51	1	21	25	32
510	51	2	23	28	-32
512	51	3	24	-28	33
514	51	4	25	27	32
516	52	1	21	28	30
522	52	4	-21	29	-30
524	53	1	-21	30	0
528	53	3	24	26	33
532	54	1	23	27	32
534	54	2	-23	-27	31
536	54	3	0	28	33
540	55	1	28	26	-33
542	55	2	-28	-26	32
544	55	3	-28	-26	31
546	55	4	27	25	30
548	56	1	28	26	30
552	56	3	26	24	33
554	56	4	29	-24	-33
556	57	1	30	23	32
558	57	2	28	-23	-32
560	57	3	29	22	31
564	58	1	27	25	-31
566	58	2	-27	-25	30
567	58	2.5	26	-25	-30
568	58	3	27	-25	30
570	58	4	28	-25	-30
572	59	1	26	24	-30
574	59	2	-26	-24	29
576	59	3	-26	-24	29
578	59	4	25	-24	28
580	60	1	27	23	30
588	60	1	0	0	0
*-	*-	*-	*-	*-	*-
